Council,Has OD Site,#Datasets,% Active URLs,Last 365 days,Last 180 days,Last 90 days,Last 30 days,Avg FileTypes per Dataset,Total Size (MB),#Tags,Council_Score
Perth and Kinross,1,0.85,0.38,1,1,1,1,0.92,0.69,0.92,8.76
Dundee City,1,0.69,0.46,1,1,1,1,0.62,0.77,0.77,8.31
Angus,1,0.54,0.15,1,1,1,1,0.77,0.92,0.85,8.229999999999999
Stirling,1,0.27,0.62,1,1,1,1,0.46,0.85,0.15,7.3500000000000005
Aberdeenshire,1,0.38,0.23,1,1,1,1,0.38,0.54,0.62,7.1499999999999995
Dumfries and Galloway,1,0.46,0.31,1,1,1,1,0.69,0.15,0.54,7.1499999999999995
Renfrewshire,1,0.77,0.0,1,1,1,1,0.19,0.46,0.35,6.77
South Ayrshire,1,0.62,0.0,1,1,1,1,0.19,0.15,0.46,6.420000000000001
Argyll and Bute,1,0.27,0.0,1,1,1,1,0.19,0.15,0.35,5.96
Moray,1,0.92,0.08,1,1,0,0,0.54,0.38,0.23,5.15
Aberdeen City,1,0.15,0.62,1,0,0,0,0.85,0.62,0.69,4.93
East Ayrshire,1,0.08,0.62,0,0,0,0,0.19,0.31,0.08,2.2800000000000002
Scottish Borders,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Shetland Islands,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
South Lanarkshire,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Orkney Islands,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
West Dunbartonshire,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
North Lanarkshire,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
North Ayrshire,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Highland,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Midlothian,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Inverclyde,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Glasgow City,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Fife,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Falkirk,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
East Renfrewshire,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
East Lothian,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
East Dunbartonshire,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Comhairle nan Eilean Siar,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Clackmannanshire,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
City of Edinburgh,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
West Lothian,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
