Council,#Files,Active URLs,% Active URLs,#Datasets,#Data Sources,Last Updated,#Licenses,#Tags,#FileTypes,Avg FileTypes per Dataset,Total Size (MB)
Aberdeen City,92,92.0,100.0,16,1,2020-09-22,1,38,7,3.81,20.64
Aberdeenshire,33,30.0,90.9,31,1,2021-06-01,2,36,3,1.06,18.1
Angus,96,71.0,74.0,34,1,2021-12-23,2,96,9,2.44,139.35
Argyll and Bute,20,,,20,1,2021-08-03,0,23,1,1.0,0.0
Cycling Scotland,138,136.0,98.6,77,1,2022-02-17,4,35,7,1.81,0.0
Dumfries and Galloway,67,65.0,97.0,32,1,2021-12-03,1,34,5,2.09,0.0
Dundee City,181,177.0,97.8,37,1,2022-02-10,5,48,12,1.89,69.55
East Ayrshire,4,4.0,100.0,4,1,,1,1,1,1.0,0.01
Moray,119,57.0,47.9,73,2,2021-02-02,2,15,5,1.28,9.99
Perth and Kinross,265,259.0,97.7,64,1,2022-02-13,4,125,9,3.94,69.1
Renfrewshire,40,,,40,1,2022-01-07,2,23,8,1.0,15.98
South Ayrshire,35,,,35,1,2021-10-18,0,29,1,1.0,0.0
Stirling,81,81.0,100.0,20,1,2022-02-17,1,12,3,1.2,84.86
