Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
Average distance traveled (km) - Transport and Travel in Scotland 2018 - Scottish Household Survey,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/afbf361c-6311-47de-8779-d79dbb4b9f0e,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/821b3439-2f43-4d31-a53e-1695f37ed1b0/2/urql,API,2019-10-17T13:39:53.097Z,2023-02-23T09:48:31.518Z,,,json,,Transport / Mobility,Government Scottish Household Survey Transport and Travel in Scotland,OGL3,"""Data from the Transport and Travel related questions asked in the Scottish Household Survey 2018. Data is of average distance traveled (km) nationally. Data is classified by Local Authority, Regional Transport Partnership, and Urban/Rural Classification.  Reproduced via Open Government Licence. https://www.transport.gov.scot/publication/transport-and-travel-in-scotland-results-from-the-scottish-household-survey-1/"""
Average distance traveled (km) - Transport and Travel in Scotland 2018 - Scottish Household Survey,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/afbf361c-6311-47de-8779-d79dbb4b9f0e,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=fedaf873-5787-4bec-b2b5-5f4c863c7d6e,SHS_AverageJourneyDistance_RTP_2018_TransportScotland_USMaster.csv,2019-10-17T13:39:53.097Z,2023-02-23T09:48:31.518Z,,,csv,,Transport / Mobility,Government Scottish Household Survey Transport and Travel in Scotland,OGL3,"""Data from the Transport and Travel related questions asked in the Scottish Household Survey 2018. Data is of average distance traveled (km) nationally. Data is classified by Local Authority, Regional Transport Partnership, and Urban/Rural Classification.  Reproduced via Open Government Licence. https://www.transport.gov.scot/publication/transport-and-travel-in-scotland-results-from-the-scottish-household-survey-1/"""
National Monitoring Framework - all-mode traffic survey results May 2022 - Cycling Scotland,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/64c2e05b-4905-4a08-8943-fd732b904535,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/160111b5-6333-48e2-b284-9f6d6fb85f3e/5/urql,API,2022-08-22T14:44:35.365Z,2022-08-22T14:56:07.757Z,,,json,,Transport / Mobility,Active Travel National Monitoring Framework Transport Traffic counts,OGL3,"""All-mode traffic data from 48-hour surveys across Scotland in May 2022"""
National Monitoring Framework - all-mode traffic survey results May 2022 - Cycling Scotland,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/64c2e05b-4905-4a08-8943-fd732b904535,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=3db56b24-458f-43a4-8aef-8c8a3c12a5c2,National Monitoring Framework - all-mode traffic survey results May 2022 - Cycling Scotland.xml,2022-08-22T14:44:35.365Z,2022-08-22T14:56:07.757Z,,,xml,,Transport / Mobility,Active Travel National Monitoring Framework Transport Traffic counts,OGL3,"""All-mode traffic data from 48-hour surveys across Scotland in May 2022"""
National Monitoring Framework - all-mode traffic survey results May 2022 - Cycling Scotland,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/64c2e05b-4905-4a08-8943-fd732b904535,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=39052ef7-21ca-4b3c-ae99-356d826eedbf,NMF_TS_May_2022.csv,2022-08-22T14:44:35.365Z,2022-08-22T14:56:07.757Z,,,csv,,Transport / Mobility,Active Travel National Monitoring Framework Transport Traffic counts,OGL3,"""All-mode traffic data from 48-hour surveys across Scotland in May 2022"""
Location of Veloboxes in Scotland (Grease Monkey Cycles),Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/e9d45291-5070-415d-af6f-4ea64e0740ad,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=a18832d9-ae30-4d51-81ce-e50f4e5e5ba8,Location of Veloboxes in Scotland (Grease Monkey Cycles).csv,2022-12-09T15:09:55.113Z,2023-03-20T12:00:53.227Z,,,csv,,Transport / Mobility,Transport and Travel in Scotland Cycling Active Travel,OGL3,"""This dataset contains the locations of Veloboxes across Scotland which are designed, manufactured, installed and managed by Grease Monkey."""
Location of Veloboxes in Scotland (Grease Monkey Cycles),Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/e9d45291-5070-415d-af6f-4ea64e0740ad,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=63b2e260-eb73-40df-a1d5-359cc70630a2,Location of Veloboxes in Scotland (Grease Monkey Cycles).json,2022-12-09T15:09:55.113Z,2023-03-20T12:00:53.227Z,,,json,,Transport / Mobility,Transport and Travel in Scotland Cycling Active Travel,OGL3,"""This dataset contains the locations of Veloboxes across Scotland which are designed, manufactured, installed and managed by Grease Monkey."""
Location of Veloboxes in Scotland (Grease Monkey Cycles),Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/e9d45291-5070-415d-af6f-4ea64e0740ad,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=4040c2d8-9b57-4160-bbf4-4c519eac492c,Location of Veloboxes in Scotland (Grease Monkey Cycles).xml,2022-12-09T15:09:55.113Z,2023-03-20T12:00:53.227Z,,,xml,,Transport / Mobility,Transport and Travel in Scotland Cycling Active Travel,OGL3,"""This dataset contains the locations of Veloboxes across Scotland which are designed, manufactured, installed and managed by Grease Monkey."""
Cycling Friendly - Communities Funded - Cycling Scotland,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/f623d8cf-cdaf-426a-90f2-63387b8d680b,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/9b8b85e0-8d97-4b9f-8ecb-36419272ecc5/1/urql,API,2019-10-21T11:53:05.320Z,2023-02-22T16:34:28.512Z,,,json,,Transport / Mobility,Active Travel Cycling Cycling Scotland Cycling Friendly,https://creativecommons.org/licenses/by/4.0/legalcode,"""This dataset shows communities across Scotland that have received funding through Cycling Scotland's Cycling Friendly program"""
Cycling Friendly - Communities Funded - Cycling Scotland,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/f623d8cf-cdaf-426a-90f2-63387b8d680b,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=9e4f2a31-315e-4b91-a501-26753fa87137,CyclingFriendly_Communities_Funded_2019_CyclingScotland_USMaster.csv,2019-10-21T11:53:05.320Z,2023-02-22T16:34:28.512Z,,,csv,,Transport / Mobility,Active Travel Cycling Cycling Scotland Cycling Friendly,https://creativecommons.org/licenses/by/4.0/legalcode,"""This dataset shows communities across Scotland that have received funding through Cycling Scotland's Cycling Friendly program"""
