Title,Owner,PageURL,AssetURL,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
"This data set is a real-time hourly upload from each cycling counter across Scotland that is part of the National Monitoring Framework.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/7ffbe5d6-fa13-4352-829d-0bb0a58e3355,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/208316af-3d06-4b86-83e9-2cf025393d1c/1/urql,2021-03-24T20:21:48.559Z,2021-09-21T11:54:03.896Z,,,json,,"Transport / Mobility","National Monitoring Framework, Cycling Scotland, Cycling, Active Travel",OGL3,
"This dataset gives the hourly cycling count breakdown for all of Cycling Scotland's automatic cycling counters. Most of counters also count pedestrians.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/f3df8bdf-8305-4fef-af33-502488befec7,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/1c10a00a-2d39-4ff2-befa-d952458ec608/1/urql,2020-04-03T14:53:09.123Z,2020-04-20T13:06:49.881Z,,,json,,"Transport / Mobility","Cycling, Counter, Active Travel",OGL3,
"The Local section of the Annual Cycling Monitoring Report examines all the local authorities across Scotland and highlights statistics based on headline trends,
workplaces and schools from a range of sources.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/5722da4b-7559-4819-ab1c-4d2c9a6f92ec,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/45724cc2-0f99-4215-9c07-2c78dadd6075/3/urql,2021-05-13T13:35:32.999Z,2021-08-13T09:13:08.722Z,,,json,,"Transport / Mobility","Active Travel, Cycling Scotland",OGL3,
"Data from the Scottish Household Survey (2007 - 2018) related to people's participation in physical activity and sport in the 4 weeks prior to the question being asked.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/9bb661cb-1dea-4856-b6c2-6aac6508da03,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=e2e82854-062a-4bdd-a5d8-b0b09a9d3268,2018-05-11T13:55:31.912Z,2019-12-20T12:54:34.465Z,,,csv,,"Transport / Mobility","Cycling, Scottish Household Survey, Active Travel",OGL3,
"Schools in Scotland which delivered Bikeability Scotland training in 2016/17. Bikeability Scotland is a cycle training programme designed to give children the skills and confidence they need both to cycle safely on the roads, and to encourage them to carry on cycling into adulthood.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/84b8b2e7-8e18-4f36-822d-85fbf59c8d76,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=aade7d6a-8a66-4d65-b01f-999bc2727795,2018-10-05T11:13:06.948Z,2021-10-13T12:32:19.815Z,,,json,,"Transport / Mobility","Active Travel, Cycling, Schools, Transport, Bikeability Scotland",OGL3,
"Schools in Scotland which delivered Bikeability Scotland training in 2016/17. Bikeability Scotland is a cycle training programme designed to give children the skills and confidence they need both to cycle safely on the roads, and to encourage them to carry on cycling into adulthood.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/84b8b2e7-8e18-4f36-822d-85fbf59c8d76,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=39f733f5-e2a7-456b-85a3-be5604e9dd04,2018-10-05T11:13:06.948Z,2021-10-13T12:32:19.815Z,,,csv,,"Transport / Mobility","Active Travel, Cycling, Schools, Transport, Bikeability Scotland",OGL3,
"Schools in Scotland which delivered Bikeability Scotland training in 2016/17. Bikeability Scotland is a cycle training programme designed to give children the skills and confidence they need both to cycle safely on the roads, and to encourage them to carry on cycling into adulthood.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/84b8b2e7-8e18-4f36-822d-85fbf59c8d76,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=8c903843-448a-46df-9321-2d6f934d0272,2018-10-05T11:13:06.948Z,2021-10-13T12:32:19.815Z,,,xml,,"Transport / Mobility","Active Travel, Cycling, Schools, Transport, Bikeability Scotland",OGL3,
"A range of data from Key Reported Road Casualties Scotland 2018.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/b9814e57-b548-4e90-a3a4-694829b36516,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=c4dc777f-1945-4f9f-95ae-beda8f3eb92d,2018-05-15T14:56:31.679Z,2019-11-26T15:15:26.895Z,,,vnd.openxmlformats-officedocument.spreadsheetml.sheet,,"Transport / Mobility","Active Travel, Cycling, Cycling Scotland, Transport, Reported Road Casualties Scotland",OGL3,
"Data from the Transport and Travel related questions asked in the Scottish Household Survey 2018. Data is of average distance traveled (km) nationally. Data is classified by Local Authority, Regional Transport Partnership, and Urban/Rural Classification.  Reproduced via Open Government Licence. https://www.transport.gov.scot/publication/transport-and-travel-in-scotland-results-from-the-scottish-household-survey-1/",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/afbf361c-6311-47de-8779-d79dbb4b9f0e,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/821b3439-2f43-4d31-a53e-1695f37ed1b0/2/urql,2019-10-17T13:39:53.097Z,2019-12-16T16:26:29.926Z,,,json,,"Transport / Mobility","Government, Scottish Household Survey, Transport and Travel in Scotland",OGL3,
"Data from the Transport and Travel related questions asked in the Scottish Household Survey 2018. Data is of average distance traveled (km) nationally. Data is classified by Local Authority, Regional Transport Partnership, and Urban/Rural Classification.  Reproduced via Open Government Licence. https://www.transport.gov.scot/publication/transport-and-travel-in-scotland-results-from-the-scottish-household-survey-1/",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/afbf361c-6311-47de-8779-d79dbb4b9f0e,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=fedaf873-5787-4bec-b2b5-5f4c863c7d6e,2019-10-17T13:39:53.097Z,2019-12-16T16:26:29.926Z,,,csv,,"Transport / Mobility","Government, Scottish Household Survey, Transport and Travel in Scotland",OGL3,
"This data highlights all employers across Scotland that have received a Cycling Friendly School Award",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/fa4d4cbb-b4a0-4efd-ae68-7767f6ab117d,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/2976a33d-5707-4144-8ac5-9df05abf5071/5/urql,2019-10-21T10:07:11.873Z,2019-11-26T12:10:29.057Z,,,json,,"Transport / Mobility","Active Travel, Business, Cycling Scotland",https://creativecommons.org/licenses/by/4.0/legalcode,
"This data highlights all employers across Scotland that have received a Cycling Friendly School Award",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/fa4d4cbb-b4a0-4efd-ae68-7767f6ab117d,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=c045f5f5-7e79-440c-a8be-477d686c5fdc,2019-10-21T10:07:11.873Z,2019-11-26T12:10:29.057Z,,,csv,,"Transport / Mobility","Active Travel, Business, Cycling Scotland",https://creativecommons.org/licenses/by/4.0/legalcode,
"This data set is a real-time daily upload from each cycling counter that is part of the National Monitoring Framework. The data includes pedestrian and bicycle user counts for more than 65 counters across Scotland in 20 different local authorities.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/2d0d20d6-ff8e-47a8-8fc8-10580e00a052,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/02444e7a-5bd4-4ef3-9c66-e26671bb4c8a/1/urql,2020-02-19T15:31:56.977Z,2021-09-14T08:09:07.982Z,,,json,,"Transport / Mobility","Featured, Cycling Scotland, Traffic counts, Counter, Active Travel",OGL3,
"A real-time hourly upload from each cycling counter within North Ayrshire Council's network.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/ce2214d2-242e-4d0b-a25d-3a7e283c9959,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/4b0fff26-d98d-4403-a57e-c8a863da9ba4/1/urql,2021-09-25T13:04:24.130Z,2021-11-16T16:07:16.447Z,,,json,,"Transport / Mobility","Active Travel, Traffic counts, Cycling",OGL3,
"A real-time daily upload from each cycling counter within Aberdeenshire Council's network.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/be55e07e-234e-4506-b478-b614097c355e,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/4373c5be-42a7-4dd3-8062-9f8b16a4d3f1/1/urql,2021-10-23T14:34:32.003Z,2021-11-16T16:15:41.085Z,,,json,,"Transport / Mobility","Cycling, Active Travel, Traffic counts",OGL3,
"Data from the Transport and Travel related questions asked in the Scottish Household Survey 2017. Data is of average distance traveled (km) nationally. Data is classified by Local Authority, Regional Transport Partnership, and Urban/Rural Classification. Reproduced via Open Government Licence. https://www.transport.gov.scot/publication/transport-and-travel-in-scotland-2017/",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/33e828ef-a1a7-4666-b938-f929f19683d4,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=e74ac331-0479-4a50-8181-49c888d756c7,2019-10-17T13:27:07.273Z,2019-12-16T16:26:02.097Z,,,csv,,"Transport / Mobility","Government, Scottish Household Survey, Transport and Travel in Scotland",OGL3,
"Data from the Transport and Travel related questions asked in the Scottish Household Survey 2017. Data is of average distance traveled (km) nationally. Data is classified by Local Authority, Regional Transport Partnership, and Urban/Rural Classification. Reproduced via Open Government Licence. https://www.transport.gov.scot/publication/transport-and-travel-in-scotland-2017/",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/33e828ef-a1a7-4666-b938-f929f19683d4,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/f6db47aa-b724-422f-87d0-95bc50ecc2ec/2/urql,2019-10-17T13:27:07.273Z,2019-12-16T16:26:02.097Z,,,json,,"Transport / Mobility","Government, Scottish Household Survey, Transport and Travel in Scotland",OGL3,
"Data from Reported Road Casualties Scotland showing annual traffic volumes in Scotland from 2006 to 2017.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/d87bdc18-b1e6-4e65-8b34-b9c83c67553b,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=56e2cce4-27d1-4823-b85f-49cb4582e096,2018-05-15T09:39:01.252Z,2019-12-20T14:20:09.040Z,,,csv,,"Transport / Mobility","Transport, Cycling, Cycling Scotland, Active Travel, Reported Road Casualties Scotland",OGL3,
"Data from Reported Road Casualties Scotland showing annual traffic volumes in Scotland from 2006 to 2017.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/d87bdc18-b1e6-4e65-8b34-b9c83c67553b,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=e80be9f4-251a-4ae0-b8e8-c776393e1df0,2018-05-15T09:39:01.252Z,2019-12-20T14:20:09.040Z,,,xml,,"Transport / Mobility","Transport, Cycling, Cycling Scotland, Active Travel, Reported Road Casualties Scotland",OGL3,
"Data from Reported Road Casualties Scotland showing annual traffic volumes in Scotland from 2006 to 2017.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/d87bdc18-b1e6-4e65-8b34-b9c83c67553b,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=38a45d25-229c-4b9d-bb85-dc39cde90a21,2018-05-15T09:39:01.252Z,2019-12-20T14:20:09.040Z,,,json,,"Transport / Mobility","Transport, Cycling, Cycling Scotland, Active Travel, Reported Road Casualties Scotland",OGL3,
"Schools in Scotland which delivered Bikeability Scotland training in 2020/21. Bikeability Scotland is a cycle training programme designed to give children the skills and confidence they need both to cycle safely on the roads, and to encourage them to carry on cycling into adulthood.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/abd9a110-9d4d-4b06-82e1-b3b6d1b3090f,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=892d071f-1787-493b-a8d7-f031979271f9,2021-10-13T12:02:45.152Z,2021-10-25T10:58:56.367Z,,,json,,"Transport / Mobility","Schools, Active Travel, Transport",OGL3,
"Schools in Scotland which delivered Bikeability Scotland training in 2020/21. Bikeability Scotland is a cycle training programme designed to give children the skills and confidence they need both to cycle safely on the roads, and to encourage them to carry on cycling into adulthood.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/abd9a110-9d4d-4b06-82e1-b3b6d1b3090f,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=6b17067a-86b5-4cbb-ab2f-819bd8e81c24,2021-10-13T12:02:45.152Z,2021-10-25T10:58:56.367Z,,,csv,,"Transport / Mobility","Schools, Active Travel, Transport",OGL3,
"Schools in Scotland which delivered Bikeability Scotland training in 2020/21. Bikeability Scotland is a cycle training programme designed to give children the skills and confidence they need both to cycle safely on the roads, and to encourage them to carry on cycling into adulthood.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/abd9a110-9d4d-4b06-82e1-b3b6d1b3090f,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=7685f4d0-4919-4610-86b4-9ac457171e51,2021-10-13T12:02:45.152Z,2021-10-25T10:58:56.367Z,,,xml,,"Transport / Mobility","Schools, Active Travel, Transport",OGL3,
"All-mode traffic data from 48-hour surveys across Scotland in September 2019",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/5f455364-ed93-4669-825c-dda8ade2c51c,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=5db11585-bfab-48fe-9b1a-ea3f3a25b4d2,2020-02-19T10:04:20.336Z,2021-08-17T14:39:43.995Z,,,json,,"Transport / Mobility","Active Travel, Cycling, Cycling Scotland, Traffic counts",OGL3,
"All-mode traffic data from 48-hour surveys across Scotland in September 2019",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/5f455364-ed93-4669-825c-dda8ade2c51c,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=0a8f2a64-5d0a-4f30-bb70-29f922983db1,2020-02-19T10:04:20.336Z,2021-08-17T14:39:43.995Z,,,csv,,"Transport / Mobility","Active Travel, Cycling, Cycling Scotland, Traffic counts",OGL3,
"All-mode traffic data from 48-hour surveys across Scotland in September 2019",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/5f455364-ed93-4669-825c-dda8ade2c51c,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=098aa09b-f080-4de1-8042-0ffe66a1aa01,2020-02-19T10:04:20.336Z,2021-08-17T14:39:43.995Z,,,xml,,"Transport / Mobility","Active Travel, Cycling, Cycling Scotland, Traffic counts",OGL3,
"Data from the Scottish Household Survey Travel Diary showing percentage of journeys by main mode of travel between 2007 and 2017.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/43ea90d9-39d4-44a6-bb44-b83a6955f6ab,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=febbc0b9-e30b-4743-9d62-77b029c696dd,2019-04-30T12:48:40.686Z,2019-12-20T14:24:16.268Z,,,json,,"Transport / Mobility","Active Travel, Cycling, Cycling Scotland, Scottish Household Survey, Transport and Travel in Scotland",OGL3,
