Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
SWestrans Commercial Split,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/84085b60-c17d-445e-89c2-03d3862aba7a,https://api.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/5daa415c-869e-43be-bd0d-06a58b802945/1/urql,API,2018-07-25T13:26:56.800Z,2018-09-27T13:52:47.761Z,,,json,,Transport / Mobility,Transport,OGL3,"""SWestrans Commercial Split"""
SWestrans Commercial Split,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/84085b60-c17d-445e-89c2-03d3862aba7a,https://data.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/resource?resourceGUID=ac89c2de-4a8d-4bfc-b574-e4c28412bcf1,SWestrans Commercial split 2018.csv,2018-07-25T13:26:56.800Z,2018-09-27T13:52:47.761Z,,,csv,,Transport / Mobility,Transport,OGL3,"""SWestrans Commercial Split"""
Burial Grounds,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/873818de-53dd-4008-ac1c-8cc0c6f74070,https://api.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/ac87ee48-ba3d-4742-938f-7f97269454c7/1/urql,API,2018-01-25T16:07:09.343Z,2018-08-23T14:19:56.887Z,,,json,,Social / Community,Population,OGL3,"""Burial Grounds in Dumfries and Galloway"""
Burial Grounds,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/873818de-53dd-4008-ac1c-8cc0c6f74070,https://data.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/resource?resourceGUID=4ac6c7de-b05b-4dce-ab05-faab6ccff4e3,Burial_Grounds.csv,2018-01-25T16:07:09.343Z,2018-08-23T14:19:56.887Z,,,csv,,Social / Community,Population,OGL3,"""Burial Grounds in Dumfries and Galloway"""
Electoral Wards,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/98341983-3962-4f12-881b-0b8966c5e120,https://api.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/7e3ad6b8-7968-49f3-9db8-5e72a0db03ff/1/urql,API,2017-11-23T13:49:58.540Z,2019-02-21T10:37:51.568Z,,,json,,Built environment,Government Local Planning,OGL3,"""Local Government electoral wards for Dumfries and Galloway"""
Electoral Wards,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/98341983-3962-4f12-881b-0b8966c5e120,https://data.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/resource?resourceGUID=48fd5bc3-38e6-4312-b8d3-a0f7062058af,Wards.zip,2017-11-23T13:49:58.540Z,2019-02-21T10:37:51.568Z,,,zip,,Built environment,Government Local Planning,OGL3,"""Local Government electoral wards for Dumfries and Galloway"""
Salt Bins,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/be48ea86-9fb5-4b22-b948-97b8cbeeb64b,https://data.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/resource?resourceGUID=49bbcb0f-9c56-4308-a970-3e27da4d4489,Salt Bins.json,2017-11-20T09:37:03.626Z,2019-09-17T20:32:25.132Z,,,json,,Infrastructure,Transport,OGL3,"""Location of Salt Bins throughout Dumfries and Galloway"""
Salt Bins,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/be48ea86-9fb5-4b22-b948-97b8cbeeb64b,https://data.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/resource?resourceGUID=0ab0deb1-b686-47b6-b18c-1a40280ae76d,Salt Bins.xml,2017-11-20T09:37:03.626Z,2019-09-17T20:32:25.132Z,,,xml,,Infrastructure,Transport,OGL3,"""Location of Salt Bins throughout Dumfries and Galloway"""
Salt Bins,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/be48ea86-9fb5-4b22-b948-97b8cbeeb64b,https://data.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/resource?resourceGUID=54428067-660c-4e13-af89-b65cdfbd9ee6,Salt Bins.csv,2017-11-20T09:37:03.626Z,2019-09-17T20:32:25.132Z,,,csv,,Infrastructure,Transport,OGL3,"""Location of Salt Bins throughout Dumfries and Galloway"""
Nurseries,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/7b74d2d8-a96f-4b5a-be63-b895e4a939e2,https://data.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/resource?resourceGUID=a4871862-2752-4209-8ff8-d0f9c8da3574,Nurseries.json,2017-11-16T13:35:10.411Z,2017-11-16T16:06:12.039Z,,,json,,Social / Community,Children,OGL3,"""Nurseries in Dumfries and Galloway with headcount of children attending."""
