Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
LDP2 Conservation Areas,Argyll and Bute Council,https://www.arcgis.com/home/item.html?id=e262286018d04f56970ae7be3b98ba72,,,2023-11-20,2024-02-28,524288,bytes,Feature Layer,31,LDP2;Conservation;Planning;Local Development Plan,,,"Conservation Areas designated in the Argyll and Bute Local Development Plan 2. Conservation Areas ""are areas of special architectural or historic interest, the character or appearance of which it is desirable to preserve or enhance"". S.61 Planning (Listed Buildings and Conservation Areas) (Scotland) Act 1997 Conservation Areas are crucial to the conservation of our environment. They can cover historic land, battlefields, public parks, designed landscapes or railways but most contain groups of buildings extending over areas of a village, town or city. To safeguard them for the enjoyment and benefit of future generations any new development should preserve or enhance their varied character."
LDP2 Areas for Action,Argyll and Bute Council,https://www.arcgis.com/home/item.html?id=f2ebe5317c4e4942a705441e3a6b0b59,,,2023-11-20,2024-07-19,303104,bytes,Feature Layer,37,LDP2;Areas for Action;Planning;Local Development Plan,,,"Areas for Action designated in the Argyll and Bute adopted Local Development Plan 2. Subject to resource availability during the plan-period, these areas will be the focus for partnership or community action. Area remits for these AFAs are being worked up in the Supplementary Information and Guidance report; these area remits may include investment and funding packages, land assembly and asset management programmes, development and redevelopment proposals, infrastructure provision and environmental enhancement proposals. Depending on circumstances, AFAs may coincide with other categories of sites such as potential development areas. "
Open Data - Adopted Core Paths,Argyll and Bute Council,https://www.arcgis.com/home/item.html?id=643b80fbbdfa4b139129e871a4ec2d69,,,2017-07-07,2017-07-18,77,bytes,Feature Layer,964,Paths;Access;Transport;Environment,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Argyll &amp; Bute Council has adopted a Core Paths Plan for the Council area, to meet the requirements of the Land Reform (Scotland) Act 2003:  It should be noted that there is a separate Core Paths Plan for those areas of Argyll that fall in the Loch Lomond and the Trossachs National Park.  The Core Paths Plan was adopted by the Council on 25 June 2015 following a Local Inquiry.  Core Paths form the basic framework of paths, linking with other access provision. Any route across land or inland water can be a Core Path. The Core Paths Network as a whole should provide sufficient access opportunities for the full range of access takers, including walkers, cyclists and horse riders, of varying abilities. The network extends across the whole area with paths including trod paths across natural ground, farm and forest tracks as well as minor roads and footways beside public roads."
Open Data - Polling District,Argyll and Bute Council,https://www.arcgis.com/home/item.html?id=acae4681cabe4ed58d150f3ec9697e25,,,2017-07-07,2017-07-18,77,bytes,Feature Layer,99,Boundary;Electoral,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"A ‘polling district’ is a geographical subdivision of an electoral area such as an electoral Ward within which a polling place is designated.The Representation of the People Act 1983 places a duty on LA to divide the local authority area into polling districts based on ward boundaries, and to designate a polling place for each district. LAs also have a duty to keep these polling arrangements under review. The Electoral Administration Act 2006 introduced amendments to the 1983 Act (which in turn has been superseded by The Electoral Administration Act 2013). Now local authorities must conduct a full review (with public consultation) of its polling districts and polling places every four years, however adjustments to the boundaries of polling districts and the designation of polling places within LA wards can be proposed at any time in response to changes in ward boundaries or to the availability of premises that can be reasonably designated as polling places"
LDP2 Town Centre Edge Of Centre,Argyll and Bute Council,https://www.arcgis.com/home/item.html?id=11cf8d3be6e748b49d4909a95783d23b,,,2023-11-20,2023-11-29,155648,bytes,Feature Layer,21,Planning;Main Town Centres;Edge of Town Centres;Local Development Plan;LDP2,,,Town Centres and Edge of Centre designated in the Argyll and Bute adopted Local Development Plan 2. The six main towns and the five small towns of Argyll and Bute defined as key settlements; these being town centres defined mainly for retail policy purposes.
LDP2 Potential Development Areas,Argyll and Bute Council,https://www.arcgis.com/home/item.html?id=aabb9eae51dc484181df3be446acef2f,,,2023-11-20,2023-11-29,229376,bytes,Feature Layer,42,Planning; Housing;LDP2;Local Development Plan,,,Potential Development Areas designated in the Argyll and Bute adopted Local Development Plan 2 
LDP2 Core Shopping Areas,Argyll and Bute Council,https://www.arcgis.com/home/item.html?id=4af5e487e880497cafdeee8eea733bfe,,,2023-11-20,2023-11-20,81920,bytes,Feature Layer,6,Core Shopping Areas;LDP2;Planning;Local Development Plan,,,Core Shopping Areas designated in the Argyll and Bute Local Development Plan 2. Policy areas within the main town centres where non-retail development is restricted in the interests of sustaining the commercial integrity of the town centres and their central shopping functions.
LDP2 Local Landscape Areas,Argyll and Bute Council,https://www.arcgis.com/home/item.html?id=4bf09efaf95e4afe9d0bf60986fa9af0,,,2023-11-20,2024-07-19,3874816,bytes,Feature Layer,18,LDP2;Local Landscape Areas;Planning;Local Development Plan,,,Local Landscape Areas designated in the Argyll and Bute Local Development Plan 2. These are areas of regional importance in terms of their landscape quality which were previously identified as Areas of Panoramic Quality
LDP2 Established Business Industry Areas,Argyll and Bute Council,https://www.arcgis.com/home/item.html?id=31aedc34848e4c3e8eb6d846ffb5d3b7,,,2023-11-20,2023-11-20,229376,bytes,Feature Layer,59,Established Business & Industry Area;LDP2;Planning;Local Development Plan,,,Established Business &amp; Industry Areas designated in the Argyll and Bute adopted Local Development Plan 2
LDP2 Local Nature Conservation Site,Argyll and Bute Council,https://www.arcgis.com/home/item.html?id=fee0e243c306412ca3fe93dcdc9a1748,,,2023-11-16,2024-02-28,671744,bytes,Feature Layer,158,Local Nature Conservation Sites;LDP2;Planning;Local Development Plan,,,Local Nature Conservation Sites designated in the Argyll and Bute adopted Local Development Plan 2
