Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
Housing Land Audit 2018 (Moray),Moray Council,https://www.arcgis.com/home/item.html?id=cabe9105f3de49b498c3a0362c446099,,,2018-12-19,2020-11-30,79,bytes,Feature Layer,132,Planning;INSPIRE;boundaries,,,"Housing Land Audit 2018 sites for housing with a capacity for 4 or more homes. The audit provides details of Moray's housing land supply as at January 2018. The audit has been produced using the guidance set out in Scottish Planning Policy, Planning Advice Note 2/2010 and Homes for Scotland Advice Note on Housing Land Audits. The audit meets the requirements of Scottish Planning Policy 2014. Further information can be found at Development Monitoring."
Housing Land Audit 2017 (Moray),Moray Council,https://www.arcgis.com/home/item.html?id=89dc6334d385499394d60066627b3dc6,,,2017-07-10,2020-11-30,78,bytes,Feature Layer,133,Planning;boundaries;INSPIRE,,,"Housing Land Audit 2017 sites for housing with a capacity for 4 or more homes. The audit provides details of Moray's housing land supply as at January 2017. The audit has been produced using the guidance set out in Scottish Planning Policy, Planning Advice Note 2/2010 and Homes for Scotland Advice Note on Housing Land Audits. The audit meets the requirements of Scottish Planning Policy 2014. Further information can be found at Development Monitoring."
Secondary School Catchments (Moray) (non denominational),Moray Council,https://www.arcgis.com/home/item.html?id=1892c1ffa5094c479f8769b5563ac88c,,,2017-03-06,2020-11-30,77,bytes,Feature Layer,8,Open Data;education;boundaries,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"  In Moray, the education authority discharges its duty to secure adequate and efficient education for the local authority area by operating a “catchment area” system to enable parents/carers to comply with their duty to provide efficient education for their child(ren).  The zones (catchment areas) are shown as delineated areas on maps.  Information on these catchment areas is available at the Moray Council website.  Most parents of children living within the catchment area will choose for their children to attend the designated primary and secondary school for their catchment area.  If a parent wishes their child to be enrolled at a school which is not the designated catchment area school for their postal address, they must make an out-of-zone ‘placing request’.    "
Primary School Catchments (Moray) (non denominational),Moray Council,https://www.arcgis.com/home/item.html?id=73871d46f492412c8f88fd6159553a20,,,2017-03-24,2023-08-22,77,bytes,Feature Layer,42,education;Open Data;boundaries,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"In Moray, the education authority discharges its duty to secure adequate and efficient education for the local authority area by operating a “catchment area” system to enable parents/carers to comply with their duty to provide efficient education for their child(ren).  The zones (catchment areas) are shown as delineated areas on maps.  Information on these catchment areas is available at the Moray Council website.Most parents of children living within the catchment area will choose for their children to attend the designated primary and secondary school for their catchment area.If a parent wishes their child to be enrolled at a school which is not the designated catchment area school for their postal address, they must make an out-of-zone ‘placing request’.  "
Primary School Catchments (Moray) (Denominational),Moray Council,https://www.arcgis.com/home/item.html?id=bcf635b45e9044b0ab64343f503228d5,,,2017-07-10,2020-11-30,77,bytes,Feature Layer,4,education;Open Data;boundaries,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Primary School Catchments (Moray) (Denominational).  The zones  (catchment areas) are shown as delineated areas on maps.  Information on  these catchment areas is available at the Moray Council website.
Primary School Catchments 1996 - 2015 (Moray) (non denominational),Moray Council,https://www.arcgis.com/home/item.html?id=5f6c599e305c40e486be7f348d1716ec,,,2017-10-27,2020-11-30,86,bytes,Feature Layer,42,education;Open Data;boundaries,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Primary School Catchments 24/04/1996 - 31/12/2015 (Moray) (non denominational)In  Moray, the education authority discharges its duty to secure adequate  and efficient education for the local authority area by operating a  “catchment area” system to enable parents/carers to comply with their  duty to provide efficient education for their child(ren).  The zones  (catchment areas) are shown as delineated areas on maps.  Information on  these catchment areas is available at the Moray Council website.Most  parents of children living within the catchment area will choose for  their children to attend the designated primary and secondary school for  their catchment area.If  a parent wishes their child to be enrolled at a school which is not the  designated catchment area school for their postal address, they must  make an out-of-zone ‘placing request’.  "
Primary School Catchments 2016 - 2017 (Moray) (non denominational),Moray Council,https://www.arcgis.com/home/item.html?id=0828c75754324d5e99d53c779eddd30d,,,2017-10-27,2020-11-30,86,bytes,Feature Layer,43,education;Open Data;boundaries,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Primary School Catchments 01/01/2016 - 13/08/2017 (Moray) (non denominational)In  Moray, the education authority discharges its duty to secure adequate  and efficient education for the local authority area by operating a  “catchment area” system to enable parents/carers to comply with their  duty to provide efficient education for their child(ren).  The zones  (catchment areas) are shown as delineated areas on maps.  Information on  these catchment areas is available at the Moray Council website.Most  parents of children living within the catchment area will choose for  their children to attend the designated primary and secondary school for  their catchment area.If  a parent wishes their child to be enrolled at a school which is not the  designated catchment area school for their postal address, they must  make an out-of-zone ‘placing request’.  "
Secondary School Catchments 2016 - 2017 (Moray) (non denominational),Moray Council,https://www.arcgis.com/home/item.html?id=f527fa3a9475430cb08a496817fcecd7,,,2017-10-27,2020-11-30,86,bytes,Feature Layer,8,education;Open Data;boundaries,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Secondary School Catchments 24/10/2016 - 13/08/2017 (Moray) (non denominational)In  Moray, the education authority discharges its duty to secure adequate  and efficient education for the local authority area by operating a  “catchment area” system to enable parents/carers to comply with their  duty to provide efficient education for their child(ren).  The zones  (catchment areas) are shown as delineated areas on maps.  Information on  these catchment areas is available at the Moray Council website.Most  parents of children living within the catchment area will choose for  their children to attend the designated primary and secondary school for  their catchment area.If  a parent wishes their child to be enrolled at a school which is not the  designated catchment area school for their postal address, they must  make an out-of-zone ‘placing request’.  "
Secondary School Catchments 1996 - 2016 (Moray) (non denominational),Moray Council,https://www.arcgis.com/home/item.html?id=40b74eeb21874aa482f2b7dec312ce4a,,,2017-10-27,2020-11-30,86,bytes,Feature Layer,8,education;Open Data;boundaries,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Secondary School Catchments 24/04/1996 - 23/10/2016 (Moray) (non denominational)In  Moray, the education authority discharges its duty to secure adequate  and efficient education for the local authority area by operating a  “catchment area” system to enable parents/carers to comply with their  duty to provide efficient education for their child(ren).  The zones  (catchment areas) are shown as delineated areas on maps.  Information on  these catchment areas is available at the Moray Council website.Most  parents of children living within the catchment area will choose for  their children to attend the designated primary and secondary school for  their catchment area.If  a parent wishes their child to be enrolled at a school which is not the  designated catchment area school for their postal address, they must  make an out-of-zone ‘placing request’.  "
Local Development Plan Rural Groupings Designations (Moray),Moray Council,https://www.arcgis.com/home/item.html?id=9bd82804a7d34a7aa8960f4947b15211,,,2017-12-13,2022-11-15,67,bytes,Feature Layer,183,Planning;Boundaries;INSPIRE,,,"The Local Development Plan 2015 was superseded by the Local Development Plan 2020 on 27 July 2020.Local Development Plan Rural Grouping Designations have been set out within many of the Local Development Plan Rural Groupings. Sites with development potential have been identified. These are acceptable in principle subject to compliance with the Moray Local Development Plan (MLDP) 2015, but will still require confirmation of technical requirements (eg road access; drainage).These designations do not imply any right of access or use of private land, nor do they commit the Council to any form of maintenance or upkeep of the site."
