Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
Annual Business Statistics,Renfrewshire Council,https://www.arcgis.com/home/item.html?id=549c194eaec6427cb9b93808d7a2afda,,,2019-07-19,2023-04-18,16384,bytes,Table,12,Renfrewshire;Open Data;Business and Economy,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Scottish Annual Business Survey 2020 - filtered for Renfrewshire.  Scottish Annual Business Statistics (SABS), which is largely sourced to the Annual Business Survey, provides data mainly on the Production (including Manufacturing), Construction and Service Sectors in Scotland. The main sectors not covered are the financial sector &amp; parts of agriculture and the public sector. Data are classified according to industry group and geographical area. All figures are at current prices.Variables include employment, employees, turnover, purchases of goods &amp; services, approximate gross value added (GVA), gross wages &amp; salaries, labour costs, total output and number of business units. GVA per head, gross wages &amp; salaries per head and labour costs per head are also available."
Mid year 2018 population estimate,Renfrewshire Council,https://www.arcgis.com/home/item.html?id=15c9fe9deaaf405ca361cd632cc7cfba,,,2019-07-19,2019-07-24,16384,bytes,Table,4,Renfrewshire;Open Data;Population and Society,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Mid-year population estimates: Scotland and Renfrewshire by single year of age and sex 1981 to 2018.  Annual publication of mid-year population estimates by age and sex as at 30 June every year, where population for higher geographies is aggregated from the population estimates for 2011 Data Zones.Data zones are the small area geography used by the Scottish Government to allow statistics to be available across a number of policy areas. Data zones were initially set up to nest within council area boundaries and to have a population of between 500 and 1,000 household residents. As much as possible, data zones were set up to contain households with similar social characteristics and to take into consideration physical boundaries. More information on data zone geography can be found on the Scottish Government website. There are 6,976 data zones in Scotland.Following the 2011 Census the Scottish Government completed a consultation on the redrawing of data zone boundary and finalised the new data zones. 2011 Data Zones were published at the end of 2014.Intermediate zones are built up from data zones. Intermediate zones are the statistical small geographical areas designed to contain a population of between 2,500 and 6,000 household residents. There are 1,235 intermediate zones in Scotland. More information on intermediate geography can be found on the Scottish Government website.For more information on population statistics, please see the NRS website here: https://www.nrscotland.gov.uk/statistics-and-data/statistics/statistics-by-theme/population/population-estimates/mid-year-population-estimatesSingle year of age population estimates are available on the NRS website here: https://www.nrscotland.gov.uk/statistics-and-data/statistics/statistics-by-theme/population/population-estimates/2011-based-special-area-population-estimates/small-area-population-estimates"
Fire - Type of Incident 2017/18,Renfrewshire Council,https://www.arcgis.com/home/item.html?id=5ccecdc001ad421ebac54c69b23bf914,,,2019-07-22,2019-07-23,16384,bytes,Table,38,Open Data;Renfrewshire;Community,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"This dataset provide the numbers and rates of fires in Renfrewshire down to dintermediate zone level. Data is provided for the total number of fires, including accidental and deliberate causes.Data is entered by the Scottish Fire and Rescue Service into the Incident Recording System. This dataset is an extract from this live management information system, and thus may differ slightly from other extracts taken on different dates such as the statistics published on the Scottish Fire and Rescue Service website."
ScotRail Station Facilities,Renfrewshire Council,https://www.arcgis.com/home/item.html?id=b0b58021aad34051a5f14ea4b68dfd34,,,2018-05-11,2018-05-11,32768,bytes,Feature Layer,10,Open Data;Renfrewshire;Transportation,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Extract of data taken from the Disabled Person Protection Policy. Data details the access for wheelchairs or disabled people when using rails stations. 
St Mirren Fixtures 2022/23,Renfrewshire Council,https://www.arcgis.com/home/item.html?id=ed2e302a57a34868ad0bd311fd888d0f,,,2018-08-17,2023-04-24,57344,bytes,Feature Layer,126,Open Data;Renfrewshire;Community,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,A dataset showing the fixtures and results of football games played by St Mirren football teams. For further information please visit https://www.stmirren.com/news/matchday/first-team-fixtures
Travel to Work and Other Purposes,Renfrewshire Council,https://www.arcgis.com/home/item.html?id=71efe4b2a5f64a4f99842eb37af251db,,,2019-07-23,2019-07-23,16384,bytes,Table,2,Renfrewshire;Open Data;Transportation,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,"Detailed statistics on what mode of transport people usually use to get to work and education, as well as the percentage of total journeys which people make for a given purpose and children's mode of travel to school (from the Scottish Household Survey).  These estimates are from the Scottish Household Survey Travel Diary, which asks adult respondents about all the journeys which they made the previous day, as well as information about the mode, purpose, duration and length of these journeys. The proportion of people who travel to work by public or active travel is a National Indicator in the Scotland Performs framework.  SHS estimates are National Statistics and provide figures which are representative of households and individuals in Scotland annually. The SHS has an annual sample size of around 10,000 individuals and, since 2012, has operated with a fully unclustered sample design."
Business Sites 2017,Renfrewshire Council,https://www.arcgis.com/home/item.html?id=efc491c10f6e42c9a22fb4177b30582e,,,2019-07-23,2019-07-23,16384,bytes,Table,38,Renfrewshire;Open Data;Business and Economy,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Estimates about the number of VAT/PAYE registered stocks and sites operating in Renfrewshire, broken down by industry sector and intermediate zone areas, and produced by Scottish Government within the Businesses in Scotland publication.A local unit (business site) is an enterprise or part thereof (e.g. a workshop, factory, warehouse, office, mine or depot) situated in a geographically identified place."
Baby First Names 2018 (girls),Renfrewshire Council,https://www.arcgis.com/home/item.html?id=e708a65d88c44191875a7ddb8c748113,,,2019-04-18,2019-04-18,16384,bytes,Table,71,Renfrewshire;Open Data;Population and Society,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Babies' first forenames by Council area, 2018 based on the records for all the births which were registered in that year - filtered for Renfrewshire. Notes - a) each list covers first forenames given to 3+ babies of that sex in the specified council area (so OMITS first forenames given to only 1-2 babies of that sex).b) the geographical basis is the usual one for National Records of Scotland (NRS) statistics of births, which is births registered in Scotland to mothers who lived in the specified council area plus any births to mothers from outwith Scotland which occurred in the specified council area. "
Baby First Names 2018 (boys),Renfrewshire Council,https://www.arcgis.com/home/item.html?id=a6603c44e7d44c1fbc124068c8c53426,,,2019-04-18,2019-04-18,16384,bytes,Table,90,Renfrewshire;Open Data;Population and Society,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Babies' first forenames by Council area, 2018 based on the records for all the births which were registered in that year - filtered for Renfrewshire.   Notes -   a) each list covers first forenames given to 3+ babies of that sex in the specified council area (so OMITS first forenames given to only 1-2 babies of that sex).  b) the geographical basis is the usual one for National Records of Scotland (NRS) statistics of births, which is births registered in Scotland to mothers who lived in the specified council area plus any births to mothers from outwith Scotland which occurred in the specified council area. "
Scottish Index of Multiple Deprivation 2016 Indicator Data,Renfrewshire Council,https://www.arcgis.com/home/item.html?id=e6254992c57f4f65b57e45d847dae0ac,,,2017-12-04,2018-09-12,106496,bytes,Table,231,Open Data;Renfrewshire;Population and Society,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Scottish Index of Multiple Deprivation (SIMD) 2016 indicator data for Renfrewshire. For more information, guidance, and SIMD16 Technical Notes please go to http://www.gov.scot/SIMD"
