Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
RDC Forest Plans,Scottish.Forestry,https://www.arcgis.com/home/item.html?id=cc090aae9b7f4d65888f9f401e2bca8e,,,2019-11-20,2023-10-31,70139904,bytes,Feature Layer,2241,Open Data;RDC;Rural Development Contracts;Forest Plans;Felling,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"  This dataset identifies Forest Plans approved during Rural Development Contracts –Rural Priorities 2007-2013.  Forest Plans aim to deliver long-term environmental benefits through sustainable forest management and consists of a strategic plan describing the major forest operations over a 20 year period.    Support was given to help prepare a Forest Plan through the SRDP's Woodland Improvement Grant (WIG) for long-term forest planning. An approved Forest Plan will give a 10 year approval for felling, thinning and will provide the means of accessing grants for restructuring felling and regeneration and other grant support.    This dataset stores information on the Forest Plan boundary, the 1st and 2nd clearfell phases (1-5 years and 6-10 years) and areas managed under Low Impact Silvicultural Systems (LISS).    Basic attribute information is captured during the digitising process. This is subsequently joined to more comprehensive information which is entered in an Excel spreadsheet by Scottish Forestry Conservancy staff.    For more detailed information please see the metadata record on Scotland's SpatialData.gov.scot Metadata Portal."
SFGS Forest Plans,Scottish.Forestry,https://www.arcgis.com/home/item.html?id=83cd364a20be4155983c9146e2db1149,,,2019-11-20,2020-01-10,17940480,bytes,Feature Layer,755,Open Data;SFGS;Scottish Forestry Grant Scheme;Forest Plans;Felling,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"  This dataset identifies Forest Plans approved during the Scottish Forestry Grant Scheme 2003-2006.  Forest Plans aim to deliver long-term environmental benefits through sustainable forest management and consists of a strategic plan over a 20 year period.  Forest Plans were introduced for landowners planning to carry out felling, restocking and thinning in their woodlands.    Forestry Commission Scotland provided a grant to help prepare a plan (Plan Preparation Grant) and owners could claim restocking grants set at the same rate as the Woodland Grant Scheme (1999 - 2003) or Scottish Forestry Grant Scheme (2003 - 2006).    Once the plan was approved, a Forest Plan contract provided felling and restocking approval for 10 years.    Forest Plans (SFGS) were closed to new applications in December 2006.    For more detailed information please see the metadata record on Scotland's SpatialData.gov.scot Metadata Portal."
SFGS Link Scheme Operations,Scottish.Forestry,https://www.arcgis.com/home/item.html?id=444f37ad3ddb4ba98982c16a45c8f484,,,2019-11-18,2024-02-14,3350528,bytes,Table,19494,Open Data;Scottish Forestry Grant Scheme;SFGS;Scheme Operations,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"  This is a non-spatial table.  It contains data on Scottish Forestry Grant Scheme (SFGS) operations that can be related to the SFGS Scheme Boundary spatial dataset on the SCHEME_NO field (Scheme Number).  The spatial dataset is related to this non-spatial table on a 'one to many' basis.  This reflects the fact that many operations may occur within one SFGS Scheme Boundary.  This dataset was extracted from the Grants and Licences System (GLS) that was used by the Forestry Commission to manage grants for SFGS.  More details on SFGS and the associated spatial data can be found in the metadata for the relevant spatial datasets.  SFGS encouraged the creation and management of woods and forests to provide economic, environmental and social benefits.  For more detailed information please see the metadata record on Scotland's SpatialData.gov.scot Metadata Portal."
RDC Woodland Creation Options 2007-2013,Scottish.Forestry,https://www.arcgis.com/home/item.html?id=e19945d8db6d456c9649c9b0ad23c762,,,2019-10-30,2020-01-24,11894784,bytes,Feature Layer,2213,Open Data;RDC;Rural Development Contracts;Woodland Creation;Options,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Woodland Creation formed part of the Scottish Rural Development Programme (SRDP) 2007 - 2013. This SRDP was a programme of economic, environmental and social measures, utilising some €680m of European Agricultural Fund for Rural Development funding plus Scottish Government match funding. This programme was designed to support rural Scotland from 2007 to 2013. Individuals and groups were able to seek funding to help deliver the Government's strategic objectives in rural Scotland.    Woodlands are a vital sustainable natural resource and funding aims to encourage the creation of new woodlands with grants that will contribute to the cost of their establishment.    Within Rural Priorities there are eight woodland creation options.    Productive conifer woodland (low cost)Productive conifer woodland (high cost)Productive broadleaved woodlandNative WoodlandsNaturally regenerated native woodlandMixed conifer/broadleaf woodlandNorthern &amp; Western Isles Native WoodlandCentral Scotland Mixed Woodland    The woodland creation polygons in this dataset represent the areas which have been approved for new planting. Data is captured by the woodland creation option type and by the year the planting is intended to take place (claim year).    A boundary which encompasses all the new planting options and claim years within a specific case is available in the Woodland Creation Boundary RDC dataset.  For more detailed information please see the metadata record on Scotland's SpatialData.gov.scot Metadata Portal.  "
RDC Woodland Creation Boundary 2007-2013,Scottish.Forestry,https://www.arcgis.com/home/item.html?id=707a5ee0736047e18a320a3e86a3e291,,,2019-10-30,2020-01-24,6348800,bytes,Feature Layer,1809,Open Data;RDC;Rural Development Contracts;Woodland Creation,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Woodland Creation formed part of the Scottish Rural Development Programme (SRDP) 2007 - 2013. This SRDP was a programme of economic, environmental and social measures, utilising some €680m of European Agricultural Fund for Rural Development funding plus Scottish Government match funding. This programme was designed to support rural Scotland from 2007 to 2013. Individuals and groups were able to seek funding to help deliver the Government's strategic objectives in rural Scotland.    Woodlands are a vital sustainable natural resource and funding aims to encourage the creation of new woodlands with grants that will contribute to the cost of their establishment.    Within Rural Priorities there are eight woodland creation options.    Productive conifer woodland (low cost)Productive conifer woodland (high cost)Productive broadleaved woodlandNative WoodlandsNaturally regenerated native woodlandMixed conifer/broadleaf woodlandNorthern &amp; Western Isles Native WoodlandCentral Scotland Mixed Woodland    The woodland creation boundary polygons in this dataset represent the total area covered by a single application and may encompass several different planting options and claim years.    More details on specific options within a case can be found in the Woodland Creation Options - RDC dataset.  For more detailed information please see the metadata record on Scotland's SpatialData.gov.scot Metadata Portal.  "
SFGS Scheme Boundary,Scottish.Forestry,https://www.arcgis.com/home/item.html?id=e2bac5662a9d411c88f6f8c993417c48,,,2019-11-18,2020-01-24,28631040,bytes,Feature Layer,2878,Open Data;Scottish Forestry Grant Scheme;SFGS;Scheme Boundary;Woodland Creation,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"The Scottish Forestry Grant Scheme (SFGS) - encouraged the creation and management of woods and forests to provide economic, environmental and social benefits.  This dataset identifies scheme boundary areas from SFGS.  Following publication of the Scottish Executive’s Scottish Forestry Strategy 'Forests for Scotland' the opportunity was taken to review the Woodland Grant Scheme and the Farm Woodland Premium Scheme and give them a greater Scottish focus.     The Scottish Forestry Grant Scheme (SFGS) - encouraged the creation and management of woods and forests to provide economic, environmental and social benefits.    Grants were available under three main areas:    Grants for woodland expansion - creating new woodlands.Restocking grants, for replanting following felling.Stewardship grants, for a range of activities in existing woodlands.    Applications for SFGS grants started in June 2003 and closed in August 2006.    Most grants for SFGS were based on a percentage of Standard Costs of agreed operations. The Standard Cost took account of the costs of labour, plants, machinery, materials and supervision to do work to the specification as set out in the SFGS Standard Costs and Specifications Booklet.    Depending upon the level of public benefit, grant payments were either at 60% or 90% of the Standard Cost. In the case of restocking, Standard Costs were mostly pitched at 75% of the new planting Standard Costs.    Grants were available for planting proposals that met one or more of the following objectives:    Establishing well-designed productive woodland.Expanding areas of native woodland, preferably through natural regeneration and the development of Forest Habitat Networks.Improving riparian habitat.Improving the quality and setting of urban or post-industrial areas.Improving the diversity of the farmed and crofting landscape.    Details of all eligible operations are set out within the 'Applicants Booklet' available from Conservancy Offices.    SFGS OBJECTIVES  The abbreviations below list the SFGS objectives proposals are designed to meet:    Establishment grants     P1 to establish well-designed productive forestP2 to expand the area of native woodlandP3 to improve a riparian habitatP4 to improve the quality and setting of urban or post-industrial areasP5 to improve the diversity of the farmed/crofting landscape    Stewardship Grants     S1 to improve timber qualityS2 to reduce deer numbersS3 to improve the ecological value of native woodlandsS4 to improve woodland biodiversityS5 to enhance landscape valueS6 to develop alternative systems to clear-fellingS7 to develop woodland recreationS8 to develop community involvement    Restocking grants     R1 to produce well designed productive forestR2 to restore areas of native woodlandR3 to improve riparian habitatR4 to improve the quality and setting of urban or post-industrial areasR5 to improve the diversity of the farmed/crofting landscape    Felling     F1 Clear fellingF2 Selective fellingF3 Continuous CoverF4 Thinning    Other land     OL is not grant aided    SPATIAL DATA  There are four spatial datasets associated with SFGS. These represent the scheme boundaries, management plan boundaries, sub-compartment boundaries and deer fence lines within each approved SFGS scheme.     Each SFGS spatial dataset is accompanied by a specific non-spatial database table. The datasets can be related to each other on a 'many to one' basis. This reflects the fact that many SFGS operations may occur within one spatial geography (eg.a sub-compartment).    The S_SFGS_SCHEME_BDY spatial dataset can be 'related' to the S_LINK_SFGS_OPSSCHEME table using the 'SchemeNo' attribute field.     S_SFGS_SCHEME_BDY Spatial Attributes:-    SchemeNo:   SFGS Scheme numberDescriptor:   Description of spatial featureSchemeName:   Name of SFGS SchemeCons_Name:   ConservancyCont_Start:   Date contract startedGrid_Ref:   National grid referenceLocal_Auth:   Local AuthorityStatus:   Scheme status    S_LINK_SFGS_OPSSCHEME Database Table Attributes:    SchemeNo:   SFGS Scheme numberScheme_Type:   Type of scheme (SFGS, Forest Plan, etc)Grant_Type:   Grant type codeDescriptor:   Description of grant typeClaim_No:   Claim numberQuantity:   Length, number or area of operationUnit:   Unit of operation (eg. metres, visits, hectares)Pct_Cost:   Percentage of total cost paid under SFGSPay_Rate:   Payment rate per unit (£)Grant_Paid:   Amount of grant paid (£)Pay_In_FY:   Financial year in which payment should be madeObj_Code:   SFGS Objective code (see above for full descriptions)   For more detailed information please see the metadata record on Scotland's SpatialData.gov.scot Metadata Portal.  "
SFGS Sub Compartments,Scottish.Forestry,https://www.arcgis.com/home/item.html?id=7d8771e248204bd2b35cafdd12637c11,,,2019-11-18,2020-01-24,59252736,bytes,Feature Layer,21430,Open Data;Scottish Forestry Grant Scheme;SFGS;Sub Compartments;Woodland Creation,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"The Scottish Forestry Grant Scheme (SFGS) - encouraged the creation and management of woods and forests to provide economic, environmental and social benefits.  This dataset identifies sub-compartment areas from SFGS.  Following publication of the Scottish Executive’s Scottish Forestry Strategy 'Forests for Scotland' the opportunity was taken to review the Woodland Grant Scheme and the Farm Woodland Premium Scheme and give them a greater Scottish focus.     The resulting scheme - the Scottish Forestry Grants Scheme (SFGS) - encouraged the creation and management of woods and forests to provide economic, environmental and social benefits.    Grants were available under three main areas:    Grants for woodland expansion - creating new woodlands.Restocking grants, for replanting following felling.Stewardship grants, for a range of activities in existing woodlands.    Applications for SFGS grants started in June 2003 and closed in August 2006.    Most grants for SFGS were based on a percentage of Standard Costs of agreed operations. The Standard Cost took account of the costs of labour, plants, machinery, materials and supervision to do work to the specification as set out in the SFGS Standard Costs and Specifications Booklet.    Depending upon the level of public benefit, grant payments were either at 60% or 90% of the Standard Cost. In the case of restocking, Standard Costs were mostly pitched at 75% of the new planting Standard Costs.    Grants were available for planting proposals that met one or more of the following objectives:    Establishing well-designed productive woodland.Expanding areas of native woodland, preferably through natural regeneration and the development of Forest Habitat Networks.Improving riparian habitat.Improving the quality and setting of urban or post-industrial areas.Improving the diversity of the farmed and crofting landscape.    Details of all eligible operations are set out within the 'Applicants Booklet' available from Conservancy Offices.    SFGS OBJECTIVES  The abbreviations below list the SFGS objectives proposals are designed to meet:    Establishment grants     P1 to establish well-designed productive forestP2 to expand the area of native woodlandP3 to improve a riparian habitatP4 to improve the quality and setting of urban or post-industrial areasP5 to improve the diversity of the farmed/crofting landscape    Stewardship grants     S1 to improve timber qualityS2 to reduce deer numbersS3 to improve the ecological value of native woodlandsS4 to improve woodland biodiversityS5 to enhance landscape valueS6 to develop alternative systems to clear-fellingS7 to develop woodland recreationS8 to develop community involvement    Restocking grants     R1 to produce well designed productive forestR2 to restore areas of native woodlandR3 to improve riparian habitatR4 to improve the quality and setting of urban or post-industrial areasR5 to improve the diversity of the farmed/crofting landscape    Felling     F1 Clear fellingF2 Selective fellingF3 Continuous CoverF4 Thinning    Other land     OL is not grant aided    SPATIAL DATA  There are four spatial datasets associated with SFGS. These represent the scheme boundaries, management plan boundaries, sub-compartment boundaries and deer fence lines within each approved SFGS scheme.     Each SFGS spatial dataset is accompanied by a specific non-spatial database table. The datasets can be related to each other on a 'many to one' basis. This reflects the fact that many SFGS operations may occur within one spatial geography (eg.a sub-compartment).    The S_SFGS_SUB_CPT spatial dataset can be 'related' to the S_LINK_SFGS_OPSSUB table using the 'SC_Link' attribute field.     S_SFGS_SUB_CPT Spatial Attributes:-    SchemeNo:   SFGS Scheme numberCompt_No:   Compartment numberSub_Compt:   Sub compartment letterSC_Link:   Concatenated field used to relate spatial data to tableDescriptor:   Description of spatial featureSchemeName:   Name of SFGS SchemeCons_Name:   ConservancyCont_Start:   Date contract startedGrid_Ref:   National grid referenceLocal_Auth:   Local AuthorityStatus:   Scheme status    S_LINK_SFGS_OPSSUB Database Table Attributes:-    SC_Link:   Concatenated field used to relate table to spatial dataScheme_Type:   Type of scheme (SFGS, Forest Plan, etc)Grant_Type:   Grant type codeDescriptor:   Description of grant typeClaim_No:    Claim numberInst_No:    Instalment number for plantingQuantity:   Length, number or area of operationUnit:   Unit of operation (eg. metres, visits, hectares)Pct_Cost:   Percentage of total cost paid under SFGSPay_Rate:   Payment rate per unit (£)Grant_Paid:   Amount of grant paid (£)Pay_In_FY:   Financial year in which payment should be madeSpecies:   Tree speciesPYear:   Planting yearArea_ha:   Area in hectaresStock_Dens:   Stocking density of plantingObj_Code:   SFGS Objective code (see above for full descriptions)  For more detailed information please see the metadata record on Scotland's SpatialData.gov.scot Metadata Portal.  "
SFGS Management Plans,Scottish.Forestry,https://www.arcgis.com/home/item.html?id=ccf4b816d84349ee8aeab26132e4f999,,,2019-11-18,2020-01-24,25772032,bytes,Feature Layer,1278,Open Data;Scottish Forestry Grant Scheme;SFGS;Management Plan,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"  The Scottish Forestry Grant Scheme (SFGS) - encouraged the creation and management of woods and forests to provide economic, environmental and social benefits.  This dataset identifies management plan areas from SFGS.  Following publication of the Scottish Executive’s Scottish Forestry Strategy 'Forests for Scotland' the opportunity was taken to review the Woodland Grant Scheme and the Farm Woodland Premium Scheme and give them a greater Scottish focus.     The Scottish Forestry Grant Scheme (SFGS) - encouraged the creation and management of woods and forests to provide economic, environmental and social benefits.    Grants were available under three main areas:    Grants for woodland expansion - creating new woodlands.Restocking grants, for replanting following felling.Stewardship grants, for a range of activities in existing woodlands.    Applications for SFGS grants started in June 2003 and closed in August 2006.     Most grants for SFGS were based on a percentage of Standard Costs of agreed operations. The Standard Cost took account of the costs of labour, plants, machinery, materials and supervision to do work to the specification as set out in the SFGS Standard Costs and Specifications Booklet.    Depending upon the level of public benefit, grant payments were either at 60% or 90% of the Standard Cost. In the case of restocking, Standard Costs were mostly pitched at 75% of the new planting Standard Costs.    Grants were available for planting proposals that met one or more of the following objectives:    Establishing well-designed productive woodland.Expanding areas of native woodland, preferably through natural regeneration and the development of Forest Habitat Networks.Improving riparian habitat.Improving the quality and setting of urban or post-industrial areas.Improving the diversity of the farmed and crofting landscape.    Details of all eligible operations are set out within the 'Applicants Booklet' available from Conservancy Offices.    SFGS OBJECTIVES  The abbreviations below list the SFGS objectives proposals are designed to meet:    Establishment grants     P1 to establish well-designed productive forestP2 to expand the area of native woodlandP3 to improve a riparian habitatP4 to improve the quality and setting of urban or post-industrial areasP5 to improve the diversity of the farmed/crofting landscape    Stewardship Grants     S1 to improve timber qualityS2 to reduce deer numbersS3 to improve the ecological value of native woodlandsS4 to improve woodland biodiversityS5 to enhance landscape valueS6 to develop alternative systems to clear-fellingS7 to develop woodland recreationS8 to develop community involvement    Restocking grants     R1 to produce well designed productive forestR2 to restore areas of native woodlandR3 to improve riparian habitatR4 to improve the quality and setting of urban or post-industrial areasR5 to improve the diversity of the farmed/crofting landscape    Felling     F1 Clear fellingF2 Selective fellingF3 Continuous CoverF4 Thinning    Other land     OL is not grant aided    SPATIAL DATA  There are four spatial datasets associated with SFGS. These represent the scheme boundary, management plan boundaries, sub-compartment boundaries and deer fence lines within each approved SFGS scheme.     The spatial datasets are related to the GLS database on a 'many to one' basis. This reflects the fact that many operations may occur within one sub-compartment.    Data is captured against OS Mastermap.    Management Plan Operation References    200 - Reducing deer numbers300 - Management plan for semi natural woodland301 - Survey for woodland condition302 - Biodiversity monitoring400 - Management plan for semi natural woodland401 - Survey for woodland condition402 - Biodiversity monitoring500 - Landscape design plan501 - Landscape baseline survey502 - Landscape monitoring600 - Alternative system to clearfell. Site survey and stand appraisal.601 - Management plan to develop alternative system to clearfell602 - Alternative system to clearfell. Site monitoring.603 - Alternative system to clearfell. Stand appraisal.700 - Recreation area management plan800 - Feasibility assessment801 - Training/on-going community involvement (CGIS do not capture)900 - Management Plan901 - Woodland Survey 902 - Monitoring    Each SFGS spatial dataset is accompanied by a specific non-spatial database table. The datasets can be related to each other on a 'many to one' basis. This reflects the fact that many SFGS operations may occur within one spatial geography (eg.a sub-compartment).    The S_SFGS_MAN_PLAN spatial dataset can be 'related' to the S_LINK_SFGS_OPSMANPLAN table using the 'SC_Link' attribute field.     S_SFGS_MAN_PLAN Spatial Attributes:-    SchemeNo:   SFGS Scheme numberSC_Link:   Concatenated field used to relate spatial data to tableGrant_Type:   Grant type codeSchemeName:   Name of SFGS SchemeCons_Name:   ConservancyCont_Start:   Date contract startedLocal_Auth:   Local AuthorityStatus Scheme:   statusObj_Code:   SFGS Objective codeDescriptor:   Description of spatial feature    S_LINK_SFGS_OPSMANPLAN Database Table Attributes:-    SchemeNo:   SFGS Scheme numberSC_Link:   Concatenated field used to relate table to spatial dataScheme_Type:   Type of scheme (SFGS, Forest Plan, etc)Grant_Type:   Grant type codeDescriptor:   Description of grant typeClaim_No:   Claim numberQuantity:   Length, number or area of operationUnit:   Unit of operation (eg. metres, visits, hectares)Pct_Cost:   Percentage of total cost paid under SFGSPay_Rate:   Payment rate per unit (£)Grant_Paid:   Amount of grant paid (£)Pay_In_FY:   Financial year in which payment should be madeObj_Code:   SFGS Objective code (see above for full descriptions)     For more detailed information please see the metadata record on Scotland's SpatialData.gov.scot Metadata Portal."
SFGS Link Management Plan Operations,Scottish.Forestry,https://www.arcgis.com/home/item.html?id=64579ec719614e41a830501d1f3fd158,,,2019-12-10,2024-02-14,434176,bytes,Table,1713,Open Data;SFGS;Scottish Forestry Grant Scheme;Management Plan;Operations,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"  This is a non-spatial table.  It contains data on Scottish Forestry Grant Scheme (SFGS) Management Plans that can be related to the SFGS Management Plans spatial dataset on the SCHEME_NO field (Scheme Number).  The spatial dataset is related to this non-spatial table on a 'one to many' basis.  This reflects the fact that many operations may occur within one SFGS Management Plan.  This dataset was extracted from the Grants and Licences System (GLS) that was used by the Forestry Commission to manage grants for SFGS.  More details on SFGS and the associated spatial data can be found in the metadata for the relevant spatial datasets.  SFGS encouraged the creation and management of woods and forests to provide economic, environmental and social benefits.  For more detailed information please see the metadata record on Scotland's SpatialData.gov.scot Metadata Portal."
SFGS Link Sub compartment Operations,Scottish.Forestry,https://www.arcgis.com/home/item.html?id=717d3739ef0443b79b65845840a98267,,,2019-11-18,2024-02-14,25542656,bytes,Table,93602,Open Data;Scottish Forestry Grant Scheme;SFGS;Sub Compartments;Operations,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"This is a non-spatial table.  It contains data on Scottish Forestry Grant Scheme (SFGS) operations that can be related to the SFGS Sub Compartment spatial dataset on the SC_LINK field (Scheme Number).  The spatial dataset is related to this non-spatial table on a 'one to many' basis.  This reflects the fact that many operations may occur within one SFGS sub compartment.  This dataset was extracted from the Grants and Licences System (GLS) that was used by the Forestry Commission to manage grants for SFGS.  More details on SFGS and the associated spatial data can be found in the metadata for the relevant spatial datasets.  SFGS encouraged the creation and management of woods and forests to provide economic, environmental and social benefits.  For more detailed information please see the metadata record on Scotland's SpatialData.gov.scot Metadata Portal."
