Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
Historic Settlement Action Zones,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=9b466c006f98476db286d5a628a9d308,,,2015-10-30,2023-02-02,87,bytes,Feature Layer,13,planning;conservation;historic,,,Action zones in force in areas of historic settlement
Denominational Primary Catchments,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=33a99a596f7343a5a280e029d72cb70a,,,2015-10-30,2023-02-02,87,bytes,Feature Layer,12,boundaries;schools;education,,,Areas depicting catchment zones for denominational primary schools
Southern Ayrshire and Galloway Biosphere,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=1247dc0ed92647e0aa1f999a3409e0b6,,,2015-10-30,2023-02-02,87,bytes,Feature Layer,2,environment;conservation;planning,,,Boundary for the Southern Ayrshire and Galloway Biosphere
Vacant and Derelict Land,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=a7fef8a46e4c49d497c2718ef40f80bb,,,2015-10-30,2023-02-02,86,bytes,Feature Layer,83,planning;regeneration;land,,,Areas of vacant and derelict land
Galloway Forest Park,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=e64ef903744442a5befce9fb19a64e53,,,2015-10-30,2023-02-02,87,bytes,Feature Layer,1,boundaries;woodland;tourism;environment,,,Extent of the Galloway Forest Park
Non-denominational Primary Catchments,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=bbb6cbfbf1044a7bb7652f642c41ef72,,,2015-10-30,2023-02-02,87,bytes,Feature Layer,44,boundaries;schools;catchment,,,Areas depicting catchment zones for non-denominational primary schools
Denominational Secondary Catchments,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=88a6db9db81349e8be6a4e94f1f1378d,,,2015-10-30,2023-02-02,87,bytes,Feature Layer,2,boundaries;schools;education,,,Areas depicting catchment zones for denominational secondary schools
Tree Preservation Orders,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=2afbf49fd8514e8aa67fa6a6eceeaf86,,,2015-10-30,2023-02-02,86,bytes,Feature Layer,93,planning;conservation;environment;woodland,,,Tree presevation orders in force across the area
Prestwick Airport Public Safety Zones,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=5934cd9303934b9ba4c23157ecb7bc40,,,2015-10-30,2023-02-02,86,bytes,Feature Layer,4,public safety;boundaries;planning;community safety,,,Public safety zones surrounding Prestwick Airport
Non-denominational Secondary Catchments,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=8ef9875413c34db6bbded52b6eaf8c07,,,2015-10-30,2023-02-02,87,bytes,Feature Layer,22,boundaries;schools;education,,,Areas depicting catchment zones for non-denominational secondary schools
Special Areas of Conservation,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=1df49391cbf448e4a7786efe6b52f008,,,2015-10-30,2023-02-02,87,bytes,Feature Layer,2034,boundaries;environment;conservation;planning,,,Special areas of conservation in Ayrshire
Special Protection Areas,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=fdd7141aced44013ac71e3cc2dac407b,,,2015-10-30,2023-02-02,87,bytes,Feature Layer,4564,boundaries;conservation;environment;planning,,,Areas of special protection in Ayrshire
Dark Skies Park Core Area,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=17a25600d18f42538dac2997aa6369fa,,,2015-10-30,2023-02-02,87,bytes,Feature Layer,1,boundaries;tourism;planning,,,Central core area of the Gallway Dark Skies Park
Historic Landfill Sites,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=e74ac17ef31b4c28a2c257977c4b31e1,,,2015-10-30,2023-02-02,86,bytes,Feature Layer,26,environment;waste;historic,,,Areas used historically for landfill
Prestwick Airport Safeguarding Zones,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=310950083fd945d5b618d2b18495d47a,,,2015-10-30,2023-02-02,86,bytes,Feature Layer,126,planning;development;community safety,,,Safeguarding zones for developments around Prestwick Airport
Gardens and Designed Landscapes,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=4176b297b0564de59db94477a6865ada,,,2015-10-30,2023-02-02,87,bytes,Feature Layer,141,planning;environment;historic,,,Extent of gardens and designed landscapes across Ayrshire
Employment Land Supply,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=ed7c55e6dd21435d82c4bafc1b0064d3,,,2021-10-12,2023-06-21,84,bytes,Feature Layer,53,employment land supply;planning,,,Marketable sites and locations for businesses allocated in development plans
Prestwick Airport Masterplan Boundary,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=58bca10b9ce94a5a91761f33a0a80f96,,,2023-02-16,2023-02-16,91,bytes,Feature Layer,1,planning;prestwick airport,,,Prestwick Airport Masterplan Boundary
Polling Districts 2022,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=80572b43c4b24d73ad2c4851aaeb9151,,,2017-03-13,2023-02-02,76,bytes,Feature Layer,72,elections;democracy,,,Areas depicting polling districts in South Ayrshire
Polling Places 2022,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=72bef698f90b4da7b28ee403598e4403,,,2017-03-13,2023-02-02,87,bytes,Feature Layer,47,elections;democracy,,,Points depicting polling places in South Ayrshire
Landscape Character Areas,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=8dbefa8a2d354c08917946574c808fe4,,,2015-10-30,2023-02-02,87,bytes,Feature Layer,84,environment;planning,,,Defined landscape character areas for Ayrshire
Housing Land Supply,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=962f268ed1be4be386e442fbaa6f0de4,,,2016-12-02,2023-02-02,83,bytes,Feature Layer,103,planning,,,Sites designated as part of the areas housing land supply
Footpaths,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=fdd0530913d84cf398ab315c86278a06,,,2015-10-30,2023-02-02,86,bytes,Feature Layer,110,environment;walking;paths;outdoor access,,,Footpaths for the area - not indicative of a public right of way
Council Wards,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=a2f8a89dc3e7448c96dbd0e2b7de6e5b,,,2015-10-30,2023-02-02,87,bytes,Feature Layer,8,democracy;elections;Council;boundaries,,,Polygons depicting South Ayrshire Council Electoral Wards
Settlement Boundaries,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=2fee7037164841e4b4325cccaef39f45,,,2015-10-15,2023-02-02,86,bytes,Feature Layer,30,administration;planning;boundaries,,,Town and village settlement boundaries as defined in the 2007 LDP
Greenbelt,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=2facf03873644aab824f4e5ccaed4d7d,,,2015-10-30,2023-02-02,87,bytes,Feature Layer,3,planning;environment;conservation;boundaries,,,Areas depicting greenbelt in South Ayrshire
Wildlife Sites,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=177b941c716b4aada41ade02cd687d30,,,2015-10-30,2023-02-02,87,bytes,Feature Layer,107,environment;conservation;wildlife,,,Areas depicting wildlife sites South Ayrshire
Core Paths,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=a66d9b403ee44e0cbe2f51f019c380d3,,,2015-10-30,2023-02-02,86,bytes,Feature Layer,366,environment;walking;paths;outdoor access,,,Core paths for the area as defined by the Core Paths Plan
Community Councils,open.data@southayrshire,https://www.arcgis.com/home/item.html?id=2210e29ba21043acacaddf98daecdaf9,,,2015-10-30,2023-12-06,87,bytes,Feature Layer,30,Council;boundaries;democracy,,,Areas depicting community council boundaries for South Ayrshire
