Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
Angus Council Area Fact Sheet,Angus Council,http://opendata.angus.gov.uk/dataset/angus-council-area-fact-sheet,http://opendata.angus.gov.uk/dataset/6937ec2d-e0af-435b-8030-66090b0b4033/resource/b94f0cc6-1b9c-4dab-baf4-e6655239ad97/download/angus-council-area-fact-sheet.xls,Angus Council Area Fact Sheet XLS,2017-01-04T16:49:22.450654,2017-01-12T10:33:04.802795,2049536,B,XLS,,births;civil partnerships;deaths;dwellings;households;life expectancy;marriages;migration;population;projections;statistics,,UK Open Government Licence (OGL),Sourced from National Records of Scotland website the fact sheet brings together up-to-date statistics of the Angus area. https://www.nrscotland.gov.uk/statistics-and-data/statistics/stats-at-a-glance/council-area-profiles 
Angus Council Area Fact Sheet,Angus Council,http://opendata.angus.gov.uk/dataset/angus-council-area-fact-sheet,http://opendata.angus.gov.uk/dataset/6937ec2d-e0af-435b-8030-66090b0b4033/resource/90530c83-2efc-400a-a6b1-24039d8a6093/download/angus-council-area-fact-sheet.pdf,Angus Council Area Fact Sheet PDF,2017-01-04T16:49:22.450654,2017-01-12T10:33:04.802795,183749,B,PDF,,births;civil partnerships;deaths;dwellings;households;life expectancy;marriages;migration;population;projections;statistics,,UK Open Government Licence (OGL),Sourced from National Records of Scotland website the fact sheet brings together up-to-date statistics of the Angus area. https://www.nrscotland.gov.uk/statistics-and-data/statistics/stats-at-a-glance/council-area-profiles 
Angus Council Article 4 Directives,Angus Council,http://opendata.angus.gov.uk/dataset/angus-council-article-4-directives,http://data.angus.gov.uk/geoserver/inspire/inspire:pln_art4dir/wms?service=WMS&request=GetMap,WMS for Angus Council Article 4 Directives,2016-11-28T14:23:50.221923,2016-12-09T15:29:36.577815,8201,B,WMS,,amenity value;article 4 directions;conservation;development;historic;planning,,UK Open Government Licence (OGL),"Areas where Permitted Development rights under classes 1,7 & 8 of Town Country Planning (General Permitted Development)(Scotland) Order 1992 have been revoked."
Angus Council Article 4 Directives,Angus Council,http://opendata.angus.gov.uk/dataset/angus-council-article-4-directives,http://data.angus.gov.uk/geoserver/inspire/wms/kml?layers=inspire:pln_art4dir&mode=download,KML for Article 4 Directions,2016-11-28T14:23:50.221923,2016-12-09T15:29:36.577815,136554,B,KML,,amenity value;article 4 directions;conservation;development;historic;planning,,UK Open Government Licence (OGL),"Areas where Permitted Development rights under classes 1,7 & 8 of Town Country Planning (General Permitted Development)(Scotland) Order 1992 have been revoked."
Angus Council Article 4 Directives,Angus Council,http://opendata.angus.gov.uk/dataset/angus-council-article-4-directives,http://data.angus.gov.uk/geoserver/inspire/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=inspire:pln_art4dir&outputFormat=application%2Fjson&srsName=EPSG:3857,GeoJSON for Article 4 Directions,2016-11-28T14:23:50.221923,2016-12-09T15:29:36.577815,121171,B,GeoJSON,,amenity value;article 4 directions;conservation;development;historic;planning,,UK Open Government Licence (OGL),"Areas where Permitted Development rights under classes 1,7 & 8 of Town Country Planning (General Permitted Development)(Scotland) Order 1992 have been revoked."
Angus Council Community Council Boundaries,Angus Council,http://opendata.angus.gov.uk/dataset/angus-council-community-council-boundaries,http://data.angus.gov.uk/geoserver/inspire/inspire:chx_commcouncils/wms?service=WMS&request=GetMap,WMS for Angus Council Community Councils,2016-11-28T09:22:22.021462,2016-11-30T11:14:08.344569,8277,B,WMS,,community;council;government;local;voluntary,,UK Open Government Licence (OGL),Community Councils within Angus. A Community Council is a voluntary organisation set up by statute by the Local Authority and run by local residents to act on behalf of its area.
Angus Council Community Council Boundaries,Angus Council,http://opendata.angus.gov.uk/dataset/angus-council-community-council-boundaries,http://data.angus.gov.uk/geoserver/inspire/wms/kml?layers=inspire:chx_commcouncils&mode=download,KML for Community Council Boundaries,2016-11-28T09:22:22.021462,2016-11-30T11:14:08.344569,5527693,B,KML,,community;council;government;local;voluntary,,UK Open Government Licence (OGL),Community Councils within Angus. A Community Council is a voluntary organisation set up by statute by the Local Authority and run by local residents to act on behalf of its area.
Angus Council Community Council Boundaries,Angus Council,http://opendata.angus.gov.uk/dataset/angus-council-community-council-boundaries,http://data.angus.gov.uk/geoserver/inspire/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=inspire:chx_commcouncils&outputFormat=application%2Fjson&srsName=EPSG:3857,GeoJSON for Community Council Boundaries,2016-11-28T09:22:22.021462,2016-11-30T11:14:08.344569,5689846,B,GeoJSON,,community;council;government;local;voluntary,,UK Open Government Licence (OGL),Community Councils within Angus. A Community Council is a voluntary organisation set up by statute by the Local Authority and run by local residents to act on behalf of its area.
Angus Council Conservation Areas,Angus Council,http://opendata.angus.gov.uk/dataset/angus-council-conservation-areas,http://data.angus.gov.uk/geoserver/inspire/inspire:pln_conservationareas/wms?service=WMS&request=GetMap,WMS for Angus Council Conservation Areas,2016-11-28T10:29:42.451956,2016-11-30T11:15:24.432751,8305,B,WMS,,amenity value;built environment;conservation;environment;historic;planning,,UK Open Government Licence (OGL),Conservation areas are areas of special architectural or historic interest. They are designated by Angus Council to ensure any new development preserves or enhances their varied character.
Angus Council Conservation Areas,Angus Council,http://opendata.angus.gov.uk/dataset/angus-council-conservation-areas,http://data.angus.gov.uk/geoserver/inspire/wms/kml?layers=inspire:pln_conservationareas&mode=download,KML for Conservation Areas,2016-11-28T10:29:42.451956,2016-11-30T11:15:24.432751,296781,B,KML,,amenity value;built environment;conservation;environment;historic;planning,,UK Open Government Licence (OGL),Conservation areas are areas of special architectural or historic interest. They are designated by Angus Council to ensure any new development preserves or enhances their varied character.
