Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
About Dundee 2018 Booklet,Dundee City Council,https://data.dundeecity.gov.uk/dataset/about-dundee-2018-booklet,https://data.dundeecity.gov.uk/dataset/1b35c385-6dda-44e6-afc2-15c16d59b5ef/resource/a13d1ba6-2ec6-4480-ae2a-23f4e16b8e4d/download/about_dundee_2018.pdf,About Dundee 2018 Booklet,2019-03-04T14:54:46.585490,2019-03-05T10:23:34.126414,6163054,B,PDF,,"About Dundee 2018,Population,Demographics,Health,Economy,Dundee City",,Open Government Licence 3.0 (United Kingdom),"About Dundee is a compilation of frequently requested, useful statistics about Dundee. The information is provided in both tabular and graphical form, with accompanying comments on some of the main points to note.\r\n\r\nWhere possible the most recent figures available at the time of production have been used. In some categories the only information available is from the 2011 Census. All the information from this booklet may be copied or referred to, providing the appropriate acknowledgement of the source is clearly stated.\r\n\r\nSources are given at the foot of each table, graph, map and commentary. Maps have been included to provide a schematic overview. Requests for further information should be directed to the email address shown below.\r\nMain access to the document is available online, enabling individual pages to be printed off or copied and pasted.\r\n\r\nThis edition of About Dundee was produced summer 2018 by the Information and Research Team. \r\n\r\nThe booklet is also published on the Dundee City Council Website; \r\nhttps://www.dundeecity.gov.uk/sites/default/files/publications/about_dundee_2018.pdf\r\n"
Adult Fitness Classes,Leisure and Culture Dundee,https://data.dundeecity.gov.uk/dataset/adult-fitness-classes,http://www.leisureandculturedundee.com/leisure-sport,Leisure and Culture Dundee Website,2018-01-23T09:37:22.346441,2022-07-14T14:51:54.006311,57053,B,web,,Health and Fitness,,Open Government Licence 3.0 (United Kingdom),The following link provides information on leisure and sport activities provided by Leisure and Culture Dundee. The website can be accessed here:  http://www.leisureandculturedundee.com/leisure-sport\r\n\r\n\r\n
Air Quality,Dundee City Council,https://data.dundeecity.gov.uk/dataset/air-quality,http://inspire.dundeecity.gov.uk/geoserver/inspire/wfs?version=2.0.0&service=wfs&request=GetFeature&typeName=inspire:AQ01_MONITORING_SITES&outputFormat=csv,Air Quality Monitoring Locations - CSV,2018-02-12T18:56:30.738413,2019-03-19T16:45:47.619321,18125,B,CSV,,"environment,air quality monitoring,air quality",,Open Government Licence 3.0 (United Kingdom),"Of the seven pollutants contained in the Air Quality Standards, currently only two of these are routinely monitored in Dundee. These are:\r\n\r\n* Nitrogen dioxide (NO2), and\r\n* Particulate Matter (PM10)\r\n\r\nAir quality monitored using continuous automatic analysers and/or diffusion tubes. \r\n\r\nVisit the Air Quality section of the Dundee City Council [website](https://www.dundeecity.gov.uk/service-area/neighbourhood-services/community-safety-and-protection/air-quality-dundee) for more information on air quality in Dundee. \r\n"
Air Quality,Dundee City Council,https://data.dundeecity.gov.uk/dataset/air-quality,http://www.scottishairquality.co.uk/latest/summary?view=la,Continuous Automatic Analysers,2018-02-12T18:56:30.738413,2019-03-19T16:45:47.619321,40599,B,HTML,,"environment,air quality monitoring,air quality",,Open Government Licence 3.0 (United Kingdom),"Of the seven pollutants contained in the Air Quality Standards, currently only two of these are routinely monitored in Dundee. These are:\r\n\r\n* Nitrogen dioxide (NO2), and\r\n* Particulate Matter (PM10)\r\n\r\nAir quality monitored using continuous automatic analysers and/or diffusion tubes. \r\n\r\nVisit the Air Quality section of the Dundee City Council [website](https://www.dundeecity.gov.uk/service-area/neighbourhood-services/community-safety-and-protection/air-quality-dundee) for more information on air quality in Dundee. \r\n"
Air Quality,Dundee City Council,https://data.dundeecity.gov.uk/dataset/air-quality,https://data.dundeecity.gov.uk/dataset/832dec46-1a16-4dd0-a30c-606bb1ecc9c1/resource/3afa4345-b158-4e4f-a4e5-02f596fec9fa/download/copy-of-2017-dcc-pdt-data-summary-copy.csv,Nitrogen Dioxide Passive Diffusion Tube Data 2017,2018-02-12T18:56:30.738413,2019-03-19T16:45:47.619321,14263,B,CSV,,"environment,air quality monitoring,air quality",,Open Government Licence 3.0 (United Kingdom),"Of the seven pollutants contained in the Air Quality Standards, currently only two of these are routinely monitored in Dundee. These are:\r\n\r\n* Nitrogen dioxide (NO2), and\r\n* Particulate Matter (PM10)\r\n\r\nAir quality monitored using continuous automatic analysers and/or diffusion tubes. \r\n\r\nVisit the Air Quality section of the Dundee City Council [website](https://www.dundeecity.gov.uk/service-area/neighbourhood-services/community-safety-and-protection/air-quality-dundee) for more information on air quality in Dundee. \r\n"
Allotments,Dundee City Council,https://data.dundeecity.gov.uk/dataset/allotments,http://inspire.dundeecity.gov.uk/geoserver/opendata/wfs?version=2.0.0&service=wfs&request=GetFeature&typeName=opendata:ALLOTMENTS&outputFormat=csv,Allotments CSV,2018-04-16T12:14:56.763128,2019-03-19T16:40:46.363721,22765,B,CSV,,Allotment,,Open Government Licence 3.0 (United Kingdom),"Allotments are plots of land that are rented by individuals or organisations for the purpose of growing fruit, vegetables and/or flowers. There are several allotment sites in Dundee but not all of them are run by the council itself. Dundee City Council has four sites: Arklay Terrace, Ancrum Road, Magdalen Green and Macaulay St. All the others are either private or devolved sites and are therefore responsible for their own charges and waiting lists so should be contacted directly. If you wish to be placed on the waiting list for a DCC allotment plot, please email environment@dundeecity.gov.uk Allotment charges are currently set at \xa35.10 (\xa34.10 concession) per annum per pole (a unit of area of about 25 m2). Allotment sizes vary slightly so the total cost is different for each plot but a full size plot averages 10 poles and would therefore cost about \xa351 per year."
Allotments,Dundee City Council,https://data.dundeecity.gov.uk/dataset/allotments,http://inspire.dundeecity.gov.uk/geoserver/opendata/wfs?version=2.0.0&service=wfs&request=GetFeature&typeName=opendata:ALLOTMENTS&outputFormat=SHAPE-ZIP,Allotments Shapefile,2018-04-16T12:14:56.763128,2019-03-19T16:40:46.363721,7849,B,ZIP,,Allotment,,Open Government Licence 3.0 (United Kingdom),"Allotments are plots of land that are rented by individuals or organisations for the purpose of growing fruit, vegetables and/or flowers. There are several allotment sites in Dundee but not all of them are run by the council itself. Dundee City Council has four sites: Arklay Terrace, Ancrum Road, Magdalen Green and Macaulay St. All the others are either private or devolved sites and are therefore responsible for their own charges and waiting lists so should be contacted directly. If you wish to be placed on the waiting list for a DCC allotment plot, please email environment@dundeecity.gov.uk Allotment charges are currently set at \xa35.10 (\xa34.10 concession) per annum per pole (a unit of area of about 25 m2). Allotment sizes vary slightly so the total cost is different for each plot but a full size plot averages 10 poles and would therefore cost about \xa351 per year."
Allotments,Dundee City Council,https://data.dundeecity.gov.uk/dataset/allotments,http://inspire.dundeecity.gov.uk/geoserver/opendata/wfs?version=2.0.0&service=wfs&request=GetFeature&typeName=opendata:ALLOTMENTS&outputFormat=json,Allotments GeoJSON,2018-04-16T12:14:56.763128,2019-03-19T16:40:46.363721,33957,B,GeoJSON,,Allotment,,Open Government Licence 3.0 (United Kingdom),"Allotments are plots of land that are rented by individuals or organisations for the purpose of growing fruit, vegetables and/or flowers. There are several allotment sites in Dundee but not all of them are run by the council itself. Dundee City Council has four sites: Arklay Terrace, Ancrum Road, Magdalen Green and Macaulay St. All the others are either private or devolved sites and are therefore responsible for their own charges and waiting lists so should be contacted directly. If you wish to be placed on the waiting list for a DCC allotment plot, please email environment@dundeecity.gov.uk Allotment charges are currently set at \xa35.10 (\xa34.10 concession) per annum per pole (a unit of area of about 25 m2). Allotment sizes vary slightly so the total cost is different for each plot but a full size plot averages 10 poles and would therefore cost about \xa351 per year."
Allotments,Dundee City Council,https://data.dundeecity.gov.uk/dataset/allotments,http://inspire.dundeecity.gov.uk/geoserver/opendata/wms?service=WMS&version=1.3.0&request=getCapabilities,Web Map Service,2018-04-16T12:14:56.763128,2019-03-19T16:40:46.363721,11244,B,WMS,,Allotment,,Open Government Licence 3.0 (United Kingdom),"Allotments are plots of land that are rented by individuals or organisations for the purpose of growing fruit, vegetables and/or flowers. There are several allotment sites in Dundee but not all of them are run by the council itself. Dundee City Council has four sites: Arklay Terrace, Ancrum Road, Magdalen Green and Macaulay St. All the others are either private or devolved sites and are therefore responsible for their own charges and waiting lists so should be contacted directly. If you wish to be placed on the waiting list for a DCC allotment plot, please email environment@dundeecity.gov.uk Allotment charges are currently set at \xa35.10 (\xa34.10 concession) per annum per pole (a unit of area of about 25 m2). Allotment sizes vary slightly so the total cost is different for each plot but a full size plot averages 10 poles and would therefore cost about \xa351 per year."
Allotments,Dundee City Council,https://data.dundeecity.gov.uk/dataset/allotments,http://inspire.dundeecity.gov.uk/geoserver/opendata/wfs?service=WFS&version=1.1.0&request=getCapabilities,Web Feature Service,2018-04-16T12:14:56.763128,2019-03-19T16:40:46.363721,21862,B,WFS,,Allotment,,Open Government Licence 3.0 (United Kingdom),"Allotments are plots of land that are rented by individuals or organisations for the purpose of growing fruit, vegetables and/or flowers. There are several allotment sites in Dundee but not all of them are run by the council itself. Dundee City Council has four sites: Arklay Terrace, Ancrum Road, Magdalen Green and Macaulay St. All the others are either private or devolved sites and are therefore responsible for their own charges and waiting lists so should be contacted directly. If you wish to be placed on the waiting list for a DCC allotment plot, please email environment@dundeecity.gov.uk Allotment charges are currently set at \xa35.10 (\xa34.10 concession) per annum per pole (a unit of area of about 25 m2). Allotment sizes vary slightly so the total cost is different for each plot but a full size plot averages 10 poles and would therefore cost about \xa351 per year."
