Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
18 Weeks Referral to Treatment,Public Health Scotland,https://www.opendata.nhs.scot/dataset/18-weeks-referral-to-treatment,https://www.opendata.nhs.scot/dataset/aa8b22e8-8a02-484d-a6c8-0a0154a6249d/resource/f2598c24-bf00-4171-b7ef-a469bbacbf6c/download/open_data_18_weeks_rtt_dec22.csv,Monthly 18 Weeks RTT by Health Boards,2019-07-22T07:49:14.675163,2023-02-28T09:30:47.076517,167658,B,CSV,,health board;performance;specialty;target;waiting time,,UK Open Government Licence (OGL),This dataset contains monthly summaries of whole journey waiting times across NHSScotland. The 18 Weeks Referral to Treatment (RTT) is a whole journey waiting time standard from initial referral to the start of treatment.\r\n\r\nThe Scottish Government has determined that the 18 Weeks RTT standard should be delivered for at least 90% of patients. Further information on the 18 Week RTT can be found in the [quarterly publication](https://publichealthscotland.scot/publications/nhs-waiting-times-18-weeks-referral-to-treatment/). All publications and supporting material to this topic area can be found on the [PHS 18 Weeks RTT Website](https://www.isdscotland.org/Health-Topics/Waiting-Times/18-Weeks-RTT/).\r\n\r\nThe date of the next release can be found on our list of [forthcoming publications](https://publichealthscotland.scot/publications/forthcoming-publications/).
Early Child Development - 27-30 Month Review Statistics,Public Health Scotland,https://www.opendata.nhs.scot/dataset/27-30-month-review-statistics,https://www.opendata.nhs.scot/dataset/f4ee46d4-cda9-4180-b6be-0f0e45ee3c8c/resource/018ba0e1-6562-43bb-82c5-97b6c6cc22d8/download/open27mlatotals.csv,Review by Council Areas,2018-04-23T14:38:11.558061,2023-04-25T08:30:57.936313,64743,B,CSV,,child;council area;deprivation;development;ethnicity;health board;infant;language,,UK Open Government Licence (OGL),"The 27-30 month review is an assessment generally carried out by a health visitor. This review started in April 2013 and is offered to all children. A wide range of information is collected including developmental domains such as speech, language and communication, hearing, vision, personal/social, behavioural/emotional, fine motor and gross motor. \r\n\r\nA [full publication report](https://publichealthscotland.scot/publications/early-child-development/) and [technical report](https://publichealthscotland.scot/media/6579/2021-04-27-early-child-development-technical-report.pdf) are available. All publications and supporting material to this topic area can be found on the [ISD Scotland - Child Health Website](http://www.isdscotland.org/Health-Topics/Child-Health/)."
Early Child Development - 27-30 Month Review Statistics,Public Health Scotland,https://www.opendata.nhs.scot/dataset/27-30-month-review-statistics,https://www.opendata.nhs.scot/dataset/f4ee46d4-cda9-4180-b6be-0f0e45ee3c8c/resource/c43f3073-296d-498f-88cd-6de3719a7e3e/download/open27mlaage.csv,Review by Age,2018-04-23T14:38:11.558061,2023-04-25T08:30:57.936313,54593,B,CSV,,child;council area;deprivation;development;ethnicity;health board;infant;language,,UK Open Government Licence (OGL),"The 27-30 month review is an assessment generally carried out by a health visitor. This review started in April 2013 and is offered to all children. A wide range of information is collected including developmental domains such as speech, language and communication, hearing, vision, personal/social, behavioural/emotional, fine motor and gross motor. \r\n\r\nA [full publication report](https://publichealthscotland.scot/publications/early-child-development/) and [technical report](https://publichealthscotland.scot/media/6579/2021-04-27-early-child-development-technical-report.pdf) are available. All publications and supporting material to this topic area can be found on the [ISD Scotland - Child Health Website](http://www.isdscotland.org/Health-Topics/Child-Health/)."
Early Child Development - 27-30 Month Review Statistics,Public Health Scotland,https://www.opendata.nhs.scot/dataset/27-30-month-review-statistics,https://www.opendata.nhs.scot/dataset/f4ee46d4-cda9-4180-b6be-0f0e45ee3c8c/resource/147938f4-9f1a-4222-91d1-d52c11905ac5/download/open27mlasex.csv,Review by Gender,2018-04-23T14:38:11.558061,2023-04-25T08:30:57.936313,121965,B,CSV,,child;council area;deprivation;development;ethnicity;health board;infant;language,,UK Open Government Licence (OGL),"The 27-30 month review is an assessment generally carried out by a health visitor. This review started in April 2013 and is offered to all children. A wide range of information is collected including developmental domains such as speech, language and communication, hearing, vision, personal/social, behavioural/emotional, fine motor and gross motor. \r\n\r\nA [full publication report](https://publichealthscotland.scot/publications/early-child-development/) and [technical report](https://publichealthscotland.scot/media/6579/2021-04-27-early-child-development-technical-report.pdf) are available. All publications and supporting material to this topic area can be found on the [ISD Scotland - Child Health Website](http://www.isdscotland.org/Health-Topics/Child-Health/)."
Early Child Development - 27-30 Month Review Statistics,Public Health Scotland,https://www.opendata.nhs.scot/dataset/27-30-month-review-statistics,https://www.opendata.nhs.scot/dataset/f4ee46d4-cda9-4180-b6be-0f0e45ee3c8c/resource/2e3b17f3-410e-4b4b-89ba-dd2911ef2f37/download/open27mlasimd.csv,Review by SIMD for Council Areas,2018-04-23T14:38:11.558061,2023-04-25T08:30:57.936313,101761,B,CSV,,child;council area;deprivation;development;ethnicity;health board;infant;language,,UK Open Government Licence (OGL),"The 27-30 month review is an assessment generally carried out by a health visitor. This review started in April 2013 and is offered to all children. A wide range of information is collected including developmental domains such as speech, language and communication, hearing, vision, personal/social, behavioural/emotional, fine motor and gross motor. \r\n\r\nA [full publication report](https://publichealthscotland.scot/publications/early-child-development/) and [technical report](https://publichealthscotland.scot/media/6579/2021-04-27-early-child-development-technical-report.pdf) are available. All publications and supporting material to this topic area can be found on the [ISD Scotland - Child Health Website](http://www.isdscotland.org/Health-Topics/Child-Health/)."
Early Child Development - 27-30 Month Review Statistics,Public Health Scotland,https://www.opendata.nhs.scot/dataset/27-30-month-review-statistics,https://www.opendata.nhs.scot/dataset/f4ee46d4-cda9-4180-b6be-0f0e45ee3c8c/resource/2123b143-e440-46a0-9ea8-f59396e5006b/download/open27mscotlandsimd.csv,Review by SIMD for Scotland Totals,2018-04-23T14:38:11.558061,2023-04-25T08:30:57.936313,4497,B,CSV,,child;council area;deprivation;development;ethnicity;health board;infant;language,,UK Open Government Licence (OGL),"The 27-30 month review is an assessment generally carried out by a health visitor. This review started in April 2013 and is offered to all children. A wide range of information is collected including developmental domains such as speech, language and communication, hearing, vision, personal/social, behavioural/emotional, fine motor and gross motor. \r\n\r\nA [full publication report](https://publichealthscotland.scot/publications/early-child-development/) and [technical report](https://publichealthscotland.scot/media/6579/2021-04-27-early-child-development-technical-report.pdf) are available. All publications and supporting material to this topic area can be found on the [ISD Scotland - Child Health Website](http://www.isdscotland.org/Health-Topics/Child-Health/)."
Early Child Development - 27-30 Month Review Statistics,Public Health Scotland,https://www.opendata.nhs.scot/dataset/27-30-month-review-statistics,https://www.opendata.nhs.scot/dataset/f4ee46d4-cda9-4180-b6be-0f0e45ee3c8c/resource/480f32a0-c412-4350-91af-ebc408dd8ccd/download/open27mscbimulti.csv,Review by Bi- or Multilinguality,2018-04-23T14:38:11.558061,2023-04-25T08:30:57.936313,2023,B,CSV,,child;council area;deprivation;development;ethnicity;health board;infant;language,,UK Open Government Licence (OGL),"The 27-30 month review is an assessment generally carried out by a health visitor. This review started in April 2013 and is offered to all children. A wide range of information is collected including developmental domains such as speech, language and communication, hearing, vision, personal/social, behavioural/emotional, fine motor and gross motor. \r\n\r\nA [full publication report](https://publichealthscotland.scot/publications/early-child-development/) and [technical report](https://publichealthscotland.scot/media/6579/2021-04-27-early-child-development-technical-report.pdf) are available. All publications and supporting material to this topic area can be found on the [ISD Scotland - Child Health Website](http://www.isdscotland.org/Health-Topics/Child-Health/)."
Early Child Development - 27-30 Month Review Statistics,Public Health Scotland,https://www.opendata.nhs.scot/dataset/27-30-month-review-statistics,https://www.opendata.nhs.scot/dataset/f4ee46d4-cda9-4180-b6be-0f0e45ee3c8c/resource/04651d9e-eedd-4ce2-b554-7e742dbf4ba9/download/open27mscenglish.csv,Review by English as first language,2018-04-23T14:38:11.558061,2023-04-25T08:30:57.936313,2007,B,CSV,,child;council area;deprivation;development;ethnicity;health board;infant;language,,UK Open Government Licence (OGL),"The 27-30 month review is an assessment generally carried out by a health visitor. This review started in April 2013 and is offered to all children. A wide range of information is collected including developmental domains such as speech, language and communication, hearing, vision, personal/social, behavioural/emotional, fine motor and gross motor. \r\n\r\nA [full publication report](https://publichealthscotland.scot/publications/early-child-development/) and [technical report](https://publichealthscotland.scot/media/6579/2021-04-27-early-child-development-technical-report.pdf) are available. All publications and supporting material to this topic area can be found on the [ISD Scotland - Child Health Website](http://www.isdscotland.org/Health-Topics/Child-Health/)."
Early Child Development - 27-30 Month Review Statistics,Public Health Scotland,https://www.opendata.nhs.scot/dataset/27-30-month-review-statistics,https://www.opendata.nhs.scot/dataset/f4ee46d4-cda9-4180-b6be-0f0e45ee3c8c/resource/2442fcf3-b76e-4533-b762-cd888a3ace01/download/open27mscethnicity.csv,Review by Ethnicity,2018-04-23T14:38:11.558061,2023-04-25T08:30:57.936313,4345,B,CSV,,child;council area;deprivation;development;ethnicity;health board;infant;language,,UK Open Government Licence (OGL),"The 27-30 month review is an assessment generally carried out by a health visitor. This review started in April 2013 and is offered to all children. A wide range of information is collected including developmental domains such as speech, language and communication, hearing, vision, personal/social, behavioural/emotional, fine motor and gross motor. \r\n\r\nA [full publication report](https://publichealthscotland.scot/publications/early-child-development/) and [technical report](https://publichealthscotland.scot/media/6579/2021-04-27-early-child-development-technical-report.pdf) are available. All publications and supporting material to this topic area can be found on the [ISD Scotland - Child Health Website](http://www.isdscotland.org/Health-Topics/Child-Health/)."
Early Child Development - 27-30 Month Review Statistics,Public Health Scotland,https://www.opendata.nhs.scot/dataset/27-30-month-review-statistics,https://www.opendata.nhs.scot/dataset/f4ee46d4-cda9-4180-b6be-0f0e45ee3c8c/resource/930e3f6f-7232-4bbb-be43-c33d876d5c6d/download/open27msclac.csv,Review by Looked after Children,2018-04-23T14:38:11.558061,2023-04-25T08:30:57.936313,1966,B,CSV,,child;council area;deprivation;development;ethnicity;health board;infant;language,,UK Open Government Licence (OGL),"The 27-30 month review is an assessment generally carried out by a health visitor. This review started in April 2013 and is offered to all children. A wide range of information is collected including developmental domains such as speech, language and communication, hearing, vision, personal/social, behavioural/emotional, fine motor and gross motor. \r\n\r\nA [full publication report](https://publichealthscotland.scot/publications/early-child-development/) and [technical report](https://publichealthscotland.scot/media/6579/2021-04-27-early-child-development-technical-report.pdf) are available. All publications and supporting material to this topic area can be found on the [ISD Scotland - Child Health Website](http://www.isdscotland.org/Health-Topics/Child-Health/)."
Alcohol Related Hospital Statistics Scotland,Public Health Scotland,https://www.opendata.nhs.scot/dataset/alcohol-related-hospital-statistics-scotland,https://www.opendata.nhs.scot/dataset/c4db1692-fa02-4a1c-af4c-6039c74633ea/resource/29452b1f-a7be-4e93-9e22-dfa120c2df26/download/arhs_agegender_28_02_2023.csv,ARHS by Age & Gender,2018-01-25T10:44:56.066545,2023-02-28T09:31:00.318068,2197699,B,CSV,,age;alcohol;council area;deprivation;health board;hospital stays;misuse;sex;smr01;smr04,,UK Open Government Licence (OGL),Alcohol-related hospital statistics (ARHS) provide an annual update to figures on the alcohol-related inpatient and day case activity taking place within general acute hospitals and psychiatric hospitals in Scotland. \r\n\r\nAll publications and supporting material to this topic area can be found on the [ISD Scotland - Drug and Alcohol Misuse Website](http://www.isdscotland.org/Health-Topics/Drugs-and-Alcohol-Misuse/). \r\n\r\nOpen Data to this topic is also available on the Scottish Governments open data portal for official statistics [statistics.gov.scot](https://statistics.gov.scot/resource?uri=http%3A%2F%2Fstatistics.gov.scot%2Fdata%2Falcohol-related-hospital-statistics).\r\n\r\nThe date of the next release can be found on our list of [forthcoming publications](https://publichealthscotland.scot/publications/forthcoming-publications/).
Alcohol Related Hospital Statistics Scotland,Public Health Scotland,https://www.opendata.nhs.scot/dataset/alcohol-related-hospital-statistics-scotland,https://www.opendata.nhs.scot/dataset/c4db1692-fa02-4a1c-af4c-6039c74633ea/resource/2d158224-1adf-4ffc-8e65-a05fe5712ea0/download/arhs_deprivation_28_02_2023.csv,ARHS by Deprivation,2018-01-25T10:44:56.066545,2023-02-28T09:31:00.318068,234461,B,CSV,,age;alcohol;council area;deprivation;health board;hospital stays;misuse;sex;smr01;smr04,,UK Open Government Licence (OGL),Alcohol-related hospital statistics (ARHS) provide an annual update to figures on the alcohol-related inpatient and day case activity taking place within general acute hospitals and psychiatric hospitals in Scotland. \r\n\r\nAll publications and supporting material to this topic area can be found on the [ISD Scotland - Drug and Alcohol Misuse Website](http://www.isdscotland.org/Health-Topics/Drugs-and-Alcohol-Misuse/). \r\n\r\nOpen Data to this topic is also available on the Scottish Governments open data portal for official statistics [statistics.gov.scot](https://statistics.gov.scot/resource?uri=http%3A%2F%2Fstatistics.gov.scot%2Fdata%2Falcohol-related-hospital-statistics).\r\n\r\nThe date of the next release can be found on our list of [forthcoming publications](https://publichealthscotland.scot/publications/forthcoming-publications/).
Alcohol Related Hospital Statistics Scotland,Public Health Scotland,https://www.opendata.nhs.scot/dataset/alcohol-related-hospital-statistics-scotland,https://www.opendata.nhs.scot/dataset/c4db1692-fa02-4a1c-af4c-6039c74633ea/resource/b0b520e8-3507-46cd-a9b5-cff03007bb57/download/arhs_council_area_28_02_2023.csv,ARHS by Council Area,2018-01-25T10:44:56.066545,2023-02-28T09:31:00.318068,2098122,B,CSV,,age;alcohol;council area;deprivation;health board;hospital stays;misuse;sex;smr01;smr04,,UK Open Government Licence (OGL),Alcohol-related hospital statistics (ARHS) provide an annual update to figures on the alcohol-related inpatient and day case activity taking place within general acute hospitals and psychiatric hospitals in Scotland. \r\n\r\nAll publications and supporting material to this topic area can be found on the [ISD Scotland - Drug and Alcohol Misuse Website](http://www.isdscotland.org/Health-Topics/Drugs-and-Alcohol-Misuse/). \r\n\r\nOpen Data to this topic is also available on the Scottish Governments open data portal for official statistics [statistics.gov.scot](https://statistics.gov.scot/resource?uri=http%3A%2F%2Fstatistics.gov.scot%2Fdata%2Falcohol-related-hospital-statistics).\r\n\r\nThe date of the next release can be found on our list of [forthcoming publications](https://publichealthscotland.scot/publications/forthcoming-publications/).
Alcohol Related Hospital Statistics Scotland,Public Health Scotland,https://www.opendata.nhs.scot/dataset/alcohol-related-hospital-statistics-scotland,https://www.opendata.nhs.scot/dataset/c4db1692-fa02-4a1c-af4c-6039c74633ea/resource/1cad0a45-a9ce-43f8-9aec-df0aac122764/download/arhs_hbr2014_28_02_2023.csv,ARHS by Health Boards,2018-01-25T10:44:56.066545,2023-02-28T09:31:00.318068,993108,B,CSV,,age;alcohol;council area;deprivation;health board;hospital stays;misuse;sex;smr01;smr04,,UK Open Government Licence (OGL),Alcohol-related hospital statistics (ARHS) provide an annual update to figures on the alcohol-related inpatient and day case activity taking place within general acute hospitals and psychiatric hospitals in Scotland. \r\n\r\nAll publications and supporting material to this topic area can be found on the [ISD Scotland - Drug and Alcohol Misuse Website](http://www.isdscotland.org/Health-Topics/Drugs-and-Alcohol-Misuse/). \r\n\r\nOpen Data to this topic is also available on the Scottish Governments open data portal for official statistics [statistics.gov.scot](https://statistics.gov.scot/resource?uri=http%3A%2F%2Fstatistics.gov.scot%2Fdata%2Falcohol-related-hospital-statistics).\r\n\r\nThe date of the next release can be found on our list of [forthcoming publications](https://publichealthscotland.scot/publications/forthcoming-publications/).
Alcohol Related Hospital Statistics Scotland,Public Health Scotland,https://www.opendata.nhs.scot/dataset/alcohol-related-hospital-statistics-scotland,https://www.opendata.nhs.scot/dataset/c4db1692-fa02-4a1c-af4c-6039c74633ea/resource/5e6e7c94-4786-4299-bedb-29f7cfbd26ea/download/icd10.csv,ICD-10 Codes,2018-01-25T10:44:56.066545,2023-02-28T09:31:00.318068,2641,B,CSV,,age;alcohol;council area;deprivation;health board;hospital stays;misuse;sex;smr01;smr04,,UK Open Government Licence (OGL),Alcohol-related hospital statistics (ARHS) provide an annual update to figures on the alcohol-related inpatient and day case activity taking place within general acute hospitals and psychiatric hospitals in Scotland. \r\n\r\nAll publications and supporting material to this topic area can be found on the [ISD Scotland - Drug and Alcohol Misuse Website](http://www.isdscotland.org/Health-Topics/Drugs-and-Alcohol-Misuse/). \r\n\r\nOpen Data to this topic is also available on the Scottish Governments open data portal for official statistics [statistics.gov.scot](https://statistics.gov.scot/resource?uri=http%3A%2F%2Fstatistics.gov.scot%2Fdata%2Falcohol-related-hospital-statistics).\r\n\r\nThe date of the next release can be found on our list of [forthcoming publications](https://publichealthscotland.scot/publications/forthcoming-publications/).
Allied Health Professionals - Musculoskeletal Waiting Times,Public Health Scotland,https://www.opendata.nhs.scot/dataset/allied-health-professionals-musculoskeletal-waiting-times,https://www.opendata.nhs.scot/dataset/959f2341-ca34-428c-8abb-b925a18fc0c7/resource/3988df43-3516-4190-93da-16189db7329a/download/open_data_ahp_msk_referrals_with_mats_december2022.csv,Patients Referred,2019-10-14T08:21:20.433068,2023-03-24T08:54:20.606855,151110,B,CSV,,ahp;allied health;chiropody;dna;health board;mats;msk;occupational therapy;orthotics;patients seen;patients waiting;physiotherapy;podiatry;referral;waiting time,,UK Open Government Licence (OGL),"Waiting times information for Musculoskeletal (MSK) services that are delivered by Allied Health Professionals (AHP) in Physiotherapy, Occupational Therapy, Chiropody/Podiatry and Orthotics"
