Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
2011 Data Zone Lookup,Scottish Government,https://data.gov.scot/dataset/2011_data_zone_lookup,https://api.data.gov.scot/resource/20ad5f65-c5c2-407e-8355-7c25bf579e87/download,DataZone2011lookup_2024-12-16.csv,2026-08-19T13:41:41.711612,2026-08-19T13:42:49.373394,0,B,CSV,,,,UK Open Government Licence (OGL),"As geography reference material, this file contains lookup information, showing how 2011 data zone geographic units can be aggregated to higher level geographies. This lookup is used to for the systematic aggregation of data in statistics.gov.scot. The full [Standard Geography Code Register for Scotland](https://www2.gov.scot/Topics/Statistics/sns/SNSRef/StanGeoCodeRegister) can be accessed on the Scottish Government website.<br/><br/>The geographies included in the lookup file are:<br/>(GSS code - Name - *Column name in file*)<br/><br/>* S01 - Data Zone - *DZ2011*<br/>* S02 - Intermediate Zone - *IZ2011*<br/>* S13 - Multi Member Electoral Wards - *MMWard*<br/>* S12 - Local Authority - *LA*<br/>* S16 - Scottish Parliamentary Constituencies - *SPC*<br/>* S14 - UK Parliamentary Constituencies - *UKPC*<br/>* S08 - NHS Health Board - *HB*<br/>* S37 - NHS Integration Authorities - *HIA*<br/>* S32 - Scottish Police Divisions - *SPD*<br/>* S39 - Scottish Fire and Rescue Local Senior Officer Areas - *SFRLSO*<br/>* S40 - Scottish Fire and Rescue Service Delivery Areas - *SFRSDA*<br/>* S43 - Regional Resilience Partnerships - *RRP*<br/>* S42 - Local Resilience Partnerships - *LRP*<br/>* S22 - Travel to Work Areas - *TTWA*<br/>* Scottish Government Urban Rural Classification - *UR2, UR3, UR6, UR8*<br/>* S92 - Scotland - *Country*<br/><br/><br/>Note - data for Travel to Work Areas (S22) also includes geography code K01, which relates to a cross-border Travel to Work Area."
2011 Data Zone Lookup - Archived Geographies,Scottish Government,https://data.gov.scot/dataset/2011_data_zone_lookup___archived_geographies,https://api.data.gov.scot/resource/021c547c-4ba0-47b4-89f2-8c03210b9f59/download,DataZone2011_Archived_Geographies_and_Lookups.zip,2026-08-19T14:01:43.800578,2026-08-19T14:03:04.315010,0,B,ZIP,,,,UK Open Government Licence (OGL),"As geography reference material, this file contains lookup information, showing how 2011 data zone geographic units can be aggregated to higher level archived geographies.<br/><br/>The compressed file includes a file with the archived geography codes register containing dates between which each geography was valid and covers changes to geographies made before 04/07/2024 - DataZone2011-Archived-Geographies.csv. The geographies covered by this table are: (GSS code - Name - Column name in file)<br/><br/>*S01 - Data Zone - DZ2011<br/>*S13 - Multi Member Electoral Wards - MMWard<br/>*S12 - Local Authority - LA<br/>*S16 - Scottish Parliamentary Constituencies - SPC<br/>*S08 - NHS Health Board - HB<br/>*  S14 - UK ParliamentaryConstituencies - UKPC<br/><br/> The compressed file also contains full lookup tables for the most recent updates after 05/05/2022 with the dates between which the lookup is valid included in the file name. The geographies included in these lookup tables are: (GSS code - Name - Column name in file)<br/><br/>* S01 - Data Zone - *DZ2011*<br/>* S02 - Intermediate Zone - *IZ2011*<br/>* S13 - Multi Member Electoral Wards - *MMWard*<br/>* S12 - Local Authority - *LA*<br/>* S16 - Scottish Parliamentary Constituencies - *SPC*<br/>* S14 - UK Parliamentary Constituencies - *UKPC*<br/>* S08 - NHS Health Board - *HB*<br/>* S37 - NHS Integration Authorities - *HIA*<br/>* S32 - Scottish Police Divisions - *SPD*<br/>* S39 - Scottish Fire and Rescue Local Senior Officer Areas - *SFRLSO*<br/>* S40 - Scottish Fire and Rescue Service Delivery Areas - *SFRSDA*<br/>* S43 - Regional Resilience Partnerships - *RRP*<br/>* S42 - Local Resilience Partnerships - *LRP*<br/>* S22 - Travel to Work Areas - *TTWA*<br/>* Scottish Government Urban Rural Classification - *UR2, UR3, UR6, UR8*<br/>* S92 - Scotland - *Country*<br/><br/><br/>Note - data for Travel to Work Areas (S22) also includes geography code K01, which relates to a cross-border Travel to Work Area.<br/><br/>The full [Standard Geography Code Register for Scotland](https://www2.gov.scotopics/Statistics/sns/SNSRef/StanGeoCodeRegister) can be accessed on the Scottish Government website.<br/><br/>"
2022 Data Zone Lookup,Scottish Government,https://data.gov.scot/dataset/2022_data_zone_lookup,https://api.data.gov.scot/resource/81b010f5-0207-4ee5-bd2d-e7821aa6a3dc/download,DataZone2022lookup_2026-05-07.csv,2026-08-19T14:00:34.353296,2026-08-19T14:01:41.961476,0,B,CSV,,,,UK Open Government Licence (OGL),"As geography reference material, this file contains lookup information, showing how 2022 data zone geographic units can be aggregated to higher level geographies. This lookup is used to for the systematic aggregation of data in statistics.gov.scot. The full [Standard Geography Code Register for Scotland](https://www.gov.scot/publications/geography-code-register-for-official-statistics/) can be accessed on the Scottish Government website.<br/>The geographies included in the lookup file are: (GSS code - Name - *Column name in file*)<br/><br/>* S01 - Data Zone - *DZ22*<br/>* S02 - Intermediate Zone - *IZ22*<br/>* S13 - Multi MemberElectoral Wards - *MMWard*<br/>* S12 - Local Authority - *LA*<br/>* S16 - Scottish Parliamentary Constituencies - *SPC*<br/>* S14 - UK Parliamentary Constituencies - *UKPC*<br/>* S08 - NHS Health Board - *HB*<br/>* S37 - NHS Integration Authorities - *HIA*<br/>* S32 - Scottish Police Divisions - *SPD*<br/>* S39 - Scottish Fire and Rescue Local Senior Officer Areas -*SFRLSO*<br/>* S40 - Scottish Fire and Rescue Service Delivery Areas - *SFRSDA*<br/>* S43 - Regional Resilience Partnerships - *RRP*<br/>* S42 - Local Resilience Partnerships - *LRP*<br/>* Scottish Government Urban Rural Classification - *UR2, UR3, UR6, UR8*<br/>* S92 - Scotland - *Country*"
6-in-1 Immunisation,Public Health Scotland,https://data.gov.scot/dataset/6_in_1_immunisation,https://api.data.gov.scot/resource/c8d1fb86-7bd6-4a36-b4f0-227f196f042c/download,6-in-1-immunisation.csv,2026-08-20T14:31:31.199823,2026-08-20T17:16:35.593948,0,B,CSV,,,,UK Open Government Licence (OGL),"Note: This data will not be receiving updates through this portal. <br/><br/>Number, and percent, of children who have completed their primary immunisation course of the 6-in-1 vaccine by 24 months of age. <br/><br/>From 1 October 2017, the 6-in-1 vaccine, which also protects against Hepatitis B, replaced the 5-in-1 vaccine in the routine childhood immunisation schedule.  <br/><br/>The 6-in-1 vaccine protects against diphtheria, tetanus, pertussis, polio, Haemophilus influenzae type b (Hib) and Hepatitis B.  A complete primary course by 24 months of age is 3 doses of vaccine.<br/><br/>Each cohort reported consists of children reaching 24 months of age in the calendar year.<br/><br/>The NHS Board and local authority are derived from child's home postcode and therefore data with invalid or missing postcodes are not included in the NHS Board and local authority totals.  As a result the numbers and rates often differ from those published in the ISD National Statistics publication which can be accessed from the [NHS Information Services Division website](https://www.isdscotland.org/Health-Topics/Child-Health/Publications/). In the publication the NHS Board of residence figures are based on the NHS Board recorded on the Scottish Immunisation and Recall System (SIRS) and the local authority figures are based on the local authority of the GP practice  where the child is registered. <br/><br/><br/><br/><br/>Source: Scottish Immunisation and Recall System (SIRS), ISD Scotland."
Adult Disability Payment: Applications and Payments,Scottish Government,https://data.gov.scot/dataset/adult_disability_payment__applications_and_payments,https://api.data.gov.scot/resource/88c4b0dc-7829-4397-896b-4b456843d794/download,adult-disability-payment-applications-and-payments.csv,2026-08-13T15:01:24.837738,2026-08-13T15:02:20.632641,0,B,CSV,,,,UK Open Government Licence (OGL),"Adult Disability Payment is the replacement for Personal Independence Payment and Working Age Disability Living Allowance in Scotland, which were previously delivered by the Department for Work and Pensions.<br/><br/>It is the second application-based disability benefit to be introduced by the Scottish Government after Child Disability Payment and is administered by Social Security Scotland. It provides money to help with the extra daily living and mobility costs that a person living with a disability or long term health condition might have.<br/><br/>From the 21 March 2022, new applications were taken for Adult Disability Payment for adults living in the pilot areas of Dundee City, Na h-Eileanan Siar and Perth and <br/>Kinross. The pilot expanded to include Angus, North Lanarkshire and South <br/>Lanarkshire on 20 June 2022. It further expanded to include Fife, Aberdeen City, <br/>Aberdeenshire, Moray, North Ayrshire, East Ayrshire and South Ayrshire on 25 July <br/>2022, before launching nationally to all remaining local authorities on 29 August 2022. <br/>This dataset includes received applications (i.e. the total Part 1 applications registered), authorised applications and the total value of issued payments for Adult Disability Payment. Statistics are provided for the last day of the month (e.g. figures for 2023-04 are for applications received or authorised as of 30 April 2023).<br/><br/>Further information on new applications and clients who have had their awards transferred, award types, processing times and re-determinations can be found in the associated [publication page](https://www.socialsecurity.gov.scot/reporting/publications/adult-disability-payment-statistics-to-30-april-2025).<br/>"
Adults (16-64 years) with low or no qualifications,Scottish Government,https://data.gov.scot/dataset/adults__16_64_years__with_low_or_no_qualifications,https://api.data.gov.scot/resource/612f73b1-afcd-4aa8-8647-eb62b3ac9ab2/download,adults-16-64-years-with-low-or-no-qualifications.csv,2026-08-13T10:20:19.261953,2026-08-13T10:21:32.729922,0,B,CSV,,,,UK Open Government Licence (OGL),"*Note*: Labour Force Survey (LFS) and Annual Population Survey (APS) responses are weighted to official 2018-based population projections on demographic trends that pre-date the COVID-19 pandemic. In the [Coronavirus and the impact on payroll employment](https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/articles/coronavirusandtheimpactonpayrollemployment/experimentalanalysis) article, ONS analyse the population totals used in the LFS weighting process and state their intention to make adjustments. Rates published from the LFS remain robust; however, levels and changes in levels should be used with caution. This will particularly affect estimates for country of birth, nationality, ethnicity and disability. <br/><br/>The [new weighting LFS methodology](https://www.ons.gov.uk/releases/methodologyforrecalibratinglabourforcesurveyweightsfrom2020) was published on 17 May 2021 and it will be applied to Labour Force Survey results in July 2021 and Annual Population Survey results in August/September 2021.<br/><br/><br/>People are classed as having low or no qualifications if they have SCQF level 4 or below. The ratio is the number of people who reported having low or no qualification divided by the number of people in employment (16-64 years). A small number with unknown qualifications are excluded from this calculation.<br/><br/>The data used for this indicator are taken from the Annual Population Survey (APS). The APS was introduced in January 2004 and it has replaced the Annual Local Area Labour Force Survey. The APS combines results from the Labour Force Survey (LFS) and the English, Welsh and Scottish Labour Force Survey boosts. The boosts increase the sample size which means the APS can provide more robust labour market estimates for local areas compared to the main LFS. Thus the APS is the primary source for information on local labour markets providing headline estimates on employment, unemployment and economic activity. The APS is the largest annual household survey in Scotland and provides a wealth of information about individuals' personal circumstances and their work. The LFS surveys individuals living at private households in the UK and is designed to be representative of the national population.<br/><br/>The Scottish Government funds the boost to the LFS sample in Scotland, taking the sample size from approximately 8,000 households for the each year to 17,000 households."
Affordable Housing Supply Programme,Scottish Government,https://data.gov.scot/dataset/affordable_housing_supply_programme,https://api.data.gov.scot/resource/7da33cc3-06a1-450a-ad74-9a0ce157dba1/download,affordable-housing-supply-programme.csv,2026-08-13T09:47:43.427940,2026-08-13T09:49:44.784906,0,B,CSV,,,,UK Open Government Licence (OGL),"Quarterly Scotland figures for the Affordable Housing Supply Programme approvals, starts and completions, split by category, form of housing supply, and type of housing supply from 2000-01 to the latest quarter.<br/><br/>For more information visit the [quarterly updates of Housing statistics](http://www.gov.scot/Topics/Statistics/Browse/Housing-Regeneration/HSfS/NewBuild/AHSPtables).<br/>"
Age of First Time Mothers,Public Health Scotland,https://data.gov.scot/dataset/age_of_first_time_mothers,https://api.data.gov.scot/resource/ad2424a8-bcf5-4773-9523-b8f8a1c27259/download,age-at-first-birth.csv,2026-08-20T14:31:35.429020,2026-08-20T17:16:13.307634,0,B,CSV,,,,UK Open Government Licence (OGL),"Note: This dataset will not be receiving updates through this portal. Please refer to the [Public Health Scotland Open Data](https://www.opendata.nhs.scot/dataset/births-in-scottish-hospitals/resource/d6968cfb-1bae-4b45-8a34-7f7b9f7cca81) platform for the relevant data.<br/><br/>Number of first time mothers who are aged 19 and under, or 35 and over. The 3 year aggregate shown is for financial year ending 31 March and refers to the year of discharge from hospital.<br/><br/>More information is available on the [ISD website](http://www.isdscotland.org/Health-Topics/Maternity-and-Births/Births/Background.asp)."
Alcohol Related Hospital Statistics,Public Health Scotland,https://data.gov.scot/dataset/alcohol_related_hospital_statistics,https://api.data.gov.scot/resource/45ecdb75-570d-4dec-8a6d-2c1aacaac34a/download,alcohol-related-hospital-statistics.csv,2026-08-13T10:20:14.654251,2026-08-20T17:30:44.480663,0,B,CSV,,,,UK Open Government Licence (OGL),"Note: This dataset will not be receiving updates through this portal.. Please refer to the [Public Health Scotland Open Data](https://www.opendata.nhs.scot/dataset/alcohol-related-hospital-statistics-scotland) platform for the relevant data.<br/><br/>Alcohol-related hospital statistics (ARHS) provide an annual update to figures on the alcohol-related inpatient and day case activity taking place within general acute hospitals and psychiatric hospitals in Scotland.  Ratios presented are [European Age-sex Standardised Rates (EASR)](https://www.opendata.nhs.scot/dataset/standard-populations).<br/><br/>All publications and supporting material to this topic area can be found on the [ISD Scotland - Drug and Alcohol Misuse Website.](http://www.isdscotland.org/Health-Topics/Drugs-and-Alcohol-Misuse/). Further open data on this topic is available from the [NHS Scotland Open Data website](https://www.opendata.nhs.scot/dataset/alcohol-related-hospital-statistics-scotland).<br/><br/>Hospital activity is data routinely drawn from hospital administrative systems across all NHS hospitals in Scotland. [SMR01 (Scottish Morbidity Records 01)](https://www.ndc.scot.nhs.uk/Data-Dictionary/SMR-Datasets/SMR01-General-Acute-Inpatient-and-Day-Case/) is the source for general acute inpatient and day case hospital activity for specialties other than mental health, maternity, neonatal and geriatric long-stay. [SMR04 (Scottish Morbidity Records 04)](https://www.ndc.scot.nhs.uk/Data-Dictionary/SMR-Datasets/SMR04-Mental-Health-Inpatient-and-Day-Case/) is the source for psychiatric inpatient and day case hospital activity."
Alcohol use ever among young people (SALSUS),Scottish Government,https://data.gov.scot/dataset/alcohol_use_ever_among_young_people__salsus_,https://api.data.gov.scot/resource/2e1d57ba-1b46-4066-ba6a-7c8733057716/download,alcohol-use-ever-among-young-people-salsus.csv,2026-08-13T12:17:09.801268,2026-08-13T12:18:25.056451,0,B,CSV,,,,UK Open Government Licence (OGL),"The Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS) is a continuation of a long established series of national surveys on smoking, drinking and drug use. These were carried out jointly in Scotland and England between 1982 and 2000, to provide a national picture of young peoples' smoking (from 1982), drinking (from 1990), and drug use (from 1998) behaviours within the context of other lifestyle, health and social factors. Since 2002, Scotland has developed its own, more tailored survey, known as SALSUS. SALSUS is a self-completion survey of 13 and 15 year olds administered in school by teachers in a mixed ability class, under exam conditions.  The 2018 survey was the last SALSUS in its existing format. For more information, including the technical details visit the [Scottish Government](https://www.gov.scot/collections/scottish-schools-adolescent-lifestyle-and-substance-use-survey-salsus/) website."
