Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
LDP23 Beach and Leisure,Aberdeen City Council ArcGIS Online,https://spatialdata-accabdn.opendata.arcgis.com/datasets/accabdn::ldp23-beach-and-leisure,https://spatialdata-accabdn.opendata.arcgis.com/datasets/accabdn::ldp23-beach-and-leisure,Web Page,2024-05-24,2025-01-20,,,ArcGIS Hub Dataset,,Planning;LDP23,,OGL3,
LDP23 Beach and Leisure,Aberdeen City Council ArcGIS Online,https://spatialdata-accabdn.opendata.arcgis.com/datasets/accabdn::ldp23-beach-and-leisure,https://services5.arcgis.com/0sktPVp3t1LvXc9z/arcgis/rest/services/LDP23_Beach_and_Leisure/FeatureServer/22,Esri REST,2024-05-24,2025-01-20,,,ArcGIS GeoService,,Planning;LDP23,,OGL3,
LDP23 Beach and Leisure,Aberdeen City Council ArcGIS Online,https://spatialdata-accabdn.opendata.arcgis.com/datasets/accabdn::ldp23-beach-and-leisure,https://spatialdata-accabdn.opendata.arcgis.com/api/download/v1/items/0f03ebb7a2484d87810e23ddebe0898b/csv?layers=22,CSV,2024-05-24,2025-01-20,,,CSV,,Planning;LDP23,,OGL3,
LDP23 Beach and Leisure,Aberdeen City Council ArcGIS Online,https://spatialdata-accabdn.opendata.arcgis.com/datasets/accabdn::ldp23-beach-and-leisure,https://spatialdata-accabdn.opendata.arcgis.com/api/download/v1/items/0f03ebb7a2484d87810e23ddebe0898b/shapefile?layers=22,Shapefile,2024-05-24,2025-01-20,,,ZIP,,Planning;LDP23,,OGL3,
LDP23 Beach and Leisure,Aberdeen City Council ArcGIS Online,https://spatialdata-accabdn.opendata.arcgis.com/datasets/accabdn::ldp23-beach-and-leisure,https://spatialdata-accabdn.opendata.arcgis.com/api/download/v1/items/0f03ebb7a2484d87810e23ddebe0898b/geojson?layers=22,GeoJSON,2024-05-24,2025-01-20,,,GeoJSON,,Planning;LDP23,,OGL3,
LDP23 Beach and Leisure,Aberdeen City Council ArcGIS Online,https://spatialdata-accabdn.opendata.arcgis.com/datasets/accabdn::ldp23-beach-and-leisure,https://spatialdata-accabdn.opendata.arcgis.com/api/download/v1/items/0f03ebb7a2484d87810e23ddebe0898b/kml?layers=22,KML,2024-05-24,2025-01-20,,,KML,,Planning;LDP23,,OGL3,
LDP23 City Centre Retail Core,Aberdeen City Council ArcGIS Online,https://spatialdata-accabdn.opendata.arcgis.com/datasets/accabdn::ldp23-city-centre-retail-core,https://spatialdata-accabdn.opendata.arcgis.com/datasets/accabdn::ldp23-city-centre-retail-core,Web Page,2024-05-24,2025-01-22,,,ArcGIS Hub Dataset,,Planning;LDP23,,OGL3,
LDP23 City Centre Retail Core,Aberdeen City Council ArcGIS Online,https://spatialdata-accabdn.opendata.arcgis.com/datasets/accabdn::ldp23-city-centre-retail-core,https://services5.arcgis.com/0sktPVp3t1LvXc9z/arcgis/rest/services/LDP23_City_Centre_Retail_Core/FeatureServer/26,Esri REST,2024-05-24,2025-01-22,,,ArcGIS GeoService,,Planning;LDP23,,OGL3,
LDP23 City Centre Retail Core,Aberdeen City Council ArcGIS Online,https://spatialdata-accabdn.opendata.arcgis.com/datasets/accabdn::ldp23-city-centre-retail-core,https://spatialdata-accabdn.opendata.arcgis.com/api/download/v1/items/c5b5e01d8fe046aab85079e512c23c73/csv?layers=26,CSV,2024-05-24,2025-01-22,,,CSV,,Planning;LDP23,,OGL3,
LDP23 City Centre Retail Core,Aberdeen City Council ArcGIS Online,https://spatialdata-accabdn.opendata.arcgis.com/datasets/accabdn::ldp23-city-centre-retail-core,https://spatialdata-accabdn.opendata.arcgis.com/api/download/v1/items/c5b5e01d8fe046aab85079e512c23c73/shapefile?layers=26,Shapefile,2024-05-24,2025-01-22,,,ZIP,,Planning;LDP23,,OGL3,
