Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
DCC Conservation Areas,DCC Public GIS Portal,https://data.dundeecity.gov.uk/maps/dundeecity::dcc-conservation-areas-2020,https://data.dundeecity.gov.uk/maps/dundeecity::dcc-conservation-areas-2020,Web Page,2022-07-06,2022-07-06,,,ArcGIS Hub Dataset,,designation;Policy;planning;development;environment,,OGL3,"Conservation Areas are areas of &quot;special architectural or historic interest&quot;, the character or appearance of which it is desirable to preserve or enhance.  Conservation Areas are designated by Dundee City Council.  Protection is achieved by controlling development that affects the character or appearance through the use of Article 4 directions.  This means that planning permission is required for most types of development and alterations to the exterior of a property in a conservation area. Contact the Development Quality Team, Planning &amp; Transportation for further details.<div><br /></div><div>This layer is used in DCC website at <a href='https://www.dundeecity.gov.uk/service-area/city-development/planning-and-economic-development/development-management/listed-buildings-%26-conservation-areas' target='_blank' rel='nofollow ugc noopener noreferrer'>https://www.dundeecity.gov.uk/service-area/city-development/planning-and-economic-development/development-management/listed-buildings-%26-conservation-areas</a></div><div><br /></div><div><span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'>This data is also available as a Web Feature Service (WFS) at </span><a href='https://dundeecity.maps.arcgis.com/home/item.html?id=103be7b98124426a8591c68152795f6d' target='_blank' rel='nofollow ugc noopener noreferrer'>https://dundeecity.maps.arcgis.com/home/item.html?id=103be7b98124426a8591c68152795f6d</a><br /></div>"
DCC Conservation Areas,DCC Public GIS Portal,https://data.dundeecity.gov.uk/maps/dundeecity::dcc-conservation-areas-2020,https://services.arcgis.com/GlZ1P6ksdiXNYhvC/arcgis/rest/services/DCC_Conservation_Areas_2020/FeatureServer/1,Esri REST,2022-07-06,2022-07-06,,,ArcGIS GeoService,,designation;Policy;planning;development;environment,,OGL3,"Conservation Areas are areas of &quot;special architectural or historic interest&quot;, the character or appearance of which it is desirable to preserve or enhance.  Conservation Areas are designated by Dundee City Council.  Protection is achieved by controlling development that affects the character or appearance through the use of Article 4 directions.  This means that planning permission is required for most types of development and alterations to the exterior of a property in a conservation area. Contact the Development Quality Team, Planning &amp; Transportation for further details.<div><br /></div><div>This layer is used in DCC website at <a href='https://www.dundeecity.gov.uk/service-area/city-development/planning-and-economic-development/development-management/listed-buildings-%26-conservation-areas' target='_blank' rel='nofollow ugc noopener noreferrer'>https://www.dundeecity.gov.uk/service-area/city-development/planning-and-economic-development/development-management/listed-buildings-%26-conservation-areas</a></div><div><br /></div><div><span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'>This data is also available as a Web Feature Service (WFS) at </span><a href='https://dundeecity.maps.arcgis.com/home/item.html?id=103be7b98124426a8591c68152795f6d' target='_blank' rel='nofollow ugc noopener noreferrer'>https://dundeecity.maps.arcgis.com/home/item.html?id=103be7b98124426a8591c68152795f6d</a><br /></div>"
DCC Conservation Areas,DCC Public GIS Portal,https://data.dundeecity.gov.uk/maps/dundeecity::dcc-conservation-areas-2020,https://data.dundeecity.gov.uk/datasets/dundeecity::dcc-conservation-areas-2020.csv?where=1=1&outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,CSV,2022-07-06,2022-07-06,,,CSV,,designation;Policy;planning;development;environment,,OGL3,"Conservation Areas are areas of &quot;special architectural or historic interest&quot;, the character or appearance of which it is desirable to preserve or enhance.  Conservation Areas are designated by Dundee City Council.  Protection is achieved by controlling development that affects the character or appearance through the use of Article 4 directions.  This means that planning permission is required for most types of development and alterations to the exterior of a property in a conservation area. Contact the Development Quality Team, Planning &amp; Transportation for further details.<div><br /></div><div>This layer is used in DCC website at <a href='https://www.dundeecity.gov.uk/service-area/city-development/planning-and-economic-development/development-management/listed-buildings-%26-conservation-areas' target='_blank' rel='nofollow ugc noopener noreferrer'>https://www.dundeecity.gov.uk/service-area/city-development/planning-and-economic-development/development-management/listed-buildings-%26-conservation-areas</a></div><div><br /></div><div><span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'>This data is also available as a Web Feature Service (WFS) at </span><a href='https://dundeecity.maps.arcgis.com/home/item.html?id=103be7b98124426a8591c68152795f6d' target='_blank' rel='nofollow ugc noopener noreferrer'>https://dundeecity.maps.arcgis.com/home/item.html?id=103be7b98124426a8591c68152795f6d</a><br /></div>"
DCC Conservation Areas,DCC Public GIS Portal,https://data.dundeecity.gov.uk/maps/dundeecity::dcc-conservation-areas-2020,https://data.dundeecity.gov.uk/datasets/dundeecity::dcc-conservation-areas-2020.geojson?where=1=1&outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,GeoJSON,2022-07-06,2022-07-06,,,GeoJSON,,designation;Policy;planning;development;environment,,OGL3,"Conservation Areas are areas of &quot;special architectural or historic interest&quot;, the character or appearance of which it is desirable to preserve or enhance.  Conservation Areas are designated by Dundee City Council.  Protection is achieved by controlling development that affects the character or appearance through the use of Article 4 directions.  This means that planning permission is required for most types of development and alterations to the exterior of a property in a conservation area. Contact the Development Quality Team, Planning &amp; Transportation for further details.<div><br /></div><div>This layer is used in DCC website at <a href='https://www.dundeecity.gov.uk/service-area/city-development/planning-and-economic-development/development-management/listed-buildings-%26-conservation-areas' target='_blank' rel='nofollow ugc noopener noreferrer'>https://www.dundeecity.gov.uk/service-area/city-development/planning-and-economic-development/development-management/listed-buildings-%26-conservation-areas</a></div><div><br /></div><div><span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'>This data is also available as a Web Feature Service (WFS) at </span><a href='https://dundeecity.maps.arcgis.com/home/item.html?id=103be7b98124426a8591c68152795f6d' target='_blank' rel='nofollow ugc noopener noreferrer'>https://dundeecity.maps.arcgis.com/home/item.html?id=103be7b98124426a8591c68152795f6d</a><br /></div>"
DCC Conservation Areas,DCC Public GIS Portal,https://data.dundeecity.gov.uk/maps/dundeecity::dcc-conservation-areas-2020,https://data.dundeecity.gov.uk/datasets/dundeecity::dcc-conservation-areas-2020.zip?where=1=1&outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,Shapefile,2022-07-06,2022-07-06,,,ZIP,,designation;Policy;planning;development;environment,,OGL3,"Conservation Areas are areas of &quot;special architectural or historic interest&quot;, the character or appearance of which it is desirable to preserve or enhance.  Conservation Areas are designated by Dundee City Council.  Protection is achieved by controlling development that affects the character or appearance through the use of Article 4 directions.  This means that planning permission is required for most types of development and alterations to the exterior of a property in a conservation area. Contact the Development Quality Team, Planning &amp; Transportation for further details.<div><br /></div><div>This layer is used in DCC website at <a href='https://www.dundeecity.gov.uk/service-area/city-development/planning-and-economic-development/development-management/listed-buildings-%26-conservation-areas' target='_blank' rel='nofollow ugc noopener noreferrer'>https://www.dundeecity.gov.uk/service-area/city-development/planning-and-economic-development/development-management/listed-buildings-%26-conservation-areas</a></div><div><br /></div><div><span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'>This data is also available as a Web Feature Service (WFS) at </span><a href='https://dundeecity.maps.arcgis.com/home/item.html?id=103be7b98124426a8591c68152795f6d' target='_blank' rel='nofollow ugc noopener noreferrer'>https://dundeecity.maps.arcgis.com/home/item.html?id=103be7b98124426a8591c68152795f6d</a><br /></div>"
DCC Conservation Areas,DCC Public GIS Portal,https://data.dundeecity.gov.uk/maps/dundeecity::dcc-conservation-areas-2020,https://data.dundeecity.gov.uk/datasets/dundeecity::dcc-conservation-areas-2020.kml?where=1=1&outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,KML,2022-07-06,2022-07-06,,,KML,,designation;Policy;planning;development;environment,,OGL3,"Conservation Areas are areas of &quot;special architectural or historic interest&quot;, the character or appearance of which it is desirable to preserve or enhance.  Conservation Areas are designated by Dundee City Council.  Protection is achieved by controlling development that affects the character or appearance through the use of Article 4 directions.  This means that planning permission is required for most types of development and alterations to the exterior of a property in a conservation area. Contact the Development Quality Team, Planning &amp; Transportation for further details.<div><br /></div><div>This layer is used in DCC website at <a href='https://www.dundeecity.gov.uk/service-area/city-development/planning-and-economic-development/development-management/listed-buildings-%26-conservation-areas' target='_blank' rel='nofollow ugc noopener noreferrer'>https://www.dundeecity.gov.uk/service-area/city-development/planning-and-economic-development/development-management/listed-buildings-%26-conservation-areas</a></div><div><br /></div><div><span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'>This data is also available as a Web Feature Service (WFS) at </span><a href='https://dundeecity.maps.arcgis.com/home/item.html?id=103be7b98124426a8591c68152795f6d' target='_blank' rel='nofollow ugc noopener noreferrer'>https://dundeecity.maps.arcgis.com/home/item.html?id=103be7b98124426a8591c68152795f6d</a><br /></div>"
LDP2019 Wildlife Corridor,DCC Public GIS Portal,https://data.dundeecity.gov.uk/maps/dundeecity::ldp2019-wildlife-corridor,https://data.dundeecity.gov.uk/maps/dundeecity::ldp2019-wildlife-corridor,Web Page,2019-02-12,2022-08-08,,,ArcGIS Hub Dataset,,LDP;DCC;Dundee City Council;LDP 2019;SharedPublic,,OGL3,"<span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'>This data is also available as a Web Feature Service (WFS) at </span><span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'><a href='https://dundeecity.maps.arcgis.com/home/item.html?id=6bd0011538594e8e9f422d24b22d7f8c#overview' style='color:rgb(0, 94, 149);' target='_blank' rel='nofollow ugc noopener noreferrer'>https://dundeecity.maps.arcgis.com/home/item.html?id=6bd0011538594e8e9f422d24b22d7f8c#overview</a></span><div><br /></div><div>For more info please contact planning@dundeecity.gov.uk</div>"
LDP2019 Wildlife Corridor,DCC Public GIS Portal,https://data.dundeecity.gov.uk/maps/dundeecity::ldp2019-wildlife-corridor,https://services.arcgis.com/GlZ1P6ksdiXNYhvC/arcgis/rest/services/LDP2019_WFL1/FeatureServer/6,Esri REST,2019-02-12,2022-08-08,,,ArcGIS GeoService,,LDP;DCC;Dundee City Council;LDP 2019;SharedPublic,,OGL3,"<span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'>This data is also available as a Web Feature Service (WFS) at </span><span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'><a href='https://dundeecity.maps.arcgis.com/home/item.html?id=6bd0011538594e8e9f422d24b22d7f8c#overview' style='color:rgb(0, 94, 149);' target='_blank' rel='nofollow ugc noopener noreferrer'>https://dundeecity.maps.arcgis.com/home/item.html?id=6bd0011538594e8e9f422d24b22d7f8c#overview</a></span><div><br /></div><div>For more info please contact planning@dundeecity.gov.uk</div>"
LDP2019 Wildlife Corridor,DCC Public GIS Portal,https://data.dundeecity.gov.uk/maps/dundeecity::ldp2019-wildlife-corridor,https://data.dundeecity.gov.uk/datasets/dundeecity::ldp2019-wildlife-corridor.csv?where=1=1&outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,CSV,2019-02-12,2022-08-08,,,CSV,,LDP;DCC;Dundee City Council;LDP 2019;SharedPublic,,OGL3,"<span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'>This data is also available as a Web Feature Service (WFS) at </span><span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'><a href='https://dundeecity.maps.arcgis.com/home/item.html?id=6bd0011538594e8e9f422d24b22d7f8c#overview' style='color:rgb(0, 94, 149);' target='_blank' rel='nofollow ugc noopener noreferrer'>https://dundeecity.maps.arcgis.com/home/item.html?id=6bd0011538594e8e9f422d24b22d7f8c#overview</a></span><div><br /></div><div>For more info please contact planning@dundeecity.gov.uk</div>"
LDP2019 Wildlife Corridor,DCC Public GIS Portal,https://data.dundeecity.gov.uk/maps/dundeecity::ldp2019-wildlife-corridor,https://data.dundeecity.gov.uk/datasets/dundeecity::ldp2019-wildlife-corridor.geojson?where=1=1&outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,GeoJSON,2019-02-12,2022-08-08,,,GeoJSON,,LDP;DCC;Dundee City Council;LDP 2019;SharedPublic,,OGL3,"<span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'>This data is also available as a Web Feature Service (WFS) at </span><span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'><a href='https://dundeecity.maps.arcgis.com/home/item.html?id=6bd0011538594e8e9f422d24b22d7f8c#overview' style='color:rgb(0, 94, 149);' target='_blank' rel='nofollow ugc noopener noreferrer'>https://dundeecity.maps.arcgis.com/home/item.html?id=6bd0011538594e8e9f422d24b22d7f8c#overview</a></span><div><br /></div><div>For more info please contact planning@dundeecity.gov.uk</div>"
