Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
Forest Woodland Strategy Map,Perth & Kinross Council,https://data.pkc.gov.uk/maps/perth-kinross::forest-woodland-strategy-map,https://data.pkc.gov.uk/maps/perth-kinross::forest-woodland-strategy-map,Web Page,2023-03-27,2023-03-27,,,ArcGIS Hub Dataset,,Forest;Woodland;Strategy;Planning,,OGL3,"<div style='text-align:left;'><div><p style='font-size:12pt;'><span>The Strategy is a land use plan to help identify areas where proposals for woodland creation and management may be supported and activities that will be encouraged through available funding.   The extent to which specific proposals in potential areas will be supported will depend on site specific criteria detailed with in action plans,  individual forest management plans, the Forest Design Framework etc.  The design of schemes will require careful consideration.  (For further detail see https://www.pkc.gov.uk/CHttpHandler.ashx?id=28220&amp;p=0)</span></p><p style='font-size:12pt;'><span>CLASS:</span></p><p style='font-size:12pt;'><span>PREFERRED:  Land will be that which offers the greatest scope to accommodate future expansion of a range of woodland types, and hence, to deliver on a very wide range of objectives. Within preferred areas sensitivities are, in general, likely to be limited, and it should be possible to address any particular site specific issues within well designed proposals that meet the UK Forestry Standard and associated guidelines. Most expansion is therefore likely to be focused on preferred areas.</span></p><p style='font-size:12pt;'><span>POTENTIAL:  Land will be that which offers considerable potential to accommodate future expansion of a range of woodland types, but where at least one significant sensitivity exists. The extent to which specific proposals in potential areas will be supported will depend on how well sensitivities can be addressed within the proposals. The design of schemes will require careful consideration</span></p><p style='font-size:12pt;'><span>SENSITIVE:  Areas where a combination of sensitivities means there will be limited scope to accommodate further woodland expansion unless that expansion demonstrably does not impact negatively on the identified sensitivity. Limited woodland expansion may be possible within sensitive areas where it is of a scale and character which can be accommodated without significant negative impacts and/or where it would positively enhance the features of interest locally. In some areas cumulative impact may also be a relevant consideration.</span></p><p style='font-size:12pt;'><span>UNSUITABLE:  Areas assessed as being physically unsuitable for the growth and management of trees (based on the Land Capability for Forestry Map)</span></p><p><span style='font-family:Calibri, sans-serif; background-color:rgb(255, 255, 255);'><font color='#000000' size='3'>Forest and Woodland Strategy detailed mapping is also  available via the Forestry Commission (Scotland) map viewer </font></span><span style='font-family:Calibri, sans-serif;'><span style='background-color:rgb(255, 255, 255);'><font color='#000000' size='3'>– under the policy folder</font></span><span style='font-size:11pt;'> </span></span></p><p><span style='font-family:Calibri, sans-serif; color:windowtext;'><font size='3'>Additional useful data  to support grant funding for forest planting  is available via the </font></span><a href='https://scotland.forestry.gov.uk/supporting/grants-and-regulations/land-information-search' target='_blank' rel='nofollow ugc noopener noreferrer'>FCS Land Information Search tool</a></p><p style='font-size:12pt;'><span style='font-size:12pt;'><span style='font-size:11pt; font-family:Calibri, sans-serif;'><br /></span></span></p></div></div>"
Forest Woodland Strategy Map,Perth & Kinross Council,https://data.pkc.gov.uk/maps/perth-kinross::forest-woodland-strategy-map,https://services-eu1.arcgis.com/WD0cvOmDKf7CA0Xy/arcgis/rest/services/Forest_Woodland_Strategy_Map/FeatureServer/4,Esri REST,2023-03-27,2023-03-27,,,ArcGIS GeoService,,Forest;Woodland;Strategy;Planning,,OGL3,"<div style='text-align:left;'><div><p style='font-size:12pt;'><span>The Strategy is a land use plan to help identify areas where proposals for woodland creation and management may be supported and activities that will be encouraged through available funding.   The extent to which specific proposals in potential areas will be supported will depend on site specific criteria detailed with in action plans,  individual forest management plans, the Forest Design Framework etc.  The design of schemes will require careful consideration.  (For further detail see https://www.pkc.gov.uk/CHttpHandler.ashx?id=28220&amp;p=0)</span></p><p style='font-size:12pt;'><span>CLASS:</span></p><p style='font-size:12pt;'><span>PREFERRED:  Land will be that which offers the greatest scope to accommodate future expansion of a range of woodland types, and hence, to deliver on a very wide range of objectives. Within preferred areas sensitivities are, in general, likely to be limited, and it should be possible to address any particular site specific issues within well designed proposals that meet the UK Forestry Standard and associated guidelines. Most expansion is therefore likely to be focused on preferred areas.</span></p><p style='font-size:12pt;'><span>POTENTIAL:  Land will be that which offers considerable potential to accommodate future expansion of a range of woodland types, but where at least one significant sensitivity exists. The extent to which specific proposals in potential areas will be supported will depend on how well sensitivities can be addressed within the proposals. The design of schemes will require careful consideration</span></p><p style='font-size:12pt;'><span>SENSITIVE:  Areas where a combination of sensitivities means there will be limited scope to accommodate further woodland expansion unless that expansion demonstrably does not impact negatively on the identified sensitivity. Limited woodland expansion may be possible within sensitive areas where it is of a scale and character which can be accommodated without significant negative impacts and/or where it would positively enhance the features of interest locally. In some areas cumulative impact may also be a relevant consideration.</span></p><p style='font-size:12pt;'><span>UNSUITABLE:  Areas assessed as being physically unsuitable for the growth and management of trees (based on the Land Capability for Forestry Map)</span></p><p><span style='font-family:Calibri, sans-serif; background-color:rgb(255, 255, 255);'><font color='#000000' size='3'>Forest and Woodland Strategy detailed mapping is also  available via the Forestry Commission (Scotland) map viewer </font></span><span style='font-family:Calibri, sans-serif;'><span style='background-color:rgb(255, 255, 255);'><font color='#000000' size='3'>– under the policy folder</font></span><span style='font-size:11pt;'> </span></span></p><p><span style='font-family:Calibri, sans-serif; color:windowtext;'><font size='3'>Additional useful data  to support grant funding for forest planting  is available via the </font></span><a href='https://scotland.forestry.gov.uk/supporting/grants-and-regulations/land-information-search' target='_blank' rel='nofollow ugc noopener noreferrer'>FCS Land Information Search tool</a></p><p style='font-size:12pt;'><span style='font-size:12pt;'><span style='font-size:11pt; font-family:Calibri, sans-serif;'><br /></span></span></p></div></div>"
Forest Woodland Strategy Map,Perth & Kinross Council,https://data.pkc.gov.uk/maps/perth-kinross::forest-woodland-strategy-map,https://data.pkc.gov.uk/api/download/v1/items/f3d4c65b022c4cecbd3b1886d68ed8d6/csv?layers=4,CSV,2023-03-27,2023-03-27,,,CSV,,Forest;Woodland;Strategy;Planning,,OGL3,"<div style='text-align:left;'><div><p style='font-size:12pt;'><span>The Strategy is a land use plan to help identify areas where proposals for woodland creation and management may be supported and activities that will be encouraged through available funding.   The extent to which specific proposals in potential areas will be supported will depend on site specific criteria detailed with in action plans,  individual forest management plans, the Forest Design Framework etc.  The design of schemes will require careful consideration.  (For further detail see https://www.pkc.gov.uk/CHttpHandler.ashx?id=28220&amp;p=0)</span></p><p style='font-size:12pt;'><span>CLASS:</span></p><p style='font-size:12pt;'><span>PREFERRED:  Land will be that which offers the greatest scope to accommodate future expansion of a range of woodland types, and hence, to deliver on a very wide range of objectives. Within preferred areas sensitivities are, in general, likely to be limited, and it should be possible to address any particular site specific issues within well designed proposals that meet the UK Forestry Standard and associated guidelines. Most expansion is therefore likely to be focused on preferred areas.</span></p><p style='font-size:12pt;'><span>POTENTIAL:  Land will be that which offers considerable potential to accommodate future expansion of a range of woodland types, but where at least one significant sensitivity exists. The extent to which specific proposals in potential areas will be supported will depend on how well sensitivities can be addressed within the proposals. The design of schemes will require careful consideration</span></p><p style='font-size:12pt;'><span>SENSITIVE:  Areas where a combination of sensitivities means there will be limited scope to accommodate further woodland expansion unless that expansion demonstrably does not impact negatively on the identified sensitivity. Limited woodland expansion may be possible within sensitive areas where it is of a scale and character which can be accommodated without significant negative impacts and/or where it would positively enhance the features of interest locally. In some areas cumulative impact may also be a relevant consideration.</span></p><p style='font-size:12pt;'><span>UNSUITABLE:  Areas assessed as being physically unsuitable for the growth and management of trees (based on the Land Capability for Forestry Map)</span></p><p><span style='font-family:Calibri, sans-serif; background-color:rgb(255, 255, 255);'><font color='#000000' size='3'>Forest and Woodland Strategy detailed mapping is also  available via the Forestry Commission (Scotland) map viewer </font></span><span style='font-family:Calibri, sans-serif;'><span style='background-color:rgb(255, 255, 255);'><font color='#000000' size='3'>– under the policy folder</font></span><span style='font-size:11pt;'> </span></span></p><p><span style='font-family:Calibri, sans-serif; color:windowtext;'><font size='3'>Additional useful data  to support grant funding for forest planting  is available via the </font></span><a href='https://scotland.forestry.gov.uk/supporting/grants-and-regulations/land-information-search' target='_blank' rel='nofollow ugc noopener noreferrer'>FCS Land Information Search tool</a></p><p style='font-size:12pt;'><span style='font-size:12pt;'><span style='font-size:11pt; font-family:Calibri, sans-serif;'><br /></span></span></p></div></div>"
Forest Woodland Strategy Map,Perth & Kinross Council,https://data.pkc.gov.uk/maps/perth-kinross::forest-woodland-strategy-map,https://data.pkc.gov.uk/api/download/v1/items/f3d4c65b022c4cecbd3b1886d68ed8d6/geojson?layers=4,GeoJSON,2023-03-27,2023-03-27,,,GeoJSON,,Forest;Woodland;Strategy;Planning,,OGL3,"<div style='text-align:left;'><div><p style='font-size:12pt;'><span>The Strategy is a land use plan to help identify areas where proposals for woodland creation and management may be supported and activities that will be encouraged through available funding.   The extent to which specific proposals in potential areas will be supported will depend on site specific criteria detailed with in action plans,  individual forest management plans, the Forest Design Framework etc.  The design of schemes will require careful consideration.  (For further detail see https://www.pkc.gov.uk/CHttpHandler.ashx?id=28220&amp;p=0)</span></p><p style='font-size:12pt;'><span>CLASS:</span></p><p style='font-size:12pt;'><span>PREFERRED:  Land will be that which offers the greatest scope to accommodate future expansion of a range of woodland types, and hence, to deliver on a very wide range of objectives. Within preferred areas sensitivities are, in general, likely to be limited, and it should be possible to address any particular site specific issues within well designed proposals that meet the UK Forestry Standard and associated guidelines. Most expansion is therefore likely to be focused on preferred areas.</span></p><p style='font-size:12pt;'><span>POTENTIAL:  Land will be that which offers considerable potential to accommodate future expansion of a range of woodland types, but where at least one significant sensitivity exists. The extent to which specific proposals in potential areas will be supported will depend on how well sensitivities can be addressed within the proposals. The design of schemes will require careful consideration</span></p><p style='font-size:12pt;'><span>SENSITIVE:  Areas where a combination of sensitivities means there will be limited scope to accommodate further woodland expansion unless that expansion demonstrably does not impact negatively on the identified sensitivity. Limited woodland expansion may be possible within sensitive areas where it is of a scale and character which can be accommodated without significant negative impacts and/or where it would positively enhance the features of interest locally. In some areas cumulative impact may also be a relevant consideration.</span></p><p style='font-size:12pt;'><span>UNSUITABLE:  Areas assessed as being physically unsuitable for the growth and management of trees (based on the Land Capability for Forestry Map)</span></p><p><span style='font-family:Calibri, sans-serif; background-color:rgb(255, 255, 255);'><font color='#000000' size='3'>Forest and Woodland Strategy detailed mapping is also  available via the Forestry Commission (Scotland) map viewer </font></span><span style='font-family:Calibri, sans-serif;'><span style='background-color:rgb(255, 255, 255);'><font color='#000000' size='3'>– under the policy folder</font></span><span style='font-size:11pt;'> </span></span></p><p><span style='font-family:Calibri, sans-serif; color:windowtext;'><font size='3'>Additional useful data  to support grant funding for forest planting  is available via the </font></span><a href='https://scotland.forestry.gov.uk/supporting/grants-and-regulations/land-information-search' target='_blank' rel='nofollow ugc noopener noreferrer'>FCS Land Information Search tool</a></p><p style='font-size:12pt;'><span style='font-size:12pt;'><span style='font-size:11pt; font-family:Calibri, sans-serif;'><br /></span></span></p></div></div>"
Forest Woodland Strategy Map,Perth & Kinross Council,https://data.pkc.gov.uk/maps/perth-kinross::forest-woodland-strategy-map,https://data.pkc.gov.uk/api/download/v1/items/f3d4c65b022c4cecbd3b1886d68ed8d6/shapefile?layers=4,Shapefile,2023-03-27,2023-03-27,,,ZIP,,Forest;Woodland;Strategy;Planning,,OGL3,"<div style='text-align:left;'><div><p style='font-size:12pt;'><span>The Strategy is a land use plan to help identify areas where proposals for woodland creation and management may be supported and activities that will be encouraged through available funding.   The extent to which specific proposals in potential areas will be supported will depend on site specific criteria detailed with in action plans,  individual forest management plans, the Forest Design Framework etc.  The design of schemes will require careful consideration.  (For further detail see https://www.pkc.gov.uk/CHttpHandler.ashx?id=28220&amp;p=0)</span></p><p style='font-size:12pt;'><span>CLASS:</span></p><p style='font-size:12pt;'><span>PREFERRED:  Land will be that which offers the greatest scope to accommodate future expansion of a range of woodland types, and hence, to deliver on a very wide range of objectives. Within preferred areas sensitivities are, in general, likely to be limited, and it should be possible to address any particular site specific issues within well designed proposals that meet the UK Forestry Standard and associated guidelines. Most expansion is therefore likely to be focused on preferred areas.</span></p><p style='font-size:12pt;'><span>POTENTIAL:  Land will be that which offers considerable potential to accommodate future expansion of a range of woodland types, but where at least one significant sensitivity exists. The extent to which specific proposals in potential areas will be supported will depend on how well sensitivities can be addressed within the proposals. The design of schemes will require careful consideration</span></p><p style='font-size:12pt;'><span>SENSITIVE:  Areas where a combination of sensitivities means there will be limited scope to accommodate further woodland expansion unless that expansion demonstrably does not impact negatively on the identified sensitivity. Limited woodland expansion may be possible within sensitive areas where it is of a scale and character which can be accommodated without significant negative impacts and/or where it would positively enhance the features of interest locally. In some areas cumulative impact may also be a relevant consideration.</span></p><p style='font-size:12pt;'><span>UNSUITABLE:  Areas assessed as being physically unsuitable for the growth and management of trees (based on the Land Capability for Forestry Map)</span></p><p><span style='font-family:Calibri, sans-serif; background-color:rgb(255, 255, 255);'><font color='#000000' size='3'>Forest and Woodland Strategy detailed mapping is also  available via the Forestry Commission (Scotland) map viewer </font></span><span style='font-family:Calibri, sans-serif;'><span style='background-color:rgb(255, 255, 255);'><font color='#000000' size='3'>– under the policy folder</font></span><span style='font-size:11pt;'> </span></span></p><p><span style='font-family:Calibri, sans-serif; color:windowtext;'><font size='3'>Additional useful data  to support grant funding for forest planting  is available via the </font></span><a href='https://scotland.forestry.gov.uk/supporting/grants-and-regulations/land-information-search' target='_blank' rel='nofollow ugc noopener noreferrer'>FCS Land Information Search tool</a></p><p style='font-size:12pt;'><span style='font-size:12pt;'><span style='font-size:11pt; font-family:Calibri, sans-serif;'><br /></span></span></p></div></div>"
Forest Woodland Strategy Map,Perth & Kinross Council,https://data.pkc.gov.uk/maps/perth-kinross::forest-woodland-strategy-map,https://data.pkc.gov.uk/api/download/v1/items/f3d4c65b022c4cecbd3b1886d68ed8d6/kml?layers=4,KML,2023-03-27,2023-03-27,,,KML,,Forest;Woodland;Strategy;Planning,,OGL3,"<div style='text-align:left;'><div><p style='font-size:12pt;'><span>The Strategy is a land use plan to help identify areas where proposals for woodland creation and management may be supported and activities that will be encouraged through available funding.   The extent to which specific proposals in potential areas will be supported will depend on site specific criteria detailed with in action plans,  individual forest management plans, the Forest Design Framework etc.  The design of schemes will require careful consideration.  (For further detail see https://www.pkc.gov.uk/CHttpHandler.ashx?id=28220&amp;p=0)</span></p><p style='font-size:12pt;'><span>CLASS:</span></p><p style='font-size:12pt;'><span>PREFERRED:  Land will be that which offers the greatest scope to accommodate future expansion of a range of woodland types, and hence, to deliver on a very wide range of objectives. Within preferred areas sensitivities are, in general, likely to be limited, and it should be possible to address any particular site specific issues within well designed proposals that meet the UK Forestry Standard and associated guidelines. Most expansion is therefore likely to be focused on preferred areas.</span></p><p style='font-size:12pt;'><span>POTENTIAL:  Land will be that which offers considerable potential to accommodate future expansion of a range of woodland types, but where at least one significant sensitivity exists. The extent to which specific proposals in potential areas will be supported will depend on how well sensitivities can be addressed within the proposals. The design of schemes will require careful consideration</span></p><p style='font-size:12pt;'><span>SENSITIVE:  Areas where a combination of sensitivities means there will be limited scope to accommodate further woodland expansion unless that expansion demonstrably does not impact negatively on the identified sensitivity. Limited woodland expansion may be possible within sensitive areas where it is of a scale and character which can be accommodated without significant negative impacts and/or where it would positively enhance the features of interest locally. In some areas cumulative impact may also be a relevant consideration.</span></p><p style='font-size:12pt;'><span>UNSUITABLE:  Areas assessed as being physically unsuitable for the growth and management of trees (based on the Land Capability for Forestry Map)</span></p><p><span style='font-family:Calibri, sans-serif; background-color:rgb(255, 255, 255);'><font color='#000000' size='3'>Forest and Woodland Strategy detailed mapping is also  available via the Forestry Commission (Scotland) map viewer </font></span><span style='font-family:Calibri, sans-serif;'><span style='background-color:rgb(255, 255, 255);'><font color='#000000' size='3'>– under the policy folder</font></span><span style='font-size:11pt;'> </span></span></p><p><span style='font-family:Calibri, sans-serif; color:windowtext;'><font size='3'>Additional useful data  to support grant funding for forest planting  is available via the </font></span><a href='https://scotland.forestry.gov.uk/supporting/grants-and-regulations/land-information-search' target='_blank' rel='nofollow ugc noopener noreferrer'>FCS Land Information Search tool</a></p><p style='font-size:12pt;'><span style='font-size:12pt;'><span style='font-size:11pt; font-family:Calibri, sans-serif;'><br /></span></span></p></div></div>"
Scottish Vacant and Derelict Land Survey 2015,Perth & Kinross Council,https://data.pkc.gov.uk/maps/aec2b52620694b17a3b993864540958a_4,https://data.pkc.gov.uk/maps/aec2b52620694b17a3b993864540958a_4,Web Page,2023-03-27,2023-03-27,,,ArcGIS Hub Dataset,,Scottish;Vacant;Derelict;Land;2015,,OGL3,<div style='text-align:Left;font-size:12pt'><p><span>A survey issued by the Scottish Government to establish the extent &amp; state of vacant &amp; derelict land in Scotland. Local Authorities return data to the SG for checking. See https://www.gov.scot/binaries/content/documents/govscot/publications/statistics/2019/08/scottish-vacant-and-derelict-land-survey-guidance-notes/documents/scottish-vacant-and-derelict-land-survey-guidance-notes/scottish-vacant-and-derelict-land-survey-guidance-notes/govscot%3Adocument/Scottish%2BVacant%2Band%2BDerelict%2BLand%2BSurvey%2B2020%2B-%2BAdmin%2B-%2BGuidance.pdf</span></p></div>
Scottish Vacant and Derelict Land Survey 2015,Perth & Kinross Council,https://data.pkc.gov.uk/maps/aec2b52620694b17a3b993864540958a_4,https://services-eu1.arcgis.com/WD0cvOmDKf7CA0Xy/arcgis/rest/services/Scottish_Vacant_and_Derelict_Land_Survey_2015/FeatureServer/4,Esri REST,2023-03-27,2023-03-27,,,ArcGIS GeoService,,Scottish;Vacant;Derelict;Land;2015,,OGL3,<div style='text-align:Left;font-size:12pt'><p><span>A survey issued by the Scottish Government to establish the extent &amp; state of vacant &amp; derelict land in Scotland. Local Authorities return data to the SG for checking. See https://www.gov.scot/binaries/content/documents/govscot/publications/statistics/2019/08/scottish-vacant-and-derelict-land-survey-guidance-notes/documents/scottish-vacant-and-derelict-land-survey-guidance-notes/scottish-vacant-and-derelict-land-survey-guidance-notes/govscot%3Adocument/Scottish%2BVacant%2Band%2BDerelict%2BLand%2BSurvey%2B2020%2B-%2BAdmin%2B-%2BGuidance.pdf</span></p></div>
Scottish Vacant and Derelict Land Survey 2015,Perth & Kinross Council,https://data.pkc.gov.uk/maps/aec2b52620694b17a3b993864540958a_4,https://data.pkc.gov.uk/api/download/v1/items/aec2b52620694b17a3b993864540958a/csv?layers=4,CSV,2023-03-27,2023-03-27,,,CSV,,Scottish;Vacant;Derelict;Land;2015,,OGL3,<div style='text-align:Left;font-size:12pt'><p><span>A survey issued by the Scottish Government to establish the extent &amp; state of vacant &amp; derelict land in Scotland. Local Authorities return data to the SG for checking. See https://www.gov.scot/binaries/content/documents/govscot/publications/statistics/2019/08/scottish-vacant-and-derelict-land-survey-guidance-notes/documents/scottish-vacant-and-derelict-land-survey-guidance-notes/scottish-vacant-and-derelict-land-survey-guidance-notes/govscot%3Adocument/Scottish%2BVacant%2Band%2BDerelict%2BLand%2BSurvey%2B2020%2B-%2BAdmin%2B-%2BGuidance.pdf</span></p></div>
Scottish Vacant and Derelict Land Survey 2015,Perth & Kinross Council,https://data.pkc.gov.uk/maps/aec2b52620694b17a3b993864540958a_4,https://data.pkc.gov.uk/api/download/v1/items/aec2b52620694b17a3b993864540958a/geojson?layers=4,GeoJSON,2023-03-27,2023-03-27,,,GeoJSON,,Scottish;Vacant;Derelict;Land;2015,,OGL3,<div style='text-align:Left;font-size:12pt'><p><span>A survey issued by the Scottish Government to establish the extent &amp; state of vacant &amp; derelict land in Scotland. Local Authorities return data to the SG for checking. See https://www.gov.scot/binaries/content/documents/govscot/publications/statistics/2019/08/scottish-vacant-and-derelict-land-survey-guidance-notes/documents/scottish-vacant-and-derelict-land-survey-guidance-notes/scottish-vacant-and-derelict-land-survey-guidance-notes/govscot%3Adocument/Scottish%2BVacant%2Band%2BDerelict%2BLand%2BSurvey%2B2020%2B-%2BAdmin%2B-%2BGuidance.pdf</span></p></div>
