Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
open data - published data catalogue,Stirling Council - insights by location,https://data-stirling-council.hub.arcgis.com/datasets/stirling-council::open-data-published-data-catalogue,https://data-stirling-council.hub.arcgis.com/datasets/stirling-council::open-data-published-data-catalogue,Web Page,2024-08-06,2024-08-06,,,ArcGIS Hub Dataset,,Open Data Catalogue;Open Data,,OGL3,"<b>This dataset is published as Open Data</b><div><br /></div><div>A snapshot of the datasets available within the Open Data platform giving the created and modified dates, along with descriptions and associated reference urls.</div><div><br /></div><div>Please note: Not all content available to view within the platform will be listed in the catalogue. These items include maps, apps, and other datasets in support of StoryMaps or applications specifically created allowing a user to interact with our information.</div>"
open data - published data catalogue,Stirling Council - insights by location,https://data-stirling-council.hub.arcgis.com/datasets/stirling-council::open-data-published-data-catalogue,https://services-eu1.arcgis.com/cECIr59LclpO818r/arcgis/rest/services/open_data_published_catalogue/FeatureServer/0,Esri REST,2024-08-06,2024-08-06,,,ArcGIS GeoService,,Open Data Catalogue;Open Data,,OGL3,"<b>This dataset is published as Open Data</b><div><br /></div><div>A snapshot of the datasets available within the Open Data platform giving the created and modified dates, along with descriptions and associated reference urls.</div><div><br /></div><div>Please note: Not all content available to view within the platform will be listed in the catalogue. These items include maps, apps, and other datasets in support of StoryMaps or applications specifically created allowing a user to interact with our information.</div>"
open data - published data catalogue,Stirling Council - insights by location,https://data-stirling-council.hub.arcgis.com/datasets/stirling-council::open-data-published-data-catalogue,https://data-stirling-council.hub.arcgis.com/api/download/v1/items/dbad09a1bf894e14b9c7db687eb18a67/csv?layers=0,CSV,2024-08-06,2024-08-06,,,CSV,,Open Data Catalogue;Open Data,,OGL3,"<b>This dataset is published as Open Data</b><div><br /></div><div>A snapshot of the datasets available within the Open Data platform giving the created and modified dates, along with descriptions and associated reference urls.</div><div><br /></div><div>Please note: Not all content available to view within the platform will be listed in the catalogue. These items include maps, apps, and other datasets in support of StoryMaps or applications specifically created allowing a user to interact with our information.</div>"
open data - published data catalogue,Stirling Council - insights by location,https://data-stirling-council.hub.arcgis.com/datasets/stirling-council::open-data-published-data-catalogue,https://data-stirling-council.hub.arcgis.com/api/download/v1/items/dbad09a1bf894e14b9c7db687eb18a67/geojson?layers=0,GeoJSON,2024-08-06,2024-08-06,,,GeoJSON,,Open Data Catalogue;Open Data,,OGL3,"<b>This dataset is published as Open Data</b><div><br /></div><div>A snapshot of the datasets available within the Open Data platform giving the created and modified dates, along with descriptions and associated reference urls.</div><div><br /></div><div>Please note: Not all content available to view within the platform will be listed in the catalogue. These items include maps, apps, and other datasets in support of StoryMaps or applications specifically created allowing a user to interact with our information.</div>"
boundaries administrative - stirling council,Stirling Council - insights by location,https://data-stirling-council.hub.arcgis.com/datasets/stirling-council::boundaries-administrative-stirling-council,https://data-stirling-council.hub.arcgis.com/datasets/stirling-council::boundaries-administrative-stirling-council,Web Page,2022-04-24,2024-08-13,,,ArcGIS Hub Dataset,,Boundaries - Stirling Council;administrative boundary,,OGL3,"<div><span style='color:rgb(51, 51, 51); font-family:Montserrat, sans-serif; font-size:14px;'><b>This dataset is published as Open Data</b></span></div><div><span style='color:rgb(51, 51, 51); font-family:Montserrat, sans-serif; font-size:14px;'><br /></span></div><span style='color:rgb(51, 51, 51); font-family:Montserrat, sans-serif; font-size:14px;'>Local government in Scotland comprises 32 unitary local authorities, which are responsible for the provision of a range of public services such as education, licensing regulations, social care, transport and waste management. The current authority boundaries are largely a result of reorganization that took place in 1996, following the enactment of the Local Government etc (Scotland) Act 1994 which abolished the two tier structure of regions and districts. The Local Government Boundary Commission for Scotland is responsible for recommendations on the definition of local authority boundaries, however, the definitive dataset is delineated by Ordnance Survey for inclusion in their BoundaryLine product.</span>"
boundaries administrative - stirling council,Stirling Council - insights by location,https://data-stirling-council.hub.arcgis.com/datasets/stirling-council::boundaries-administrative-stirling-council,https://services-eu1.arcgis.com/cECIr59LclpO818r/arcgis/rest/services/Boundaries_Stirling_Council/FeatureServer/0,Esri REST,2022-04-24,2024-08-13,,,ArcGIS GeoService,,Boundaries - Stirling Council;administrative boundary,,OGL3,"<div><span style='color:rgb(51, 51, 51); font-family:Montserrat, sans-serif; font-size:14px;'><b>This dataset is published as Open Data</b></span></div><div><span style='color:rgb(51, 51, 51); font-family:Montserrat, sans-serif; font-size:14px;'><br /></span></div><span style='color:rgb(51, 51, 51); font-family:Montserrat, sans-serif; font-size:14px;'>Local government in Scotland comprises 32 unitary local authorities, which are responsible for the provision of a range of public services such as education, licensing regulations, social care, transport and waste management. The current authority boundaries are largely a result of reorganization that took place in 1996, following the enactment of the Local Government etc (Scotland) Act 1994 which abolished the two tier structure of regions and districts. The Local Government Boundary Commission for Scotland is responsible for recommendations on the definition of local authority boundaries, however, the definitive dataset is delineated by Ordnance Survey for inclusion in their BoundaryLine product.</span>"
boundaries administrative - stirling council,Stirling Council - insights by location,https://data-stirling-council.hub.arcgis.com/datasets/stirling-council::boundaries-administrative-stirling-council,https://data-stirling-council.hub.arcgis.com/api/download/v1/items/f0a65894f6a3451f81d9fb68902e8a80/csv?layers=0,CSV,2022-04-24,2024-08-13,,,CSV,,Boundaries - Stirling Council;administrative boundary,,OGL3,"<div><span style='color:rgb(51, 51, 51); font-family:Montserrat, sans-serif; font-size:14px;'><b>This dataset is published as Open Data</b></span></div><div><span style='color:rgb(51, 51, 51); font-family:Montserrat, sans-serif; font-size:14px;'><br /></span></div><span style='color:rgb(51, 51, 51); font-family:Montserrat, sans-serif; font-size:14px;'>Local government in Scotland comprises 32 unitary local authorities, which are responsible for the provision of a range of public services such as education, licensing regulations, social care, transport and waste management. The current authority boundaries are largely a result of reorganization that took place in 1996, following the enactment of the Local Government etc (Scotland) Act 1994 which abolished the two tier structure of regions and districts. The Local Government Boundary Commission for Scotland is responsible for recommendations on the definition of local authority boundaries, however, the definitive dataset is delineated by Ordnance Survey for inclusion in their BoundaryLine product.</span>"
boundaries administrative - stirling council,Stirling Council - insights by location,https://data-stirling-council.hub.arcgis.com/datasets/stirling-council::boundaries-administrative-stirling-council,https://data-stirling-council.hub.arcgis.com/api/download/v1/items/f0a65894f6a3451f81d9fb68902e8a80/geojson?layers=0,GeoJSON,2022-04-24,2024-08-13,,,GeoJSON,,Boundaries - Stirling Council;administrative boundary,,OGL3,"<div><span style='color:rgb(51, 51, 51); font-family:Montserrat, sans-serif; font-size:14px;'><b>This dataset is published as Open Data</b></span></div><div><span style='color:rgb(51, 51, 51); font-family:Montserrat, sans-serif; font-size:14px;'><br /></span></div><span style='color:rgb(51, 51, 51); font-family:Montserrat, sans-serif; font-size:14px;'>Local government in Scotland comprises 32 unitary local authorities, which are responsible for the provision of a range of public services such as education, licensing regulations, social care, transport and waste management. The current authority boundaries are largely a result of reorganization that took place in 1996, following the enactment of the Local Government etc (Scotland) Act 1994 which abolished the two tier structure of regions and districts. The Local Government Boundary Commission for Scotland is responsible for recommendations on the definition of local authority boundaries, however, the definitive dataset is delineated by Ordnance Survey for inclusion in their BoundaryLine product.</span>"
boundaries administrative - stirling council,Stirling Council - insights by location,https://data-stirling-council.hub.arcgis.com/datasets/stirling-council::boundaries-administrative-stirling-council,https://data-stirling-council.hub.arcgis.com/api/download/v1/items/f0a65894f6a3451f81d9fb68902e8a80/shapefile?layers=0,Shapefile,2022-04-24,2024-08-13,,,ZIP,,Boundaries - Stirling Council;administrative boundary,,OGL3,"<div><span style='color:rgb(51, 51, 51); font-family:Montserrat, sans-serif; font-size:14px;'><b>This dataset is published as Open Data</b></span></div><div><span style='color:rgb(51, 51, 51); font-family:Montserrat, sans-serif; font-size:14px;'><br /></span></div><span style='color:rgb(51, 51, 51); font-family:Montserrat, sans-serif; font-size:14px;'>Local government in Scotland comprises 32 unitary local authorities, which are responsible for the provision of a range of public services such as education, licensing regulations, social care, transport and waste management. The current authority boundaries are largely a result of reorganization that took place in 1996, following the enactment of the Local Government etc (Scotland) Act 1994 which abolished the two tier structure of regions and districts. The Local Government Boundary Commission for Scotland is responsible for recommendations on the definition of local authority boundaries, however, the definitive dataset is delineated by Ordnance Survey for inclusion in their BoundaryLine product.</span>"
boundaries administrative - stirling council,Stirling Council - insights by location,https://data-stirling-council.hub.arcgis.com/datasets/stirling-council::boundaries-administrative-stirling-council,https://data-stirling-council.hub.arcgis.com/api/download/v1/items/f0a65894f6a3451f81d9fb68902e8a80/kml?layers=0,KML,2022-04-24,2024-08-13,,,KML,,Boundaries - Stirling Council;administrative boundary,,OGL3,"<div><span style='color:rgb(51, 51, 51); font-family:Montserrat, sans-serif; font-size:14px;'><b>This dataset is published as Open Data</b></span></div><div><span style='color:rgb(51, 51, 51); font-family:Montserrat, sans-serif; font-size:14px;'><br /></span></div><span style='color:rgb(51, 51, 51); font-family:Montserrat, sans-serif; font-size:14px;'>Local government in Scotland comprises 32 unitary local authorities, which are responsible for the provision of a range of public services such as education, licensing regulations, social care, transport and waste management. The current authority boundaries are largely a result of reorganization that took place in 1996, following the enactment of the Local Government etc (Scotland) Act 1994 which abolished the two tier structure of regions and districts. The Local Government Boundary Commission for Scotland is responsible for recommendations on the definition of local authority boundaries, however, the definitive dataset is delineated by Ordnance Survey for inclusion in their BoundaryLine product.</span>"
