Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
Closing and Demolition Orders,North Ayrshire Council,https://maps-north-ayrshire.opendata.arcgis.com/documents/north-ayrshire::closing-and-demolition-orders,https://maps-north-ayrshire.opendata.arcgis.com/documents/north-ayrshire::closing-and-demolition-orders,Web Page,2024-01-12,2025-12-11,,,ArcGIS Hub Dataset,,Closing and Demolition Orders,,OGL3,{{description}}
Housing Stock,North Ayrshire Council,https://maps-north-ayrshire.opendata.arcgis.com/datasets/north-ayrshire::housing-stock,https://maps-north-ayrshire.opendata.arcgis.com/datasets/north-ayrshire::housing-stock,Web Page,2025-11-13,2025-11-13,,,ArcGIS Hub Dataset,,,,OGL3,{{description}}
Housing Stock,North Ayrshire Council,https://maps-north-ayrshire.opendata.arcgis.com/datasets/north-ayrshire::housing-stock,https://services6.arcgis.com/PoBy7gL1vm1uNLQk/arcgis/rest/services/Housing_Stock_Base/FeatureServer/0,Esri REST,2025-11-13,2025-11-13,,,ArcGIS GeoService,,,,OGL3,{{description}}
Housing Stock,North Ayrshire Council,https://maps-north-ayrshire.opendata.arcgis.com/datasets/north-ayrshire::housing-stock,https://maps-north-ayrshire.opendata.arcgis.com/api/download/v1/items/fa1e773d3bd0403bbc2d79a1d1080798/csv?layers=0,CSV,2025-11-13,2025-11-13,,,CSV,,,,OGL3,{{description}}
Housing Stock,North Ayrshire Council,https://maps-north-ayrshire.opendata.arcgis.com/datasets/north-ayrshire::housing-stock,https://maps-north-ayrshire.opendata.arcgis.com/api/download/v1/items/fa1e773d3bd0403bbc2d79a1d1080798/shapefile?layers=0,Shapefile,2025-11-13,2025-11-13,,,ZIP,,,,OGL3,{{description}}
Housing Stock,North Ayrshire Council,https://maps-north-ayrshire.opendata.arcgis.com/datasets/north-ayrshire::housing-stock,https://maps-north-ayrshire.opendata.arcgis.com/api/download/v1/items/fa1e773d3bd0403bbc2d79a1d1080798/geojson?layers=0,GeoJSON,2025-11-13,2025-11-13,,,GeoJSON,,,,OGL3,{{description}}
Housing Stock,North Ayrshire Council,https://maps-north-ayrshire.opendata.arcgis.com/datasets/north-ayrshire::housing-stock,https://maps-north-ayrshire.opendata.arcgis.com/api/download/v1/items/fa1e773d3bd0403bbc2d79a1d1080798/kml?layers=0,KML,2025-11-13,2025-11-13,,,KML,,,,OGL3,{{description}}
Building Warrant Applications,North Ayrshire Council,https://maps-north-ayrshire.opendata.arcgis.com/maps/north-ayrshire::building-warrant-applications-1,https://maps-north-ayrshire.opendata.arcgis.com/maps/north-ayrshire::building-warrant-applications-1,Web Page,2024-06-25,2025-06-04,,,ArcGIS Hub Dataset,,Building Warrants;Planning,,OGL3,"<div><ul><li>To view all applications made within the last 5 years, select the <b>Building Warrant Applications </b>layer. You can filter this data further, by selecting the <b>Filter Data </b>icon and amending the dates using the slider.</li><li>To view building warrant decisions made within the last 7 days, select the <b>Building Warrant Decisions (made within the last 7 days) </b>layer. </li><li>To view new applications made within the last 7 days, select the <b>Building Warrant New Applications (submitted within the last 7 days) </b>layer. </li></ul></div><div><br /></div>"
Building Warrant Applications,North Ayrshire Council,https://maps-north-ayrshire.opendata.arcgis.com/maps/north-ayrshire::building-warrant-applications-1,https://www.maps.north-ayrshire.gov.uk/arcgis/rest/services/AGOL/Building_Warrant_Applications_Weekly/FeatureServer,Esri REST,2024-06-25,2025-06-04,,,ArcGIS GeoService,,Building Warrants;Planning,,OGL3,"<div><ul><li>To view all applications made within the last 5 years, select the <b>Building Warrant Applications </b>layer. You can filter this data further, by selecting the <b>Filter Data </b>icon and amending the dates using the slider.</li><li>To view building warrant decisions made within the last 7 days, select the <b>Building Warrant Decisions (made within the last 7 days) </b>layer. </li><li>To view new applications made within the last 7 days, select the <b>Building Warrant New Applications (submitted within the last 7 days) </b>layer. </li></ul></div><div><br /></div>"
Building Warrant New Applications (submitted within the last 7 days),North Ayrshire Council,https://maps-north-ayrshire.opendata.arcgis.com/datasets/north-ayrshire::building-warrant-new-applications-submitted-within-the-last-7-days,https://maps-north-ayrshire.opendata.arcgis.com/datasets/north-ayrshire::building-warrant-new-applications-submitted-within-the-last-7-days,Web Page,2024-06-25,2025-06-04,,,ArcGIS Hub Dataset,,Building Warrants;Planning,,OGL3,"<div><ul><li>To view all applications made within the last 5 years, select the <b>Building Warrant Applications </b>layer. You can filter this data further, by selecting the <b>Filter Data </b>icon and amending the dates using the slider.</li><li>To view building warrant decisions made within the last 7 days, select the <b>Building Warrant Decisions (made within the last 7 days) </b>layer. </li><li>To view new applications made within the last 7 days, select the <b>Building Warrant New Applications (submitted within the last 7 days) </b>layer. </li></ul></div><div><br /></div>"
