Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
NLC Schools,North Lanarkshire Council,https://gisdata-nlcmaps.opendata.arcgis.com/datasets/nlcmaps::nlc-schools-1,https://gisdata-nlcmaps.opendata.arcgis.com/datasets/nlcmaps::nlc-schools-1,Web Page,2016-04-25,2024-04-01,,,ArcGIS Hub Dataset,,NLC;Schools,,OGL3,"<span style='color: rgb(0, 102, 153); font-family: arial; font-size: 12px; line-height: 17.1429px; background-color: rgb(255, 255, 255);'>Points depicting the location of all the schools which children in North Lanarkshire are in the catchment area for.</span>"
NLC Schools,North Lanarkshire Council,https://gisdata-nlcmaps.opendata.arcgis.com/datasets/nlcmaps::nlc-schools-1,https://maps.northlanarkshire.gov.uk/server/rest/services/PUBLIC/OPEN_DATA_LAYERS/FeatureServer/7,Esri REST,2016-04-25,2024-04-01,,,ArcGIS GeoService,,NLC;Schools,,OGL3,"<span style='color: rgb(0, 102, 153); font-family: arial; font-size: 12px; line-height: 17.1429px; background-color: rgb(255, 255, 255);'>Points depicting the location of all the schools which children in North Lanarkshire are in the catchment area for.</span>"
NLC Schools,North Lanarkshire Council,https://gisdata-nlcmaps.opendata.arcgis.com/datasets/nlcmaps::nlc-schools-1,https://gisdata-nlcmaps.opendata.arcgis.com/api/download/v1/items/0fce559f6119470188e882cfe54dae61/csv?layers=7,CSV,2016-04-25,2024-04-01,,,CSV,,NLC;Schools,,OGL3,"<span style='color: rgb(0, 102, 153); font-family: arial; font-size: 12px; line-height: 17.1429px; background-color: rgb(255, 255, 255);'>Points depicting the location of all the schools which children in North Lanarkshire are in the catchment area for.</span>"
NLC Schools,North Lanarkshire Council,https://gisdata-nlcmaps.opendata.arcgis.com/datasets/nlcmaps::nlc-schools-1,https://gisdata-nlcmaps.opendata.arcgis.com/api/download/v1/items/0fce559f6119470188e882cfe54dae61/shapefile?layers=7,Shapefile,2016-04-25,2024-04-01,,,ZIP,,NLC;Schools,,OGL3,"<span style='color: rgb(0, 102, 153); font-family: arial; font-size: 12px; line-height: 17.1429px; background-color: rgb(255, 255, 255);'>Points depicting the location of all the schools which children in North Lanarkshire are in the catchment area for.</span>"
NLC Schools,North Lanarkshire Council,https://gisdata-nlcmaps.opendata.arcgis.com/datasets/nlcmaps::nlc-schools-1,https://gisdata-nlcmaps.opendata.arcgis.com/api/download/v1/items/0fce559f6119470188e882cfe54dae61/geojson?layers=7,GeoJSON,2016-04-25,2024-04-01,,,GeoJSON,,NLC;Schools,,OGL3,"<span style='color: rgb(0, 102, 153); font-family: arial; font-size: 12px; line-height: 17.1429px; background-color: rgb(255, 255, 255);'>Points depicting the location of all the schools which children in North Lanarkshire are in the catchment area for.</span>"
NLC Schools,North Lanarkshire Council,https://gisdata-nlcmaps.opendata.arcgis.com/datasets/nlcmaps::nlc-schools-1,https://gisdata-nlcmaps.opendata.arcgis.com/api/download/v1/items/0fce559f6119470188e882cfe54dae61/kml?layers=7,KML,2016-04-25,2024-04-01,,,KML,,NLC;Schools,,OGL3,"<span style='color: rgb(0, 102, 153); font-family: arial; font-size: 12px; line-height: 17.1429px; background-color: rgb(255, 255, 255);'>Points depicting the location of all the schools which children in North Lanarkshire are in the catchment area for.</span>"
NLC Schools,North Lanarkshire Council,https://gisdata-nlcmaps.opendata.arcgis.com/datasets/nlcmaps::nlc-schools-1,https://gisdata-nlcmaps.opendata.arcgis.com/api/download/v1/items/0fce559f6119470188e882cfe54dae61/filegdb?layers=7,File Geodatabase,2016-04-25,2024-04-01,,,ZIP,,NLC;Schools,,OGL3,"<span style='color: rgb(0, 102, 153); font-family: arial; font-size: 12px; line-height: 17.1429px; background-color: rgb(255, 255, 255);'>Points depicting the location of all the schools which children in North Lanarkshire are in the catchment area for.</span>"
Adopted Roads - Indicative only,North Lanarkshire Council,https://gisdata-nlcmaps.opendata.arcgis.com/datasets/nlcmaps::adopted-roads-indicative-only,https://gisdata-nlcmaps.opendata.arcgis.com/datasets/nlcmaps::adopted-roads-indicative-only,Web Page,2021-07-05,2021-07-05,,,ArcGIS Hub Dataset,,adopted;roads;nlc,,,
Adopted Roads - Indicative only,North Lanarkshire Council,https://gisdata-nlcmaps.opendata.arcgis.com/datasets/nlcmaps::adopted-roads-indicative-only,https://maps.northlanarkshire.gov.uk/server/rest/services/PUBLIC/OPEN_DATA_LAYERS/FeatureServer/14,Esri REST,2021-07-05,2021-07-05,,,ArcGIS GeoService,,adopted;roads;nlc,,,
Adopted Roads - Indicative only,North Lanarkshire Council,https://gisdata-nlcmaps.opendata.arcgis.com/datasets/nlcmaps::adopted-roads-indicative-only,https://gisdata-nlcmaps.opendata.arcgis.com/api/download/v1/items/4f2b1df71d9e472493dbc18881cd9ac2/csv?layers=14,CSV,2021-07-05,2021-07-05,,,CSV,,adopted;roads;nlc,,,
