Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
Community Councils,South Ayrshire Council,https://maps-southayrshire.opendata.arcgis.com/datasets/f84aa404a9de4aa7971d6db12f386a9a_23,https://maps-southayrshire.opendata.arcgis.com/datasets/f84aa404a9de4aa7971d6db12f386a9a_23,Web Page,2023-10-16,2023-10-16,,,ArcGIS Hub Dataset,,Council;boundaries;democracy,,,Areas depicting community council boundaries for South Ayrshire
Community Councils,South Ayrshire Council,https://maps-southayrshire.opendata.arcgis.com/datasets/f84aa404a9de4aa7971d6db12f386a9a_23,https://gisext.south-ayrshire.gov.uk/server/rest/services/Inspire/OpenData/MapServer/23,Esri REST,2023-10-16,2023-10-16,,,ArcGIS GeoService,,Council;boundaries;democracy,,,Areas depicting community council boundaries for South Ayrshire
Community Councils,South Ayrshire Council,https://maps-southayrshire.opendata.arcgis.com/datasets/f84aa404a9de4aa7971d6db12f386a9a_23,https://gisext.south-ayrshire.gov.uk/server/services/Inspire/OpenData/MapServer/WFSServer?request=GetCapabilities&service=WFS,OGC WFS,2023-10-16,2023-10-16,,,OGC WFS,,Council;boundaries;democracy,,,Areas depicting community council boundaries for South Ayrshire
Community Councils,South Ayrshire Council,https://maps-southayrshire.opendata.arcgis.com/datasets/f84aa404a9de4aa7971d6db12f386a9a_23,https://gisext.south-ayrshire.gov.uk/server/services/Inspire/OpenData/MapServer/WMSServer?request=GetCapabilities&service=WMS,OGC WMS,2023-10-16,2023-10-16,,,OGC WMS,,Council;boundaries;democracy,,,Areas depicting community council boundaries for South Ayrshire
Community Councils,South Ayrshire Council,https://maps-southayrshire.opendata.arcgis.com/datasets/f84aa404a9de4aa7971d6db12f386a9a_23,https://maps-southayrshire.opendata.arcgis.com/api/download/v1/items/f84aa404a9de4aa7971d6db12f386a9a/csv?layers=23,CSV,2023-10-16,2023-10-16,,,CSV,,Council;boundaries;democracy,,,Areas depicting community council boundaries for South Ayrshire
Community Councils,South Ayrshire Council,https://maps-southayrshire.opendata.arcgis.com/datasets/f84aa404a9de4aa7971d6db12f386a9a_23,https://maps-southayrshire.opendata.arcgis.com/api/download/v1/items/f84aa404a9de4aa7971d6db12f386a9a/shapefile?layers=23,Shapefile,2023-10-16,2023-10-16,,,ZIP,,Council;boundaries;democracy,,,Areas depicting community council boundaries for South Ayrshire
Community Councils,South Ayrshire Council,https://maps-southayrshire.opendata.arcgis.com/datasets/f84aa404a9de4aa7971d6db12f386a9a_23,https://maps-southayrshire.opendata.arcgis.com/api/download/v1/items/f84aa404a9de4aa7971d6db12f386a9a/geojson?layers=23,GeoJSON,2023-10-16,2023-10-16,,,GeoJSON,,Council;boundaries;democracy,,,Areas depicting community council boundaries for South Ayrshire
Community Councils,South Ayrshire Council,https://maps-southayrshire.opendata.arcgis.com/datasets/f84aa404a9de4aa7971d6db12f386a9a_23,https://maps-southayrshire.opendata.arcgis.com/api/download/v1/items/f84aa404a9de4aa7971d6db12f386a9a/kml?layers=23,KML,2023-10-16,2023-10-16,,,KML,,Council;boundaries;democracy,,,Areas depicting community council boundaries for South Ayrshire
OpenData,South Ayrshire Council,https://maps-southayrshire.opendata.arcgis.com/maps/6617187b27a643ecba222a96c9375831,https://maps-southayrshire.opendata.arcgis.com/maps/6617187b27a643ecba222a96c9375831,Web Page,2025-01-22,2025-04-03,,,ArcGIS Hub Dataset,,OpenData;FeatureServer,,,Map service containing all datasets made available through INSPIRE licensing
OpenData,South Ayrshire Council,https://maps-southayrshire.opendata.arcgis.com/maps/6617187b27a643ecba222a96c9375831,https://services-eu1.arcgis.com/GW28l5eWXBvF6Gw5/arcgis/rest/services/OpenData/FeatureServer,Esri REST,2025-01-22,2025-04-03,,,ArcGIS GeoService,,OpenData;FeatureServer,,,Map service containing all datasets made available through INSPIRE licensing
