Title,Owner,PageURL,AssetURL,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
Primary School Contact Details,East Ayrshire,https://www.east-ayrshire.gov.uk/CouncilAndGovernment/About-the-Council/Information-and-statistics/Open-Data.aspx,https://www.east-ayrshire.gov.uk/Resources/CSV/Open-Data-001-Primary-School-Contacts.csv,NULL,NULL,6,KB,CSV,41,,Education,Open Government Licence 3.0 (United Kingdom),
Secondary School Contact Details,East Ayrshire,https://www.east-ayrshire.gov.uk/CouncilAndGovernment/About-the-Council/Information-and-statistics/Open-Data.aspx,https://www.east-ayrshire.gov.uk/Resources/CSV/Open-Data-002-Secondary-School-Contacts.csv,NULL,NULL,1,KB,CSV,9,,Education,Open Government Licence 3.0 (United Kingdom),
SEN School Contact Details,East Ayrshire,https://www.east-ayrshire.gov.uk/CouncilAndGovernment/About-the-Council/Information-and-statistics/Open-Data.aspx,https://www.east-ayrshire.gov.uk/Resources/CSV/Open-Data-003-SEN-School-Contacts.csv,NULL,NULL,490,B,CSV,3,,Education,Open Government Licence 3.0 (United Kingdom),
Early Years Establishments,East Ayrshire,https://www.east-ayrshire.gov.uk/CouncilAndGovernment/About-the-Council/Information-and-statistics/Open-Data.aspx,https://www.east-ayrshire.gov.uk/Resources/CSV/Open-Data-004-Early-Years-Contacts.csv,NULL,NULL,5,KB,CSV,35,,Education,Open Government Licence 3.0 (United Kingdom),
Car Parks,Moray Council,http://www.moray.gov.uk/moray_standard/page_110140.html,http://www.moray.gov.uk/moray_standard/page_110140.html,NULL,NULL,3,KB,CSV,42,,CarParks,Open Government Licence 3.0 (United Kingdom),"Details of location, number of spaces, whether paid or free and times of opening (where applicable)"
Cemeteries,Moray Council,http://www.moray.gov.uk/moray_standard/page_110140.html,http://www.moray.gov.uk/moray_standard/page_110140.html,NULL,NULL,4,KB,CSV,80,,Cemeteries,Open Government Licence 3.0 (United Kingdom),"Details of name, location and whether Moray Council owned"
Play Parks,Moray Council,http://www.moray.gov.uk/moray_standard/page_110140.html,http://www.moray.gov.uk/moray_standard/page_110140.html,NULL,NULL,11,KB,CSV,91,,PlayPark,Open Government Licence 3.0 (United Kingdom),Details of play park name and location
Recycling Centres,Moray Council,http://www.moray.gov.uk/moray_standard/page_110140.html,http://www.moray.gov.uk/moray_standard/page_110140.html,NULL,NULL,1,KB,CSV,9,,Recycling,Open Government Licence 3.0 (United Kingdom),"Details of name, location, opening times and contact telephone number (where applicable)"
Recycling Points,Moray Council,http://www.moray.gov.uk/moray_standard/page_110140.html,http://www.moray.gov.uk/moray_standard/page_110140.html,NULL,NULL,2,KB,CSV,23,,Recycling,Open Government Licence 3.0 (United Kingdom),Details of name and location
Election polling places,Moray Council,http://www.moray.gov.uk/moray_standard/page_110140.html,https://data-moray.opendata.arcgis.com/datasets/moray::polling-places-moray/about,30/11/20,02/02/21,5.9,KB,CSV,60,,Polling,Open Government Licence 3.0 (United Kingdom),Moray Council Polling Places. Point data showing the polling places for the Moray Council area. A polling place is a the particular building where people go to cast their vote(s) during elections.
Election polling places,Moray Council,http://www.moray.gov.uk/moray_standard/page_110140.html,https://data-moray.opendata.arcgis.com/datasets/moray::polling-places-moray/about,30/11/20,02/02/21,8.9,KB,KML,60,,Polling,Open Government Licence 3.0 (United Kingdom),Moray Council Polling Places. Point data showing the polling places for the Moray Council area. A polling place is a the particular building where people go to cast their vote(s) during elections.
Election polling places,Moray Council,http://www.moray.gov.uk/moray_standard/page_110140.html,https://data-moray.opendata.arcgis.com/datasets/moray::polling-places-moray/about,30/11/20,02/02/21,8.5,KB,Shapefile,60,,Polling,Open Government Licence 3.0 (United Kingdom),Moray Council Polling Places. Point data showing the polling places for the Moray Council area. A polling place is a the particular building where people go to cast their vote(s) during elections.
Election polling places,Moray Council,http://www.moray.gov.uk/moray_standard/page_110140.html,https://data-moray.opendata.arcgis.com/datasets/moray::polling-places-moray/about,30/11/20,02/02/21,8,KB,GeoJSON,60,,Polling,Open Government Licence 3.0 (United Kingdom),Moray Council Polling Places. Point data showing the polling places for the Moray Council area. A polling place is a the particular building where people go to cast their vote(s) during elections.
Election polling places,Moray Council,http://www.moray.gov.uk/moray_standard/page_110140.html,https://data-moray.opendata.arcgis.com/datasets/moray::polling-districts-moray/about,10/04/17,30/11/20,6.7,KB,CSV,60,INSPIRE; Democracy;boundaries,Polling ,INSPIRE Regulations 2009,Polling Districts (Moray)
Election polling places,Moray Council,http://www.moray.gov.uk/moray_standard/page_110140.html,https://data-moray.opendata.arcgis.com/datasets/moray::polling-districts-moray/about,10/04/17,30/11/20,1.2,MB,KML,60,INSPIRE; Democracy;boundaries,Polling ,INSPIRE Regulations 2009,Polling Districts (Moray)
Election polling places,Moray Council,http://www.moray.gov.uk/moray_standard/page_110140.html,https://data-moray.opendata.arcgis.com/datasets/moray::polling-districts-moray/about,10/04/17,30/11/20,710,KB,Shapefile,60,INSPIRE; Democracy;boundaries,Polling ,INSPIRE Regulations 2009,Polling Districts (Moray)
Election polling places,Moray Council,http://www.moray.gov.uk/moray_standard/page_110140.html,https://data-moray.opendata.arcgis.com/datasets/moray::polling-districts-moray/about,10/04/17,30/11/20,1.4,MB,GeoJSON,60,INSPIRE; Democracy;boundaries,Polling ,INSPIRE Regulations 2009,Polling Districts (Moray)
Planning Wind Turbine Locations (Moray),Moray Council,https://data-moray.opendata.arcgis.com/datasets/moray::planning-wind-turbine-locations-moray/about,https://data-moray.opendata.arcgis.com/datasets/moray::planning-wind-turbine-locations-moray/about,11/01/18,02/02/21,20.5,KB,CSV,812,Planning;INSPIRE,Wind Turbines,INSPIRE Regulations 2009,
Planning Wind Turbine Locations (Moray),Moray Council,https://data-moray.opendata.arcgis.com/datasets/moray::planning-wind-turbine-locations-moray/about,https://data-moray.opendata.arcgis.com/datasets/moray::planning-wind-turbine-locations-moray/about,11/01/18,02/02/21,45.4,KB,KML,812,Planning;INSPIRE,Wind Turbines,INSPIRE Regulations 2009,
Planning Wind Turbine Locations (Moray),Moray Council,https://data-moray.opendata.arcgis.com/datasets/moray::planning-wind-turbine-locations-moray/about,https://data-moray.opendata.arcgis.com/datasets/moray::planning-wind-turbine-locations-moray/about,11/01/18,02/02/21,27.2,KB,Shapefile,812,Planning;INSPIRE,Wind Turbines,INSPIRE Regulations 2009,
Planning Wind Turbine Locations (Moray),Moray Council,https://data-moray.opendata.arcgis.com/datasets/moray::planning-wind-turbine-locations-moray/about,https://data-moray.opendata.arcgis.com/datasets/moray::planning-wind-turbine-locations-moray/about,11/01/18,02/02/21,40.1,KB,GeoJSON,812,Planning;INSPIRE,Wind Turbines,INSPIRE Regulations 2009,
Local Development Plan 2020 Rural Group Sites (Moray),Moray Council,https://data-moray.opendata.arcgis.com/datasets/moray::local-devevlopment-plan-2020-rural-group-sites-moray/about,https://data-moray.opendata.arcgis.com/datasets/moray::local-devevlopment-plan-2020-rural-group-sites-moray/about,23/07/20,30/11/20,14.8,KB,CSV,200,Planning;INSPIRE,Development Plans,INSPIRE Regulations 2009,
Local Development Plan 2020 Rural Group Sites (Moray),Moray Council,https://data-moray.opendata.arcgis.com/datasets/moray::local-devevlopment-plan-2020-rural-group-sites-moray/about,https://data-moray.opendata.arcgis.com/datasets/moray::local-devevlopment-plan-2020-rural-group-sites-moray/about,23/07/20,30/11/20,168.5,KB,KML,200,Planning;INSPIRE,Development Plans,INSPIRE Regulations 2009,
Local Development Plan 2020 Rural Group Sites (Moray),Moray Council,https://data-moray.opendata.arcgis.com/datasets/moray::local-devevlopment-plan-2020-rural-group-sites-moray/about,https://data-moray.opendata.arcgis.com/datasets/moray::local-devevlopment-plan-2020-rural-group-sites-moray/about,23/07/20,30/11/20,109.9,KB,Shapefile,200,Planning;INSPIRE,Development Plans,INSPIRE Regulations 2009,
Local Development Plan 2020 Rural Group Sites (Moray),Moray Council,https://data-moray.opendata.arcgis.com/datasets/moray::local-devevlopment-plan-2020-rural-group-sites-moray/about,https://data-moray.opendata.arcgis.com/datasets/moray::local-devevlopment-plan-2020-rural-group-sites-moray/about,23/07/20,30/11/20,183.4,KB,GeoJSON,200,Planning;INSPIRE,Development Plans,INSPIRE Regulations 2009,
Local Development Plan Rural Groupings (Moray),Moray Council,https://data-moray.opendata.arcgis.com/datasets/moray::local-development-plan-rural-groupings-moray/about,https://data-moray.opendata.arcgis.com/datasets/moray::local-development-plan-rural-groupings-moray/about,13/12/17,30/11/20,3.8,KB,CSV,81,Planning;INSPIRE;Boundaries,Development Plans,INSPIRE Regulations 2009,
Local Development Plan Rural Groupings (Moray),Moray Council,https://data-moray.opendata.arcgis.com/datasets/moray::local-development-plan-rural-groupings-moray/about,https://data-moray.opendata.arcgis.com/datasets/moray::local-development-plan-rural-groupings-moray/about,13/12/17,30/11/20,181.8,KB,KML,81,Planning;INSPIRE;Boundaries,Development Plans,INSPIRE Regulations 2009,
Local Development Plan Rural Groupings (Moray),Moray Council,https://data-moray.opendata.arcgis.com/datasets/moray::local-development-plan-rural-groupings-moray/about,https://data-moray.opendata.arcgis.com/datasets/moray::local-development-plan-rural-groupings-moray/about,13/12/17,30/11/20,110.8,KB,Shapefile,81,Planning;INSPIRE;Boundaries,Development Plans,INSPIRE Regulations 2009,
