url,title,organization,date_created,date_updated,licence,notes,category
http://statistics.gov.scot/data/attitudes-to-family-formation-in-scotland-linked-data,Attitudes to family formation in Scotland linked data,Scottish Government,2022-12-07T08:43:34.115Z,2022-12-07T08:43:34.115Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Supporting tables for the exploration of attitudes to family formation and ideal family size in Scotland. Insights in family planning and resettlement intentions: A study for Scottish Government by ScotCen Social Research.,Population
http://statistics.gov.scot/data/attitudes-to-family-formation-in-scotland-data-tables,Attitudes to family formation in Scotland data tables,Scottish Government,2022-11-24T14:02:35.550Z,2022-11-24T14:02:35.550Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,Population
http://statistics.gov.scot/data/2011-data-zone-archived-geographies,2011 Data Zone Lookup - Archived Geographies,Scottish Government,2022-11-11T13:31:23.329Z,2022-11-11T15:50:15.530Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Geography lookup tables used for aggregation, from 2011 data zones to higher level archived geographies",Geography
http://statistics.gov.scot/data/rural-scotland-business-panel-survey,Rural Scotland Business Panel Survey,Scottish Government,2022-11-09T15:33:29.273Z,2022-11-14T13:19:24.790Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,"Business, Enterprise and Energy"
http://statistics.gov.scot/data/adult-disability-payment-applications-and-payments,Adult Disability Payment: Applications and Payments,Scottish Government,2022-11-09T11:14:41.196Z,2022-12-14T12:13:12.992Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Applications received and authorised, and total value of payments for Adult Disability Payment","Economic Activity, Benefits and Tax Credits"
http://statistics.gov.scot/data/national-islands-plan-survey,National Islands Plan Survey,Scottish Government,2022-09-27T13:49:27.573Z,2022-09-27T13:49:27.573Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,Population
http://statistics.gov.scot/data/scottish-contact-survey-contact-matrices,Covid-19: Scottish Contact Survey,Scottish Government,2022-09-02T09:40:38.815Z,2022-12-23T08:55:10.847Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Average number of contacts between age groups during each wave of the Scottish Contact Survey.,Health and Social Care
http://statistics.gov.scot/data/population-of-settlements-and-localities-2020,Population of Settlements and Localities 2020,Scottish Government,2022-04-14T13:25:43Z,2022-04-14T13:25:43Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,Population
http://statistics.gov.scot/data/population-projections-2020-based,Population Projections (2020-based),National Records of Scotland,2022-03-01T09:34:16Z,2022-03-01T09:34:16Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Interim population projections for Scotland, based on 2020 population estimates",Population
http://statistics.gov.scot/data/child-disability-payment,Child Disability Payment: Applications and Payments,Scottish Government,2021-11-18T09:19:02Z,2022-11-18T09:02:42.020Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Applications received and authorised, and total value of payments for Child Disability Payment","Economic Activity, Benefits and Tax Credits"
http://statistics.gov.scot/data/job-start-payment-applications-and-payments,Job Start Payment: Applications and Payments,Scottish Government,2021-09-23T10:04:42Z,2023-02-16T11:01:58.832Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Job Start Payment is a new benefit that helps young people in Scotland, aged 16 to 24, who are receiving certain benefits, with the costs of starting a new job.","Economic Activity, Benefits and Tax Credits"
http://statistics.gov.scot/data/population-estimates-detailed-current-geographic-boundaries,Population Estimates Detailed (Current Geographic Boundaries),Scottish Government,2021-09-14T09:55:07Z,2022-11-03T17:57:30.993Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Mid-year population estimates for 2011 Data Zones and other geographies from 2001 to 2021.,Population
http://statistics.gov.scot/data/domestic-abuse-recorded-by-the-police-number-of-incidents-and-rates,Domestic Abuse Recorded by the Police: Number of Incidents and Rates,Scottish Government,2021-09-13T10:28:48Z,2022-12-08T11:50:49.973Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Number of incidents of domestic abuse recorded and rates per 10,000 population.",Crime and Justice
http://statistics.gov.scot/data/domestic-abuse-recorded-by-the-police-incidents-with-a-crime-or-offence,Domestic Abuse Recorded by the Police: Incidents with at least one Crime or Offence ,Scottish Government,2021-09-09T09:59:55Z,2022-12-08T11:51:10.796Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Proportion of incidents of domestic abuse which include the recording of at least one crime or offence.,Crime and Justice
http://statistics.gov.scot/data/scottish-child-payment-applications-and-payments,Scottish Child Payment: Applications and Payments,Scottish Government,2021-06-03T07:20:01Z,2022-11-29T12:03:28.834Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Applications received and authorised, and number and total value of payments issued for Scottish Child Payment","Economic Activity, Benefits and Tax Credits"
http://statistics.gov.scot/data/poverty-working-age-adults,Poverty (working age adults),Scottish Government,2021-05-13T06:33:56Z,2022-03-04T13:13:18Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Official Statistics of the number and proportions of working-age adults in poverty. Various poverty measures and breakdowns are available.,Community Wellbeing and Social Environment
http://statistics.gov.scot/data/poverty-single-adults,Poverty (single adults),Scottish Government,2021-05-13T06:25:07Z,2022-03-29T11:08:49Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Official Statistics of the number and proportions of single adults in poverty. Various poverty measures and breakdowns are available.,Community Wellbeing and Social Environment
http://statistics.gov.scot/data/poverty-all-people,Poverty (all people),Scottish Government,2021-05-12T13:13:49Z,2022-03-04T13:13:18Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Official Statistics of the number and proportions of people in poverty. Various poverty measures and breakdowns are available.,Community Wellbeing and Social Environment
http://statistics.gov.scot/data/poverty-pensionable-age-adults,Poverty (pensionable age adults),Scottish Government,2021-05-12T13:02:14Z,2022-03-04T13:13:18Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Official Statistics of the number and proportions of pensionable age adults in poverty. Various poverty measures and breakdowns are available.,Community Wellbeing and Social Environment
http://statistics.gov.scot/data/poverty-children,Poverty (children),Scottish Government,2021-05-12T12:53:36Z,2022-03-04T13:13:18Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Official Statistics of the number and proportions of children in poverty. Various poverty measures and breakdowns are available.,Community Wellbeing and Social Environment
http://statistics.gov.scot/data/poverty-adults,Poverty (adults),Scottish Government,2021-05-12T12:21:34Z,2022-03-04T13:13:18Z,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Official Statistics of the number and proportions of adults in poverty. Various poverty measures and breakdowns are available.,Community Wellbeing and Social Environment
