title,category,organization,notes,date_created,date_updated,url
Pupil Attainment,"Education, Skills and Training",Scottish Government,Number of pupils who attained a given number of qualifications by level and stage.,2014-07-29,2021-03-31,http://statistics.gov.scot/data/pupil-attainment
Alcohol Related Hospital Discharges,Health and Social Care,Public Health Scotland,Number and European Age-sex Standardised Rates (EASRs) of general acute inpatient and day case discharges with an alcohol-related diagnosis.,2014-07-29,2021-10-12,http://statistics.gov.scot/data/alcohol-related-discharge
"Business - Births, Deaths and Survival Rates","Business, Enterprise and Energy",Office for National Statistics,"Number and rate (per 10,000 adults) of VAT/PAYE registrations, de-registrations and business survival rates",2014-07-29,2021-05-06,http://statistics.gov.scot/data/business-births-deaths-and-survival-rates
Earnings,"Economic Activity, Benefits and Tax Credits",Scottish Government,"Mean and median gross weekly earnings (£s) by gender, working pattern and workplace/residence measure. ",2014-07-29,2021-08-02,http://statistics.gov.scot/data/earnings
Economic Inactivity,"Economic Activity, Benefits and Tax Credits",Scottish Government,Economic inactivity level and rate by gender,2014-07-29,2021-10-06,http://statistics.gov.scot/data/economic-inactivity
House Prices,Housing,Scottish Government,Value of residential property transactions,2014-07-29,2021-04-16,http://statistics.gov.scot/data/house-sales-prices
Regional Gross Value Added (GVA),"Business, Enterprise and Energy",Office for National Statistics,Regional Gross Value Added (GVA)  by local authority area by year,2014-07-29,2020-10-16,http://statistics.gov.scot/data/gross-value-added
Job Related Training,"Economic Activity, Benefits and Tax Credits",Scottish Government,"Number, and percent, of people receiving job related training in the last 3 months.",2014-07-29,2016-02-09,http://statistics.gov.scot/data/job-related-training
School Leaver Destinations - Follow Up,"Education, Skills and Training",Scottish Government,"Number, and percent, of school leavers by destination from follow up survey",2014-07-29,2021-03-31,http://statistics.gov.scot/data/school-leaver-destinations-followup
Natural Features (National Indicator),Environment,Scottish Natural Heritage,"Percent of natural features, on protected nature sites, in favourable condition",2014-07-29,2020-10-23,http://statistics.gov.scot/data/natural-features
National Performance Framework,Management Information,Scottish Government,"Data underlying the National Performance Framework Indicators. These give a measure of national wellbeing including a range of economic, social and environmental indicators. ",2019-12-18,2021-11-18,http://statistics.gov.scot/data/national-performance-framework
Road Vehicles,Transport,Transport Scotland,"Road vehicle numbers, household car ownership and fuel consumption",2014-07-29,2021-10-25,http://statistics.gov.scot/data/road-vehicles
Low Birthweight,Health and Social Care,Public Health Scotland,"Number, and percent, of low birthweight (less than 2500g) babies (single births).",2014-07-29,2021-09-03,http://statistics.gov.scot/data/low-birthweight
Income Support Claimants,"Economic Activity, Benefits and Tax Credits",Department for Work and Pensions,Number of income support claimants by age and gender (age split not available for gender).,2014-07-29,2016-02-09,http://statistics.gov.scot/data/income-support-claimants
