Title,Owner,PageURL,AssetURL,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
"Encyclopaedia Britannica, 1771-1860",National Library of Scotland,https://data.nls.uk/data/digitised-collections/encyclopaedia-britannica/,https://nlsfoundry.s3.amazonaws.com/data/nls-data-encyclopaediaBritannica.zip,29/08/2019,NULL,23.5,GB,"METS/ALTO XML, plain text, images",NULL,NULL,NULL,Public Domain and No Known Copyright,NULL
A Medical History of British India,National Library of Scotland,https://data.nls.uk/data/digitised-collections/a-medical-history-of-british-india/,https://nlsfoundry.s3.amazonaws.com/data/nls-data-indiaPapers.zip,29/08/2019,NULL,10.3,GB,"METS/ALTO XML, plain text, images",NULL,NULL,NULL,Public Domain,NULL
"Scottish School Exam Papers, 1888-1963",National Library of Scotland,https://data.nls.uk/data/digitised-collections/scottish-exams/,https://nlsfoundry.s3.amazonaws.com/data/nls-data-scottishSchoolExams.zip,29/08/2019,NULL,1.2,GB,"METS/ALTO XML, plain text, images",NULL,NULL,NULL,Public Domain and CC-BY 4.0,NULL
The Spiritualist,National Library of Scotland,https://data.nls.uk/data/digitised-collections/spiritualist-newspapers/,https://nlsfoundry.s3.amazonaws.com/data/nls-data-spiritualistNewspaper.zip,29/08/2019,NULL,1.5,GB,"METS/ALTO XML, plain text, images",NULL,NULL,NULL,No Known Copyright,NULL
Gazetteers of Scotland,National Library of Scotland,https://data.nls.uk/data/digitised-collections/gazetteers-of-scotland/,https://nlsfoundry.s3.amazonaws.com/data/nls-data-gazetteersOfScotland.zip,29/08/2019,NULL,2.5,GB,"METS/ALTO XML, plain text, images",NULL,NULL,NULL,Public Domain,NULL
The National Bibliography of Scotland,National Library of Scotland,https://data.nls.uk/data/metadata-collections/national-bibliography-of-scotland/,https://nlsfoundry.s3.amazonaws.com/metadata/nls-nbs-v2.zip,29/08/2019,NULL,119,MB,"MARCXML, Dublin Core",NULL,NULL,NULL,CC-BY 4.0,NULL
Moving Image Archive,National Library of Scotland,https://data.nls.uk/data/metadata-collections/moving-image-archive/,https://data.nls.uk/download/metadata-collections/Moving-Image-Archive.zip,29/08/2019,NULL,2.57,MB,"MARCXML, Dublin Core",NULL,NULL,NULL,Public Domain,NULL
Jacobite Prints and Broadsides,National Library of Scotland,https://data.nls.uk/data/metadata-collections/jacobite-prints-broadsides/,https://data.nls.uk/download/metadata-collections/Jacobite-Prints-And-Broadsides.zip,29/08/2019,NULL,437,KB,"MARCXML, Dublin Core",NULL,NULL,NULL,Public Domain,NULL
John Adair – county maps 1680-1720,National Library of Scotland,https://data.nls.uk/data/metadata-collections/john-adair/,https://data.nls.uk/download/metadata-collections/John-Adair-County-Maps.zip,29/08/2019,NULL,3.86,KB,"MARCXML, Dublin Core",NULL,NULL,NULL,Public Domain,NULL
Tay Bridge Enquiry,National Library of Scotland,https://data.nls.uk/data/metadata-collections/tay-bridge-enquiry/,https://data.nls.uk/download/metadata-collections/Tay-Bridge-Enquiry.zip,29/08/2019,NULL,13.0,KB,"MARCXML, Dublin Core",NULL,NULL,NULL,Public Domain,NULL
