Title,Owner,PageURL,AssetURL,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
"This dataset gives the hourly cycling count breakdown for all of Cycling Scotland's automatic cycling counters. Most of counters also count pedestrians.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/f3df8bdf-8305-4fef-af33-502488befec7,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/1c10a00a-2d39-4ff2-befa-d952458ec608/1/urql,2020-04-03T14:53:09.123Z,2020-04-20T13:06:49.881Z,,,json,,"Transport / Mobility","Active Travel, Counter, Cycling",OGL3,
"This data highlights all secondary schools across Scotland that have received a Cycling Scotland Development Fund",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/31b68937-3327-4468-bca1-546d5d25de11,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=1662f845-427f-4b6e-b59f-d6eb353c742b,2019-10-21T10:38:12.077Z,2019-10-30T09:41:44.458Z,,,csv,,"Transport / Mobility","Schools, Young People, Cycling Scotland, Active Travel",https://creativecommons.org/licenses/by/4.0/legalcode,
"This data highlights all secondary schools across Scotland that have received a Cycling Scotland Development Fund",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/31b68937-3327-4468-bca1-546d5d25de11,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/3f26b705-18d8-4ede-9128-68c56167c849/2/urql,2019-10-21T10:38:12.077Z,2019-10-30T09:41:44.458Z,,,json,,"Transport / Mobility","Schools, Young People, Cycling Scotland, Active Travel",https://creativecommons.org/licenses/by/4.0/legalcode,
"Data from Reported Road Casualties Scotland showing annual traffic volumes in Scotland from 2006 to 2017.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/d87bdc18-b1e6-4e65-8b34-b9c83c67553b,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=38a45d25-229c-4b9d-bb85-dc39cde90a21,2018-05-15T09:39:01.252Z,2019-12-20T14:20:09.040Z,,,json,,"Transport / Mobility","Transport, Reported Road Casualties Scotland, Active Travel, Cycling, Cycling Scotland",OGL3,
"Data from Reported Road Casualties Scotland showing annual traffic volumes in Scotland from 2006 to 2017.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/d87bdc18-b1e6-4e65-8b34-b9c83c67553b,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=e80be9f4-251a-4ae0-b8e8-c776393e1df0,2018-05-15T09:39:01.252Z,2019-12-20T14:20:09.040Z,,,xml,,"Transport / Mobility","Transport, Reported Road Casualties Scotland, Active Travel, Cycling, Cycling Scotland",OGL3,
"Data from Reported Road Casualties Scotland showing annual traffic volumes in Scotland from 2006 to 2017.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/d87bdc18-b1e6-4e65-8b34-b9c83c67553b,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=b7830c94-e9d0-4719-86c7-23650c752050,2018-05-15T09:39:01.252Z,2019-12-20T14:20:09.040Z,,,csv,,"Transport / Mobility","Transport, Reported Road Casualties Scotland, Active Travel, Cycling, Cycling Scotland",OGL3,
"Data from Transport and Travel in Scotland and the Scottish Household Survey relating to the number of bikes available for private use by Local Authority in 2017.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/d292fc7e-9657-4f1b-bb65-042262d196fd,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=3e3273b3-c653-44e3-b6ef-645d3decdf60,2019-04-30T12:43:55.842Z,2019-12-20T14:24:59.936Z,,,csv,,"Transport / Mobility","Active Travel, Cycling Scotland, Scottish Household Survey, Transport, Transport and Travel in Scotland",OGL3,
"Data from Transport and Travel in Scotland and the Scottish Household Survey relating to the number of bikes available for private use by Local Authority in 2017.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/d292fc7e-9657-4f1b-bb65-042262d196fd,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=fad11ec0-7797-44e6-abe2-d0bcaef81024,2019-04-30T12:43:55.842Z,2019-12-20T14:24:59.936Z,,,json,,"Transport / Mobility","Active Travel, Cycling Scotland, Scottish Household Survey, Transport, Transport and Travel in Scotland",OGL3,
"Data from Transport and Travel in Scotland and the Scottish Household Survey relating to the number of bikes available for private use by Local Authority in 2017.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/d292fc7e-9657-4f1b-bb65-042262d196fd,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=58185fbd-906d-486f-9e9d-e0ac31a5ea2d,2019-04-30T12:43:55.842Z,2019-12-20T14:24:59.936Z,,,xml,,"Transport / Mobility","Active Travel, Cycling Scotland, Scottish Household Survey, Transport, Transport and Travel in Scotland",OGL3,
"Data from the Transport and Travel related questions asked in the Scottish Household Survey 2017. Data is of average distance traveled (km) nationally. Data is classified by Local Authority, Regional Transport Partnership, and Urban/Rural Classification. Reproduced via Open Government Licence. https://www.transport.gov.scot/publication/transport-and-travel-in-scotland-2017/",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/33e828ef-a1a7-4666-b938-f929f19683d4,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=e74ac331-0479-4a50-8181-49c888d756c7,2019-10-17T13:27:07.273Z,2019-12-16T16:26:02.097Z,,,csv,,"Transport / Mobility","Government, Scottish Household Survey, Transport and Travel in Scotland",OGL3,
